action,batch,corrected_action,narration_text,reasoning,round,scenario,status_main,status_secondary,timestamp_sec,video_uid
Stationary,11,,#O man A claps his hands,Clapping hands can be considered a stationary action if it is not part of a larger movement or locomotion.,r001,Playing Instrument,,,7.299668599999999,07884569-3860-4a20-8c85-278eefbd678e
Stationary,11,,#C C divides the cards,"The action of dividing cards is a low-energy, stationary activity.",r001,Playing Instrument,,,16.587258600000002,07884569-3860-4a20-8c85-278eefbd678e
Object Transfer,11,,#O man A puts hand on top of the hand of C,Logistics step involving a physical interaction.,r001,Playing Instrument,,,122.2879386,07884569-3860-4a20-8c85-278eefbd678e
Stationary,11,,#C C pulls up the sweater,"The action of pulling up a sweater is a brief, low-energy motion.",r001,Playing Instrument,,,182.7122886,07884569-3860-4a20-8c85-278eefbd678e
Stationary,11,,#O man A picks the cards,The action described seems unrelated to playing an instrument and does not involve significant body or hand motion.,r001,Playing Instrument,,,219.2124486,07884569-3860-4a20-8c85-278eefbd678e
Object Transfer,11,,#C C puts hand up,Logistics/Setup step (putting hand up to likely hold an instrument).,r001,Playing Instrument,,,297.6517961585938,07884569-3860-4a20-8c85-278eefbd678e
Stationary,11,,#O man A points at the cards,The action describes a pointing gesture which involves minimal body movement.,r001,Playing Instrument,,,675.3943343045785,07884569-3860-4a20-8c85-278eefbd678e
Stationary,11,,#C C pulls up his sweater,"The action of pulling up a sweater is a brief, low-energy motion.",r001,Playing Instrument,,,814.2123843045784,07884569-3860-4a20-8c85-278eefbd678e
Stationary,11,,#C C swipes on the phone,"Low body/hand motion, likely focused on the phone.",r001,Playing Instrument,,,937.053897144922,07884569-3860-4a20-8c85-278eefbd678e
Stationary,11,,#C C puts hands up,"The action describes a preparatory movement without active engagement with the instrument, indicating low energy and no significant motion.",r001,Playing Instrument,,,1160.6129573792969,07884569-3860-4a20-8c85-278eefbd678e
Locomotion,11,,#C C catches up with a man H,"[CtxFixed] The current action describes the continuation of movement, specifically catching up with another person, which falls under the category of Locomotion.",r001,Cleaning,,,102.0612,09c98c4f-dc2a-429b-8afa-624211cd4bfd
Object Transfer,11,,#C C puts a packet of # #unsure inside the container,Logistics step involving picking up and placing an item.,r001,Cleaning,,,27.679625266666665,0cf71e76-0ed9-4fb9-875f-be49528105b7
Locomotion,11,,#C C carries a packet of wipes up,"Body moving through space with an object, high body acceleration.",r001,Cleaning,,,33.33901526666667,0cf71e76-0ed9-4fb9-875f-be49528105b7
Locomotion,11,,#C C carries up a plastic container,Body moving through space with an object.,r001,Cleaning,,,33.80511526666667,0cf71e76-0ed9-4fb9-875f-be49528105b7
Object Transfer,11,,#C C picks the suitcase,Logistics step involving picking up an object.,r001,Cleaning,,,37.396665266666666,0cf71e76-0ed9-4fb9-875f-be49528105b7
Object Transfer,11,,#C C opens the suitcase,"Opening an object, which involves a short burst of hand activity.",r001,Cleaning,,,48.96405526666667,0cf71e76-0ed9-4fb9-875f-be49528105b7
Object Transfer,11,,#C C puts the monitor on the coach,Logistics/Setup step involving moving an object.,r001,Cleaning,,,160.92219526666668,0cf71e76-0ed9-4fb9-875f-be49528105b7
Locomotion,11,,#C C walks back to the room,Body moving through space (walking).,r001,Cleaning,,,166.67951526666667,0cf71e76-0ed9-4fb9-875f-be49528105b7
Stationary,11,,#C C holds the chair with the hand,"Low body/hand motion, holding an object without movement.",r001,Cleaning,,,183.2158552666667,0cf71e76-0ed9-4fb9-875f-be49528105b7
Essential Operation,11,,#C C folds the electrical cable,Core manual task involving hand manipulation.,r001,Cleaning,,,192.92611526666667,0cf71e76-0ed9-4fb9-875f-be49528105b7
Object Transfer,11,,#C C puts the electrical cable down on the table,Logistics step involving moving an object (cable).,r001,Cleaning,,,208.87299526666663,0cf71e76-0ed9-4fb9-875f-be49528105b7
Essential Operation,11,,#C C zip the inner part of the suitcase,Core manual task involving fine motor skills.,r001,Cleaning,,,242.05771526666663,0cf71e76-0ed9-4fb9-875f-be49528105b7
Object Transfer,11,,#C C drops the cables in suit case.,"[CtxFixed] The action of dropping the cables into the suitcase is a deliberate placement, which fits the criteria for Object Transfer.",r001,Cleaning,,,291.71412526666666,0cf71e76-0ed9-4fb9-875f-be49528105b7
Object Transfer,11,,#C C puts the computer in the vehicle.,Logistics step involving moving an object from one location to another.,r001,Cleaning,,,461.5052852666667,0cf71e76-0ed9-4fb9-875f-be49528105b7
Object Transfer,11,,#C C grabs a polythene bag,Logistics step involving picking up an object.,r001,Cleaning,,,576.5108852666667,0cf71e76-0ed9-4fb9-875f-be49528105b7
