action,batch,corrected_action,narration_text,reasoning,round,scenario,status_main,status_secondary,timestamp_sec,video_uid
Locomotion,7,,#C C rides the motorcycle on the road.,Body moving through space at a steady pace.,r001,Walking Outdoors,Gold,,22.62115,053ae0a6-937d-4bdc-8001-d3dfe7899811
Locomotion,7,,#O The man X comes down from his bike.,"Body moving through space, transitioning from one mode of movement to another.",r001,Walking Outdoors,Gold,,1152.6007033333333,053ae0a6-937d-4bdc-8001-d3dfe7899811
Locomotion,7,,#C C rides his motorcycle on the road.,"Body moving through space, high body acceleration.",r001,Walking Outdoors,Gold,,1186.6582733333337,053ae0a6-937d-4bdc-8001-d3dfe7899811
Locomotion,7,,#C C rides his motorcycle to the left.,"Body moving through space, high body acceleration.",r001,Walking Outdoors,Gold,,1269.7482433333334,053ae0a6-937d-4bdc-8001-d3dfe7899811
Locomotion,7,,#C C drives to the left.,"Body moving through space, indicative of movement or travel.",r001,Walking Outdoors,,,1925.9038966666667,053ae0a6-937d-4bdc-8001-d3dfe7899811
Locomotion,7,,#O The man X covers the seat of the scooter with his right hand.,"The action is part of a larger movement (walking outdoors), indicating high body acceleration.",r001,Walking Outdoors,Gold,,2258.1474700000003,053ae0a6-937d-4bdc-8001-d3dfe7899811
Locomotion,7,,#C C rides the motorcycle to the right.,Body moving through space (riding a motorcycle).,r001,Walking Outdoors,Gold,,2577.1569400000003,053ae0a6-937d-4bdc-8001-d3dfe7899811
Locomotion,7,,#C C parks the motorcycle. #unsure,"The action involves the body moving through space to park a motorcycle, which is a form of locomotion.",r001,Walking Outdoors,Gold,,2918.3413493333333,053ae0a6-937d-4bdc-8001-d3dfe7899811
Stationary,7,Object Transfer,# X x eats # #unsure,"Low body/hand motion, typically involves chewing and swallowing.",r001,Cooking,Bad,,83.91212859999999,0793bbe0-b8d5-4d46-9f02-c71d1bd4fad2
Stationary,7,Object Transfer,# X x wakes up,"Low body/hand motion, indicative of waking up or transitioning to a stationary state.",r001,Cooking,Bad,,93.4079386,0793bbe0-b8d5-4d46-9f02-c71d1bd4fad2
Stationary,7,Object Transfer,# X x seats on couch,"Low body/hand motion, sitting on a couch.",r001,Cooking,Bad,,99.2783386,0793bbe0-b8d5-4d46-9f02-c71d1bd4fad2
Stationary,7,,# X x operates on phone,"Low body/hand motion, likely involves holding the phone and interacting with it.",r001,Cooking,,Skip,146.4123286,0793bbe0-b8d5-4d46-9f02-c71d1bd4fad2
Locomotion,7,,#C C moves out of the room.,Body moving through space (walking out of the room).,r001,Cooking,Gold,,357.14401197916663,0793bbe0-b8d5-4d46-9f02-c71d1bd4fad2
Stationary,7,,# X x coughs,"Low body/hand motion, brief action.",r001,Cooking,Gold,,789.9059352666667,0793bbe0-b8d5-4d46-9f02-c71d1bd4fad2
Stationary,7,,# X x operates tv using phone,Operating a TV using a phone likely involves minimal body movement and could be considered a low-energy activity.,r001,Cooking,Gold,,801.9419952666667,0793bbe0-b8d5-4d46-9f02-c71d1bd4fad2
Stationary,7,,#O man A scratches his arm,"Low body/hand motion, likely idle action.",r001,Cooking,Gold,,924.1981853125,0793bbe0-b8d5-4d46-9f02-c71d1bd4fad2
Stationary,7,,# X x scrolls tv using laptop,"Low body/hand motion, primarily finger movements on a device.",r001,Cooking,Gold,,1116.5750752666663,0793bbe0-b8d5-4d46-9f02-c71d1bd4fad2
