action,batch,corrected_action,narration_text,reasoning,round,scenario,status_main,status_secondary,timestamp_sec,video_uid
Stationary,8,,#C C moves hand towards the face,"Low body/hand motion, likely a minor gesture or itch.",r001,Cleaning,Gold,,311.61432704530256,000cd456-ff8d-499b-b0c1-4acead128a8b
Object Transfer,8,,#C C picks a toy on the stool,Logistics step involving picking up an object.,r001,Cleaning,Gold,,452.7314570453025,000cd456-ff8d-499b-b0c1-4acead128a8b
Essential Operation,8,,#C C rinses coriander,Core manual task involving hand activity.,r001,Cleaning,Gold,,146.44464526666667,002ad105-bd9a-4858-953e-54e88dc7587e
Stationary,8,,#C C stands along countertop,"Low body/hand motion, indicating a pause or idle state.",r001,Cleaning,Gold,,327.1179352666667,002ad105-bd9a-4858-953e-54e88dc7587e
Locomotion,8,,#C C walks to fridge,"Movement through space, indicative of walking.",r001,Cleaning,Gold,,406.3926052666666,002ad105-bd9a-4858-953e-54e88dc7587e
Locomotion,8,,#C C walks computer desk,Body moving through space (walking).,r001,Cleaning,Gold,,448.02297526666666,002ad105-bd9a-4858-953e-54e88dc7587e
Locomotion,8,,#C C walks to Tv stand in living area,Body moving through space (walking).,r001,Cleaning,Gold,,453.5147452666667,002ad105-bd9a-4858-953e-54e88dc7587e
Object Transfer,8,,#C C picks a remote,"Logistics step, picking up an object.",r001,Cleaning,Gold,,566.9987819333334,002ad105-bd9a-4858-953e-54e88dc7587e
Object Transfer,8,,#C C picks a card from the table with his right hand.,Logistics/Setup step (picking up an object).,r001,Playing Instrument,,,0.5736296,045451d6-2916-4c07-8e47-7cfdaa579086
Object Transfer,8,,#O The boy U picks a button with his right hand. #Unsure,"The action involves picking up an object, which is a logistics step.",r001,Playing Instrument,Gold,,21.9593696,045451d6-2916-4c07-8e47-7cfdaa579086
Object Transfer,8,,#O The boy P picks a button with his right hand. #Unsure,"The action involves picking a button, which is a logistics step.",r001,Playing Instrument,Gold,,68.5457096,045451d6-2916-4c07-8e47-7cfdaa579086
Object Transfer,8,,#O The boy P picks a card from the table with his right hand.,"The action involves picking up an object (card), which is a logistics step.",r001,Playing Instrument,Gold,,99.5137796,045451d6-2916-4c07-8e47-7cfdaa579086
Locomotion,8,,#O The girl L moves closer to the table.,"Movement through space, likely involving walking or moving towards the table.",r001,Playing Instrument,Gold,,173.9836996,045451d6-2916-4c07-8e47-7cfdaa579086
Object Transfer,8,,#O The boy N picks a button with his right hand from the table . #unsure,"The action involves picking up an object, which falls under logistics.",r001,Playing Instrument,Gold,,187.5382496,045451d6-2916-4c07-8e47-7cfdaa579086
Stationary,8,,#O The girl L stretches her right hand over the table.,The action describes a stretching motion which is not repetitive or active enough to be categorized under other labels.,r001,Playing Instrument,Gold,,210.7310996,045451d6-2916-4c07-8e47-7cfdaa579086
Essential Operation,8,Stationary,O The girl L touches the button on the cards with her right hand. #Unsure,"The action involves a core manual task, likely playing an instrument, which involves high hand activity.",r001,Playing Instrument,Bad,,212.1701296,045451d6-2916-4c07-8e47-7cfdaa579086
Stationary,8,,#O The boy Q touches a card with his right hand.,The action involves a minor movement that does not constitute a significant physical activity or transfer of objects.,r001,Playing Instrument,,,232.7612696,045451d6-2916-4c07-8e47-7cfdaa579086
Object Transfer,8,,#O The boy P picks a card on the table with his right hand.,"The action involves picking up an object, which is a logistics step.",r001,Playing Instrument,Gold,,249.7509496,045451d6-2916-4c07-8e47-7cfdaa579086
Object Transfer,8,Essential Operation,#C C arranges cards with both hands.,"Logistics of arranging cards, short bursts of hand activity.",r001,Playing Instrument,Bad,,256.85922960000005,045451d6-2916-4c07-8e47-7cfdaa579086
Essential Operation,8,,#O The man A adjusts some cards on the table with his right hand.,Core manual task involving precise hand movements.,r001,Playing Instrument,Gold,,302.9600609546634,045451d6-2916-4c07-8e47-7cfdaa579086
Object Transfer,8,,#C C picks another sticker from the table with his right hand.,"The action involves picking up an object, which is a logistics step.",r001,Playing Instrument,Gold,,342.8018809546634,045451d6-2916-4c07-8e47-7cfdaa579086
Essential Operation,8,,#O The man A plays another card on the table with his left hand.,Core manual task involving precise hand movements.,r001,Playing Instrument,Gold,,391.2189709546634,045451d6-2916-4c07-8e47-7cfdaa579086
Object Transfer,8,,#O The man A drops the sticker on the card on the table with his his right hand.,"The action involves placing an object (sticker) on a surface, which is a logistics step.",r001,Playing Instrument,Gold,,438.85106095466335,045451d6-2916-4c07-8e47-7cfdaa579086
Object Transfer,8,,#C C drops the sticker on the card on the table with his his right hand.,Refined via regex fallback,r001,Playing Instrument,Gold,,439.3472009546634,045451d6-2916-4c07-8e47-7cfdaa579086
Object Transfer,8,,#C C flips through cards in her left hand with her right hand.,"Logistics of moving cards, short bursts of hand acceleration.",r001,Playing Instrument,Gold,,637.7588409546634,045451d6-2916-4c07-8e47-7cfdaa579086
Object Transfer,8,,#O The boy F moves a pebble around the table with his right hand.,"The action involves moving an object (pebble) around, which falls under logistics or setup steps.",r001,Playing Instrument,Gold,,643.1523309546634,045451d6-2916-4c07-8e47-7cfdaa579086
Object Transfer,8,,#O The boy E picks up cards from the table with his left hand.,Logistics step involving picking up objects.,r001,Playing Instrument,Gold,,645.8298609546634,045451d6-2916-4c07-8e47-7cfdaa579086
Essential Operation,8,Object Transfer,#O The boy D packs cards on the table with his hands.,Core manual task involving high hand activity.,r001,Playing Instrument,Bad,,655.0236809546634,045451d6-2916-4c07-8e47-7cfdaa579086
Object Transfer,8,,#O The boy A picks up picks up a card from the deck of cards with his right hand.,"The action involves picking up an object, which is a logistics step.",r001,Playing Instrument,Gold,,660.0419309546634,045451d6-2916-4c07-8e47-7cfdaa579086
Object Transfer,8,,#C C places the card in her right hand on the table.,"Logistics step, placing the card on the table.",r001,Playing Instrument,Gold,,674.3594209546634,045451d6-2916-4c07-8e47-7cfdaa579086
Stationary,8,,#O The boy A touches cards on the table with his right finger.,The action involves minimal movement and is likely performed while the boy is sitting or standing still.,r001,Playing Instrument,Gold,,710.7013156213301,045451d6-2916-4c07-8e47-7cfdaa579086
Object Transfer,8,Stationary,#O A lady G places her left hand on the man E's cards.,"The action involves placing a hand on an object, which is a logistics step.",r001,Playing Instrument,Bad,,829.0933876213301,045451d6-2916-4c07-8e47-7cfdaa579086
Object Transfer,8,,#O The man B shares some cards on the table with his right hand.,"The action involves logistics and setup, specifically sharing cards on the table.",r001,Playing Instrument,Gold,,845.38428762133,045451d6-2916-4c07-8e47-7cfdaa579086
Object Transfer,8,,#O The boy E picks another card from the table with his right hand.,"The action involves picking up an object (card), which is a logistics step.",r001,Playing Instrument,Gold,,907.61953762133,045451d6-2916-4c07-8e47-7cfdaa579086
Object Transfer,8,,#O The man A picks another card from the table with his right hand.,Logistics step of picking up an object.,r001,Playing Instrument,Gold,,918.62805762133,045451d6-2916-4c07-8e47-7cfdaa579086
Stationary,8,,#O The boy E interacts with the group of people.,Interacting with people typically involves low body/hand motion.,r001,Playing Instrument,Gold,,919.98996762133,045451d6-2916-4c07-8e47-7cfdaa579086
Object Transfer,8,Stationary,#O The man H plays another card on the table with his right hand.,"The action involves placing an object (card) on the table, which is a logistics step.",r001,Playing Instrument,Bad,,978.12927762133,045451d6-2916-4c07-8e47-7cfdaa579086
Object Transfer,8,,#O The boy E picks another sticker from the table with his right hand.,"The action involves picking up an object, which is a logistics step.",r001,Playing Instrument,Gold,,1005.79644762133,045451d6-2916-4c07-8e47-7cfdaa579086
Stationary,8,,#O The boy E interacts with man F.,The action describes interaction but does not specify a motion or task that would indicate high energy or specific hand/body activity.,r001,Playing Instrument,Gold,,1121.66208762133,045451d6-2916-4c07-8e47-7cfdaa579086
Object Transfer,8,Stationary,#O The lady G adjusts a paper on the table with both hands.,Logistics step involving picking up and placing down an object.,r001,Playing Instrument,Bad,,1189.08767762133,045451d6-2916-4c07-8e47-7cfdaa579086
Object Transfer,8,,#O The boy E drops the sticker on the table with his left hand.,"The action involves placing an object (dropping the sticker), which corresponds to logistics/setup.",r001,Playing Instrument,Gold,,1235.8764009546633,045451d6-2916-4c07-8e47-7cfdaa579086
Object Transfer,8,Stationary,"#O The girl D places her right hand on the card on the table,.","The action involves placing her hand on an object, which is a logistics step.",r001,Playing Instrument,Bad,,1254.2198709546633,045451d6-2916-4c07-8e47-7cfdaa579086
Essential Operation,8,,#O The lady D places another sticker on the card with her right hand.,Core task involving fine hand movements.,r001,Playing Instrument,Gold,,1259.682930954663,045451d6-2916-4c07-8e47-7cfdaa579086
Object Transfer,8,,#O The girl D picks the card from the table with her left hand.,"The action involves picking up an object, which is a logistics step.",r001,Playing Instrument,Gold,,1358.269580954663,045451d6-2916-4c07-8e47-7cfdaa579086
Essential Operation,8,Stationary,#O The boy F touches the card in the right hand of the boy D with his right finger.,"Core task involving manual dexterity, likely related to playing an instrument.",r001,Playing Instrument,Bad,,1396.9199509546631,045451d6-2916-4c07-8e47-7cfdaa579086
Object Transfer,8,,#O The girl G places cards in her right hand on the table.,"The action involves placing objects (cards) onto a surface, which is a logistics step.",r001,Playing Instrument,Gold,,1421.009390954663,045451d6-2916-4c07-8e47-7cfdaa579086
Stationary,8,,#C C touches the card on the table with her right finger.,"Low body/hand motion, brief touch action.",r001,Playing Instrument,Gold,,1467.987020954663,045451d6-2916-4c07-8e47-7cfdaa579086
Object Transfer,8,,#O The boy A moves pebbles around the table with his right hand.,Logistics of moving objects (pebbles) around the table.,r001,Playing Instrument,Gold,,1471.1436509546631,045451d6-2916-4c07-8e47-7cfdaa579086
Object Transfer,8,,#O The boy F drops a pebble in his right hand on a card on the table.,Refined via regex fallback,r001,Playing Instrument,Gold,,1557.5823809546632,045451d6-2916-4c07-8e47-7cfdaa579086
Stationary,8,,#O The boy A touches pebbles on the table with his right hand.,"The action describes a gentle touch with the hand, indicating low energy and minimal movement.",r001,Playing Instrument,Gold,,1604.442030954663,045451d6-2916-4c07-8e47-7cfdaa579086
Object Transfer,8,,#O The boy F picks up a card from the deck of cards on the table with his right hand.,"The action involves picking up an object, which is a logistics step.",r001,Playing Instrument,Gold,,1629.022300954663,045451d6-2916-4c07-8e47-7cfdaa579086
Object Transfer,8,,#O The boy D places cards in his hands on the table.,Logistics step involving placing cards on the table.,r001,Playing Instrument,Gold,,1656.439790954663,045451d6-2916-4c07-8e47-7cfdaa579086
Stationary,8,,#C C touches cards on the table with her right hand.,The action involves minimal movement and is likely performed while seated or in a stationary position.,r001,Playing Instrument,Gold,,1677.3880409546632,045451d6-2916-4c07-8e47-7cfdaa579086
Stationary,8,,#O The boy A touches a card on the table with his right hand.,The action involves a minor touch and does not involve significant body or hand motion.,r001,Playing Instrument,Gold,,1679.5989009546631,045451d6-2916-4c07-8e47-7cfdaa579086
Object Transfer,8,,#C C picks up a card from the table with her right hand.,Logistics action of picking up an object.,r001,Playing Instrument,Gold,,1689.1572109546632,045451d6-2916-4c07-8e47-7cfdaa579086
