action,batch,corrected_action,narration_text,reasoning,round,scenario,status_main,status_secondary,timestamp_sec,video_uid
Stationary,10,,#C C touches the contents of the bowl with the spoon in her right hand.,"Low body/hand motion, primarily tactile interaction.",r001,Cooking,Gold,,32.1870896,002d2729-df71-438d-8396-5895b349e8fd
Stationary,10,,#C C holds the small bucket of flour with her left hand.,Holding an object with minimal movement.,r001,Cooking,Gold,,45.751619600000005,002d2729-df71-438d-8396-5895b349e8fd
Object Transfer,10,,#C C puts the microwave power plug on the counter top with her right hand.,Logistics step involving picking up and placing an object.,r001,Cooking,Gold,,114.0592296,002d2729-df71-438d-8396-5895b349e8fd
Stationary,10,Essential Operation,#C C dusts her hands.,"Low body/hand motion, likely idle or minimal movement.",r001,Cooking,Bad,,134.3622796,002d2729-df71-438d-8396-5895b349e8fd
Object Transfer,10,,#C C takes the bowl from her left hand with her right hand.,Logistics/Transfer step between hands.,r001,Cooking,Gold,,167.0532996,002d2729-df71-438d-8396-5895b349e8fd
Essential Operation,10,,#C C adjusts an air fryer with both hands.,Adjusting the air fryer involves a core manual task with high hand activity.,r001,Cooking,Gold,,220.1997096,002d2729-df71-438d-8396-5895b349e8fd
Locomotion,10,,#C C walks towards a dinning table.,Body moving through space (walking).,r001,Cooking,Gold,,237.5880596,002d2729-df71-438d-8396-5895b349e8fd
Object Transfer,10,Stationary,#C C touches a chopping board with his right hand.,Logistics step involving interaction with an object.,r001,Cooking,Bad,,256.65380960000005,002d2729-df71-438d-8396-5895b349e8fd
Essential Operation,10,,#C C adjusts some racks with both hands.,Core task involving high hand activity.,r001,Cooking,Gold,,257.4668596,002d2729-df71-438d-8396-5895b349e8fd
Object Transfer,10,,#C C carries a pot from a bigger pot with her right hand.,Logistics step involving moving an object from one location to another.,r001,Cooking,Gold,,260.9716996,002d2729-df71-438d-8396-5895b349e8fd
Object Transfer,10,Essential Operation,#C C pours out the water in the pot into the sink with both hands.,Logistics step involving the transfer of an object (water in pot) to another location (sink).,r001,Cooking,Bad,,272.05679960000003,002d2729-df71-438d-8396-5895b349e8fd
Object Transfer,10,,#C C takes the bowl lid from her right hand with her left hand.,Logistics step involving the transfer of the bowl lid from one hand to another.,r001,Cooking,Gold,,367.7545309546634,002d2729-df71-438d-8396-5895b349e8fd
Stationary,10,,#C C holds a knife in her right hand on a chopping board at a kitchen counter top.,"The action describes holding a knife without any movement, indicating a stationary position.",r001,Cooking,,,539.9756376213301,002d2729-df71-438d-8396-5895b349e8fd
Object Transfer,10,,#C C drops the knife on the chopping board with her right hand.,Refined via regex fallback,r001,Cooking,,,586.4678276213301,002d2729-df71-438d-8396-5895b349e8fd
Essential Operation,10,,#C C separates the pieces of ginger with both hands on the chopping board.,Core task involving high hand activity.,r001,Cooking,,,716.5854976213301,002d2729-df71-438d-8396-5895b349e8fd
Essential Operation,10,,#C C breaks off a stalk of celery with her right hand.,Core task involving high hand activity.,r001,Cooking,Gold,,815.32494762133,002d2729-df71-438d-8396-5895b349e8fd
Essential Operation,10,,#C C rinses the celery stalks with both hands under the tap.,Core task involving high hand activity.,r001,Cooking,Gold,,843.0065476213301,002d2729-df71-438d-8396-5895b349e8fd
Object Transfer,10,,#C C puts the bowl in a part of the sink with her right hand.,Logistics step involving the placement of an object.,r001,Cooking,Gold,,957.84296762133,002d2729-df71-438d-8396-5895b349e8fd
Essential Operation,10,,#C C pulls off a thread from a celery stalk with her right hand.,Core manual task involving high hand activity.,r001,Cooking,Gold,,963.06230762133,002d2729-df71-438d-8396-5895b349e8fd
Essential Operation,10,,#C C adjusts the celery stalks in her left hand on the chopping board with the knife in her right hand.,"Core task involving manipulation with hands, likely preparing ingredients.",r001,Cooking,Gold,,1052.59987762133,002d2729-df71-438d-8396-5895b349e8fd
Object Transfer,10,,#C C takes the celery stalks from her right hand with her left hand.,Logistics step involving moving an object from one hand to another.,r001,Cooking,Gold,,1057.80397762133,002d2729-df71-438d-8396-5895b349e8fd
Object Transfer,10,,#C C picks the knife from the chopping board with her right hand.,Logistics step of picking up the knife.,r001,Cooking,Gold,,1069.5680422879966,002d2729-df71-438d-8396-5895b349e8fd
Essential Operation,10,Object Transfer,#C C drops the celery stalk on the chopping board with her left hand.,"The action involves placing the celery stalk on the chopping board, which is part of the core manual task of preparing food.",r001,Cooking,Bad,,1094.4223522879963,002d2729-df71-438d-8396-5895b349e8fd
Locomotion,10,,#C C walks towards a kitchen cabinet.,"Body moving through space, involves walking.",r001,Cooking,Gold,,1096.1085022879963,002d2729-df71-438d-8396-5895b349e8fd
Object Transfer,10,,#C C puts celery stalks from the chopping board into the glass bowl with both hands.,Logistics step involving the transfer of celery stalks from one location to another.,r001,Cooking,Gold,,1159.8938642879966,002d2729-df71-438d-8396-5895b349e8fd
Object Transfer,10,,#C C lifts the lid of the glass bowl with her left hand.,"Action involves picking up an object (lifting the lid), which is a logistics step.",r001,Cooking,Gold,,1204.3906542879963,002d2729-df71-438d-8396-5895b349e8fd
Object Transfer,10,,#C C drops the glass bowl next to the food processor engine with her left hand.,"[CtxFixed] The action involves deliberately placing the glass bowl next to the food processor engine, which fits the criteria for Object Transfer.",r001,Cooking,Gold,,1341.8490942879966,002d2729-df71-438d-8396-5895b349e8fd
Stationary,10,,#C C holds the food processor bowl with her left hand.,"Low body/hand motion, holding an object in place.",r001,Cooking,Gold,,1380.7201742879963,002d2729-df71-438d-8396-5895b349e8fd
Object Transfer,10,,#C C drops the food processor engine on the counter top with her right hand.,Refined via regex fallback,r001,Cooking,Gold,,1382.365834287997,002d2729-df71-438d-8396-5895b349e8fd
Stationary,10,,#C C touches the contents of the food processor bowl with her right hand.,"Low body/hand motion, likely inspecting texture or consistency.",r001,Cooking,Gold,,1401.1164842879966,002d2729-df71-438d-8396-5895b349e8fd
Object Transfer,10,,#C C drops the attachment on the counter top with her right hand.,Refined via regex fallback,r001,Cooking,Gold,,1426.7674842879967,002d2729-df71-438d-8396-5895b349e8fd
Object Transfer,10,,#C C takes a spoon from the pot with her right hand.,Logistics action involving picking up an object.,r001,Cooking,Gold,,1445.0480542879966,002d2729-df71-438d-8396-5895b349e8fd
Object Transfer,10,,#C C lifts the food processor bowl with her left hand.,Logistics step involving picking up an object.,r001,Cooking,Gold,,1498.6059842879968,002d2729-df71-438d-8396-5895b349e8fd
Essential Operation,10,,#C C pours some soy sauce into the pot with her right hand.,Core task involving high hand activity.,r001,Cooking,Gold,,1535.186264287997,002d2729-df71-438d-8396-5895b349e8fd
Essential Operation,10,,#C C stirs the contents of the pot with the spoon in her right hand.,Core manual task involving high hand activity.,r001,Cooking,Gold,,1576.6900742879966,002d2729-df71-438d-8396-5895b349e8fd
Object Transfer,10,Essential Operation,#C C pours soy sauce from the bottle in her right hand into the spoon in her left hand.,Logistics step involving the transfer of soy sauce from one container to another.,r001,Cooking,Bad,,1723.5299009546634,002d2729-df71-438d-8396-5895b349e8fd
Stationary,10,,#C C holds the spoon inside the pot with her right hand.,"Low body/hand motion, holding an object without movement.",r001,Cooking,Gold,,1736.9776809546634,002d2729-df71-438d-8396-5895b349e8fd
Essential Operation,10,,#C C mixes the contents of the pot with the spoon in her right hand.,Core task involving repetitive hand movements.,r001,Cooking,Gold,,1801.2902209546633,002d2729-df71-438d-8396-5895b349e8fd
Essential Operation,10,,#C C shakes the water off the brush into the sink with her right hand.,"[CtxFixed] Shaking the water off the brush is a continuation of the cleaning process, which falls under the category of Essential Operation as it is a necessary step in maintaining hygiene and functionality of the brush.",r001,Cooking,Gold,,1937.5064909546631,002d2729-df71-438d-8396-5895b349e8fd
Object Transfer,10,,#C C lifts the tray from the lower chamber of the steamer with her right hand.,"The action involves picking up an object, which is a logistics step.",r001,Cooking,Gold,,1976.961960954664,002d2729-df71-438d-8396-5895b349e8fd
