action,batch,corrected_action,narration_text,reasoning,round,scenario,status_main,status_secondary,timestamp_sec,video_uid
Stationary,2,Essential Operation,#C C stretches bedsheet,"Low body/hand motion, more about adjusting position rather than movement through space.",r001,Cleaning,Bad,,2324.134980954664,01111831-9107-43c4-bf0e-6b26e9b32a2b
Essential Operation,2,,#C C cuts out some part of the plastic cord inside the cable with the wire cutter.,Core manual task involving high hand activity.,r001,Carpentry,Gold,,252.7664096,0377792b-7b1e-4d67-86fd-f50c9257ea85
Stationary,2,Essential Operation,#C C hooks the wire cutter to his trousers with his right hand. #Unsure,"The action involves attaching an object to clothing, which is a brief and stationary motion with low energy.",r001,Carpentry,Bad,,935.3795152666668,0377792b-7b1e-4d67-86fd-f50c9257ea85
Stationary,2,,#C C speaks to child Z.,Low body/hand motion.,r001,Cooking,Gold,,1182.1465542879969,0b703793-134a-4889-bc40-c19328d8f7cd
Object Transfer,2,,#C C puts the dough on the counter.,"Logistics step, moving the dough to the counter.",r001,Cooking,Gold,,1460.3320342879967,0b703793-134a-4889-bc40-c19328d8f7cd
Essential Operation,2,,#C C plays a piano,Core task involving high hand activity and precision.,r001,Cooking,Gold,,4144.293330954663,0b703793-134a-4889-bc40-c19328d8f7cd
Stationary,2,,#C C touches the paint brush with his left hand,"Low body/hand motion, likely preparing to use the brush.",r001,Mechanical Repair,Gold,,284.8670186,0cb2dd94-afb1-4e30-a62f-724f34d81777
Essential Operation,2,,#C C brushes the wooden rail with the paint brush,Core manual task involving high hand activity.,r001,Mechanical Repair,Gold,,341.0092886,0cb2dd94-afb1-4e30-a62f-724f34d81777
Stationary,2,,#C C touches the paint brush on his left hand,"Low body/hand motion, likely holding the brush.",r001,Mechanical Repair,Gold,,504.2821586,0cb2dd94-afb1-4e30-a62f-724f34d81777
Search,2,,#C C looks at person A,"Head movement (visual search), hands mostly still.",r001,Walking Outdoors,,Skip,108.51484,0fa75cb3-c4a0-4232-bdc4-15116ed39d88
Search,2,Stationary,#O Person A looks at person C,"Head movement (visual search), hands mostly still.",r001,Walking Outdoors,Bad,,490.71991,0fa75cb3-c4a0-4232-bdc4-15116ed39d88
Search,2,,#C C looks at the bridge,"Head movement (visual search), hands mostly still.",r001,Walking Outdoors,Gold,,673.0045933333333,0fa75cb3-c4a0-4232-bdc4-15116ed39d88
Search,2,Stationary,#C C looks at the building,"Head movement (visual search), hands mostly still.",r001,Walking Outdoors,Gold,,1339.9398466666669,0fa75cb3-c4a0-4232-bdc4-15116ed39d88
Search,2,Stationary,#C C looks at the lights,"Head movement (visual search), hands mostly still.",r001,Walking Outdoors,Gold,,1556.2687766666668,0fa75cb3-c4a0-4232-bdc4-15116ed39d88
Object Transfer,2,Essential Operation,#C C Pours the drink into the glass,"Logistics step involving pouring, which involves short bursts of hand acceleration.",r001,Cooking,Gold,,202.2818686,106e9447-8a09-4e89-964e-61c927827a56
Stationary,2,Essential Operation,# C C Shakes the food with right hand,"Low body/hand motion, shaking is a small movement.",r001,Cooking,Bad,,938.6137937171876,106e9447-8a09-4e89-964e-61c927827a56
Object Transfer,2,,# C C Picks beetroot from the chopping board,Logistics step involving picking up an object.,r001,Cooking,Gold,,939.1955337171876,106e9447-8a09-4e89-964e-61c927827a56
Object Transfer,2,,# C C Places the sauce pan on the stove,Logistics step involving placing an object.,r001,Cooking,Gold,,989.4646237171876,106e9447-8a09-4e89-964e-61c927827a56
Object Transfer,2,,# C C Places the weigh meter on the chopping board,Logistics step involving placing an object.,r001,Cooking,Gold,,998.8165337171876,106e9447-8a09-4e89-964e-61c927827a56
Locomotion,2,,# C C Walks towards the staircase,Body moving through space (walking).,r001,Cooking,Gold,,1010.7628337171876,106e9447-8a09-4e89-964e-61c927827a56
Object Transfer,2,,# C C Picks #unsure from the counter top,"Logistics step of picking up an object, involves a short burst of hand acceleration.",r001,Cooking,Gold,,1049.0933237171876,106e9447-8a09-4e89-964e-61c927827a56
Object Transfer,2,Essential Operation,# C C Pours water into the sink,"Logistics step involving pouring, which is a transfer action.",r001,Cooking,Gold,,1131.9824680269608,106e9447-8a09-4e89-964e-61c927827a56
Object Transfer,2,,# C C picks stainer from the cupboard,"Logistics/Setup step, picking up an object.",r001,Cooking,Gold,,1300.4001080269604,106e9447-8a09-4e89-964e-61c927827a56
Object Transfer,2,,# C C Places the strainer on the sauce pan,Logistics step involving placing an object.,r001,Cooking,Gold,,1302.8155780269606,106e9447-8a09-4e89-964e-61c927827a56
Object Transfer,2,,# C C Places the veggies into the stainer,Logistics step involving placing objects.,r001,Cooking,Gold,,1308.4524880269605,106e9447-8a09-4e89-964e-61c927827a56
Object Transfer,2,,# C C Opens the drawer,Logistics/Setup step involving opening a drawer.,r001,Cooking,Gold,,1345.5145980269606,106e9447-8a09-4e89-964e-61c927827a56
Object Transfer,2,Essential Operation,#C C puts the food in the chopping board,Logistics step involving moving the food to the chopping board.,r001,Cooking,Bad,,1397.8501532484372,106e9447-8a09-4e89-964e-61c927827a56
Object Transfer,2,,#C C picks a container lid,Logistics action involving picking up an object.,r001,Cooking,Gold,,1427.9021132484372,106e9447-8a09-4e89-964e-61c927827a56
Essential Operation,2,,#C C shakes the water bottle,Shaking involves high hand activity and is a core manual task.,r001,Cooking,Gold,,1586.9400332484372,106e9447-8a09-4e89-964e-61c927827a56
Essential Operation,2,,#C C pours milk to his hand,Core task involving high hand activity.,r001,Cooking,Gold,,1589.1732632484373,106e9447-8a09-4e89-964e-61c927827a56
Object Transfer,2,,#C C drops gloves on the slab.,"[CtxFixed] The action of dropping gloves on the slab indicates a deliberate placement of an object, which fits the definition of 'Object Transfer'.",r001,Cooking,Gold,,1694.4589433046135,106e9447-8a09-4e89-964e-61c927827a56
Object Transfer,2,,#C C drops knife down.,Refined via regex fallback,r001,Cooking,Gold,,1757.4855933046138,106e9447-8a09-4e89-964e-61c927827a56
Object Transfer,2,,#C C picks knife.,Logistics/Setup step.,r001,Cooking,Gold,,1814.8371433046136,106e9447-8a09-4e89-964e-61c927827a56
Locomotion,2,,#C c shoots the basket ball to the hoop,"Body movement through space, likely involves walking or running to shoot the basketball.",r001,Walking Outdoors,Gold,,110.32231,114cdc4b-4ae5-4938-8218-151e1e35b3db
Object Transfer,2,,#C c takes the ball from the field,"The action involves picking up an object (the ball), which is a logistics step.",r001,Walking Outdoors,Gold,,122.74464,114cdc4b-4ae5-4938-8218-151e1e35b3db
Essential Operation,2,,#C c bounces the ball,The action involves a high level of hand activity with the ball.,r001,Walking Outdoors,Gold,,201.37944,114cdc4b-4ae5-4938-8218-151e1e35b3db
Essential Operation,2,,#C C catches the basketball,High hand activity involved in catching the ball.,r001,Walking Outdoors,Gold,,347.27056,114cdc4b-4ae5-4938-8218-151e1e35b3db
Essential Operation,2,Object Transfer,#O man X throws the basketball in the basket,"The action involves a specific task (throwing the ball into the basket), which is a core manual task.",r001,Walking Outdoors,Gold,,356.04047,114cdc4b-4ae5-4938-8218-151e1e35b3db
Locomotion,2,,#C C walks towards the basketball,"Body moving through space, indicative of walking.",r001,Walking Outdoors,Gold,,441.5872,114cdc4b-4ae5-4938-8218-151e1e35b3db
Object Transfer,2,,#O x takes the ball,"Taking an object (the ball), involves a short burst of hand activity.",r001,Walking Outdoors,Gold,,595.8651866666667,114cdc4b-4ae5-4938-8218-151e1e35b3db
Locomotion,2,Essential Operation,#O x shoots the ball to the hoop,"The action implies movement through space, likely involving walking or running to shoot the ball.",r001,Walking Outdoors,,Delete Row,605.2004866666666,114cdc4b-4ae5-4938-8218-151e1e35b3db
Locomotion,2,Essential Operation,#C c shoots the ball to the hoop,"The action involves moving through space, likely with high body acceleration.",r001,Walking Outdoors,,Delete Row,639.2802766666666,114cdc4b-4ae5-4938-8218-151e1e35b3db
Object Transfer,2,Essential Operation,#O x catches the ball,"[CtxFixed] The action of catching the ball indicates a deliberate placement of the ball in the user's possession, which aligns with the 'Object Transfer' category.",r001,Walking Outdoors,Gold,,783.2706666666667,114cdc4b-4ae5-4938-8218-151e1e35b3db
Essential Operation,2,Object Transfer,#O x throws the ball into the hoop,"The action involves a deliberate and forceful motion, likely with high hand acceleration, to throw the ball.",r001,Walking Outdoors,,Delete Row,796.3609866666667,114cdc4b-4ae5-4938-8218-151e1e35b3db
Locomotion,2,Essential Operation,#O x shoots the ball,"Body moving through space, likely involves walking or running.",r001,Walking Outdoors,,Delete Row,867.3527166666667,114cdc4b-4ae5-4938-8218-151e1e35b3db
Locomotion,2,Essential Operation,#C c shoots the ball,"Body moving through space, likely involves walking or running.",r001,Walking Outdoors,,Delete Row,910.0801866666668,114cdc4b-4ae5-4938-8218-151e1e35b3db
Locomotion,2,Object Transfer,#C c throws the ball to #O,Body moving through space while performing an action (throwing a ball).,r001,Walking Outdoors,,Delete Row,969.1601066666668,114cdc4b-4ae5-4938-8218-151e1e35b3db
Locomotion,2,,#O x throws the ball to #C,"The action involves movement through space, which is characteristic of locomotion.",r001,Walking Outdoors,,Delete Row,990.9383066666668,114cdc4b-4ae5-4938-8218-151e1e35b3db
Locomotion,2,,#C c throws the ball to the hoop,"Body moving through space while performing an action that involves throwing, which is not the primary focus of the motion classification.",r001,Walking Outdoors,,Delete Row,1099.90541,114cdc4b-4ae5-4938-8218-151e1e35b3db
Essential Operation,2,,#O x throws the ball to the hoop,"The action involves a targeted throw, which is a core manual task requiring precise hand movements.",r001,Walking Outdoors,,Delete Row,1151.05415,114cdc4b-4ae5-4938-8218-151e1e35b3db
Essential Operation,2,Essential Operation,#O man X catches the basketball,"[CtxFixed] Catching the basketball is a necessary step in the process of playing basketball, such as preparing to throw the ball towards the basket. This action is not about movement or transfer of the object itself but rather an essential part of the game.",r001,Walking Outdoors,,Delete Row,1400.96801,114cdc4b-4ae5-4938-8218-151e1e35b3db
Locomotion,2,,#O man X runs towards the basketball,Body moving through space at a fast pace.,r001,Walking Outdoors,Gold,,1405.36823,114cdc4b-4ae5-4938-8218-151e1e35b3db
