action,batch,corrected_action,narration_text,reasoning,round,scenario,status_main,status_secondary,timestamp_sec,video_uid
Locomotion,5,Object Transfer,#C C puts bicycle aside,"Body movement to place the bicycle, likely involves standing up or moving to set it aside.",r001,Mechanical Repair,Bad,,875.7727033333333,067b03df-107c-4b7c-9dcc-eb9cdf56d682
Essential Operation,5,,#C C scrubs the carpet with the cloth,Core manual task involving high hand activity.,r001,Cleaning,Gold,,39.4431386,0d825fa6-51fc-41d7-b179-db3b3a0b148f
Object Transfer,5,,#C C places the cloth on the sink,"Logistics step, placing an object.",r001,Cleaning,Gold,,326.6259898207032,0d825fa6-51fc-41d7-b179-db3b3a0b148f
Object Transfer,5,,#C C drops the black funnel on the paper with his left hand.,"[CtxFixed] The action involves deliberately placing the black funnel onto the paper, which fits the criteria for Object Transfer.",r001,Mechanical Repair,Gold,,137.93766,0e61fde0-18ed-44df-8328-816a4756f77e
Essential Operation,5,,#C C inserts the dipstick into the motorcycle with his left hand.,Core task involving high hand activity.,r001,Mechanical Repair,Gold,,139.78308,0e61fde0-18ed-44df-8328-816a4756f77e
Stationary,5,,#C C stops stirring the food with the wooden spoon in her right hand,"Low body/hand motion, indicates a pause or stop in activity.",r001,Cooking,Gold,,76.63169,1120c597-930c-49b7-8a61-f0dce9c31be5
Object Transfer,5,,#C C picks up a bottle on the kitchen slab with her right hand,Logistics step involving picking up an object.,r001,Cooking,Gold,,77.51701,1120c597-930c-49b7-8a61-f0dce9c31be5
Stationary,5,,#C C touches her face with her right hand #unsure,"Low body/hand motion, likely a brief, stationary action.",r001,Cooking,Gold,,98.82568,1120c597-930c-49b7-8a61-f0dce9c31be5
Stationary,5,,#C C holds the wooden spoon with her right hand,"The action involves holding an object without any movement, indicating low energy activity.",r001,Cooking,Gold,,105.10982,1120c597-930c-49b7-8a61-f0dce9c31be5
Essential Operation,5,,#C C stirs the food with the wooden spoon in her right hand,Core task involving repetitive hand movements.,r001,Cooking,Gold,,105.47965,1120c597-930c-49b7-8a61-f0dce9c31be5
Object Transfer,5,,#C C opens the bottle with her right hand,Logistics action involving opening a bottle.,r001,Cooking,Gold,,118.74137,1120c597-930c-49b7-8a61-f0dce9c31be5
Object Transfer,5,,#C C places the phone aside.,Logistics step of putting the phone aside.,r001,Mechanical Repair,Gold,,566.8444921677084,14644fba-afeb-471c-8d82-2a7783dc67c5
Stationary,5,,#C C moves his hand away from the steering wheel.,"Low body/hand motion, indicating a pause or transition to a new action.",r001,Mechanical Repair,Gold,,568.6490621677084,14644fba-afeb-471c-8d82-2a7783dc67c5
Essential Operation,5,,#C C pulls the gear.,"Core task involving manual effort, likely with high hand acceleration.",r001,Mechanical Repair,Gold,,588.9304021677084,14644fba-afeb-471c-8d82-2a7783dc67c5
Stationary,5,Object Transfer,#C C pulls the visor.,The action of pulling a visor is likely a quick movement with minimal body acceleration.,r001,Mechanical Repair,Bad,,933.6292027326308,14644fba-afeb-471c-8d82-2a7783dc67c5
Locomotion,5,Object Transfer,#C C pulls up the gear.,"Body movement to pull up an object, indicating a change in position.",r001,Mechanical Repair,Bad,,985.4939727326308,14644fba-afeb-471c-8d82-2a7783dc67c5
Essential Operation,5,,#C C dips kitchen cloth in the sink,Core task involving high hand activity.,r001,Cleaning,Gold,,6.1873986,17b06e6c-3823-4825-91d1-68a9864bd983
Object Transfer,5,,#C C throws adapter on a window sill,"The action involves placing an object, which is a logistics step.",r001,Cleaning,Gold,,365.2101524964844,17b06e6c-3823-4825-91d1-68a9864bd983
Locomotion,5,Essential Operation,#C C sweeps the other part of the yard with a broom,"Movement through space while performing a task, high body acceleration.",r001,Cleaning,Gold,,148.5106296,18edc157-d1d7-4ad6-bfb9-355c14560a65
Essential Operation,5,,#C C brushes edge floor with the brush,Core manual task involving high hand activity.,r001,Mechanical Repair,Gold,,591.5495381211263,18fc3782-9929-4df3-b6c9-40943de4c22d
Essential Operation,5,,#C C sands the wall with sand paper,Core manual task involving high hand activity.,r001,Mechanical Repair,Gold,,776.7106581211262,18fc3782-9929-4df3-b6c9-40943de4c22d
Essential Operation,5,,#C C takes #unsure,"[CtxFixed] The current action continues the pattern of cleaning the wall, which is consistent with the previous actions classified as 'Essential Operation'.",r001,Mechanical Repair,,Skip,1246.213498456831,18fc3782-9929-4df3-b6c9-40943de4c22d
Search,5,,#C C looks at the screw,"Head movement (visual inspection), hands mostly still.",r001,Carpentry,Gold,,104.49572,1b21ee39-9ed2-4684-96aa-ffa9a7855f3d
Stationary,5,,#C C touches the machine with right hand,"Low body/hand motion, likely checking or adjusting the machine.",r001,Carpentry,Gold,,172.09295,1b21ee39-9ed2-4684-96aa-ffa9a7855f3d
Essential Operation,5,Stationary,#C C moves the right hand to the rod,"Core manual task, high hand activity.",r001,Carpentry,Gold,,253.70786,1b21ee39-9ed2-4684-96aa-ffa9a7855f3d
Stationary,5,,#C C touches the bolt,"The action 'touches the bolt' implies a stationary, low-energy interaction.",r001,Carpentry,Gold,,447.89005,1b21ee39-9ed2-4684-96aa-ffa9a7855f3d
Search,5,,#C C looks at the bolt,"Head movement (visual inspection), hands mostly still.",r001,Carpentry,Gold,,528.23968,1b21ee39-9ed2-4684-96aa-ffa9a7855f3d
Object Transfer,5,,#C C puts the hex key on the machine,Logistics step involving placing an object.,r001,Carpentry,Gold,,644.4026533333333,1b21ee39-9ed2-4684-96aa-ffa9a7855f3d
Stationary,5,,#C C touches the curtain,"Low body/hand motion, likely involves gentle touch.",r001,Carpentry,Gold,,721.8792533333333,1b21ee39-9ed2-4684-96aa-ffa9a7855f3d
Search,5,,#C C looks at the spanners,"Head movement (visual inspection), hands mostly still.",r001,Carpentry,Gold,,1068.4474826666665,1b21ee39-9ed2-4684-96aa-ffa9a7855f3d
Search,5,,#C C looks at the cylinders,"Visual inspection, likely involves head movement and minimal hand activity.",r001,Carpentry,Gold,,1186.2702466666667,1b21ee39-9ed2-4684-96aa-ffa9a7855f3d
Locomotion,5,,#C C takes #unsure,"Movement through space, likely walking or moving with uncertainty.",r001,Walking Outdoors,,Skip,1.46514,1b3c0015-a687-4237-abb5-cde1bfd1e85f
Stationary,5,Object Transfer,#C C presses on the lift button,"Pressing a button involves minimal body movement, primarily hand activity.",r001,Walking Outdoors,Gold,,95.10204,1b3c0015-a687-4237-abb5-cde1bfd1e85f
Locomotion,5,,#C C walks back to the previously marked wall,Body moving through space (walking).,r001,Carpentry,Gold,,97.4228196,1bc1f5e9-9d74-4a07-9d1b-39e5410436b6
Locomotion,5,,#C C walks back to the driller on the floor,Body moving through space (walking).,r001,Carpentry,Gold,,362.7590209546634,1bc1f5e9-9d74-4a07-9d1b-39e5410436b6
Stationary,5,,#C C Holds a packet of pastries with a the other hand,"Low body/hand motion, holding an item.",r001,Cooking,Gold,,8.482655266666667,1d3ef460-0afc-4d50-9701-48204c907b43
Object Transfer,5,,#C C Picks utensils on a table,Logistics/Setup step involving picking up objects.,r001,Cooking,Gold,,24.259205266666665,1d3ef460-0afc-4d50-9701-48204c907b43
Object Transfer,5,,#C C Closes a cooking pot with a lid,Logistics step involving picking up and placing the lid on the pot.,r001,Cooking,Gold,,37.86719526666667,1d3ef460-0afc-4d50-9701-48204c907b43
Object Transfer,5,,#C C Opens a cooking pot,Logistics step involving opening a pot.,r001,Cooking,Gold,,39.59705526666667,1d3ef460-0afc-4d50-9701-48204c907b43
Locomotion,5,Object Transfer,#C C Moves a cooking pot on a gas cooker,"Body moving through space to move a pot, high body acceleration expected.",r001,Cooking,Bad,,40.20487526666667,1d3ef460-0afc-4d50-9701-48204c907b43
Object Transfer,5,,#C C picks earphones on the table.,Logistics step involving picking up an item.,r001,Cooking,Gold,,301.97768526666664,1d3ef460-0afc-4d50-9701-48204c907b43
Essential Operation,5,,#C C cleans cooking stick.,"Core task involving manual cleaning, high hand activity.",r001,Cooking,Gold,,531.8155452666667,1d3ef460-0afc-4d50-9701-48204c907b43
Essential Operation,5,,#C C scrubs plate,Core task involving high hand activity.,r001,Cooking,Gold,,560.3866652666667,1d3ef460-0afc-4d50-9701-48204c907b43
Object Transfer,5,,#C C picks bowl from the sink,Logistics step involving picking up an object.,r001,Cooking,Gold,,580.4965552666667,1d3ef460-0afc-4d50-9701-48204c907b43
Object Transfer,5,,#C C flips plate,Logistics step involving the manipulation and movement of an object.,r001,Cooking,Gold,,639.1569252666667,1d3ef460-0afc-4d50-9701-48204c907b43
Stationary,5,,#C C holds chopping board in the right hand,Holding an object without significant movement.,r001,Cooking,Gold,,660.1869352666668,1d3ef460-0afc-4d50-9701-48204c907b43
Object Transfer,5,Essential Operation,#C C closes the kettle heater,Logistics action involving closing an object.,r001,Cooking,Gold,,12.3196886,1e5ca2af-3f1b-40d5-b3a7-d712ac4b5065
Object Transfer,5,,#C C picks the utensils cleaning scrubber,Logistics step involving picking up an object.,r001,Cooking,Gold,,36.6578286,1e5ca2af-3f1b-40d5-b3a7-d712ac4b5065
Stationary,5,,#C C holds the spoon with left hand.,"Low body/hand motion, holding an object without movement.",r001,Cooking,Gold,,405.831739069057,1e5ca2af-3f1b-40d5-b3a7-d712ac4b5065
Stationary,5,Essential Operation,#C C tastes the mixture.,"Low body/hand motion, primarily involves tasting.",r001,Cooking,Gold,,409.558409069057,1e5ca2af-3f1b-40d5-b3a7-d712ac4b5065
Object Transfer,5,,#C C takes empty packet.,Logistics/Setup step (taking an object).,r001,Cooking,Gold,,492.992299069057,1e5ca2af-3f1b-40d5-b3a7-d712ac4b5065
Object Transfer,5,Stationary,#C C raise hand to the cabinet.,"The action involves reaching for an object, which is a logistics step.",r001,Cooking,Bad,,508.449939069057,1e5ca2af-3f1b-40d5-b3a7-d712ac4b5065
Essential Operation,5,,#C C mixes the mixture.,Core task involving high hand activity.,r001,Cooking,Gold,,513.939609069057,1e5ca2af-3f1b-40d5-b3a7-d712ac4b5065
