action,batch,corrected_action,narration_text,reasoning,round,scenario,status_main,status_secondary,timestamp_sec,video_uid
Object Transfer,9,,#C C places the spirit level beside the cable channel.,"The action involves placing an object, which is a logistics step.",r001,Carpentry,,,36.544779600000005,01d793c6-e235-4af1-8a1d-c70dcf0c8654
Essential Operation,9,,#C C pushes the cable channel against the wall with his right hand.,Core manual task involving high hand activity.,r001,Carpentry,,,43.9902996,01d793c6-e235-4af1-8a1d-c70dcf0c8654
Object Transfer,9,,#C C picks up a second power drill.,Logistics step involving picking up an object.,r001,Carpentry,,,96.0154796,01d793c6-e235-4af1-8a1d-c70dcf0c8654
Object Transfer,9,,#C C picks up a plier with his left hand.,Logistics step of picking up an object.,r001,Carpentry,,,154.8288696,01d793c6-e235-4af1-8a1d-c70dcf0c8654
Essential Operation,9,,#C C hammers the screw with the plier.,Core manual task involving high hand activity.,r001,Carpentry,,,156.48742959999998,01d793c6-e235-4af1-8a1d-c70dcf0c8654
Object Transfer,9,,#C C removes the cable channel from the wood platform.,Logistics step involving removing an object from a location.,r001,Carpentry,,,268.3498396,01d793c6-e235-4af1-8a1d-c70dcf0c8654
Essential Operation,9,,#C C marks the cable channel with the pen.,"Core manual task, high hand activity.",r001,Carpentry,,,270.0568996,01d793c6-e235-4af1-8a1d-c70dcf0c8654
Essential Operation,9,,#C C separates the cable channel with his hands.,Core task involving high hand activity.,r001,Carpentry,,,281.9858396,01d793c6-e235-4af1-8a1d-c70dcf0c8654
Essential Operation,9,,#C C disconnects one of the sides of the conduit with the screwdriver,Core manual task involving high hand activity.,r001,Carpentry,,,293.2683909546634,01d793c6-e235-4af1-8a1d-c70dcf0c8654
Essential Operation,9,,#C C turns the plastic conduit in both hands,"High hand activity, core manual task.",r001,Carpentry,,,302.8176309546634,01d793c6-e235-4af1-8a1d-c70dcf0c8654
Search,9,,#C C marks the ceiling with the pen around the plastic conduit,Visual search or monitoring (marking around the conduit),r001,Carpentry,,,391.4896309546634,01d793c6-e235-4af1-8a1d-c70dcf0c8654
Locomotion,9,,#C C raises the ceiling slab with both hands,"Body moving through space with a heavy object, indicating high body acceleration.",r001,Carpentry,,,465.6356709546634,01d793c6-e235-4af1-8a1d-c70dcf0c8654
Essential Operation,9,,#C C fixes a screw on the drill bit of the screw gun,Core manual task involving high hand activity.,r001,Carpentry,,,568.93845762133,01d793c6-e235-4af1-8a1d-c70dcf0c8654
Stationary,9,,#C C holds the plastic conduit with his left hand,"Low body/hand motion, holding an object without moving.",r001,Carpentry,,,572.42152762133,01d793c6-e235-4af1-8a1d-c70dcf0c8654
Stationary,9,,#C C adjusts the plastic conduit with his left thumb,"Fine motor adjustment with one thumb, minimal body movement.",r001,Carpentry,,,582.06169762133,01d793c6-e235-4af1-8a1d-c70dcf0c8654
Object Transfer,9,,#C C places the screw gun with the screw on the plastic conduit on the wall,"Logistics of placing objects, involves moving items to a specific location.",r001,Carpentry,,,595.95119762133,01d793c6-e235-4af1-8a1d-c70dcf0c8654
Essential Operation,9,,#C C pushes the chopping board,"Core task involving manual manipulation, high hand activity.",r001,Cooking,,,95.1181486,024713b7-b198-4502-a114-02ca0485353b
Object Transfer,9,,#C C places knife on the chopping board,Logistics step involving placing an object.,r001,Cooking,,,364.8514586458333,024713b7-b198-4502-a114-02ca0485353b
Object Transfer,9,,#C C places garlic on the chopping board,"Logistics step, placing an object.",r001,Cooking,,,441.4705686458333,024713b7-b198-4502-a114-02ca0485353b
Object Transfer,9,,#C C puts garlic skin in the bowl,Logistics step involving moving an object.,r001,Cooking,,,446.14425864583336,024713b7-b198-4502-a114-02ca0485353b
Essential Operation,9,,#C C stirs the food in the frying pan,Core manual task involving high hand activity.,r001,Cooking,,,454.0868386458333,024713b7-b198-4502-a114-02ca0485353b
Essential Operation,9,,#C C wets her hand,Core task involving manual operation with high hand activity.,r001,Cooking,,,592.8384721677083,024713b7-b198-4502-a114-02ca0485353b
Essential Operation,9,,#C C scoops the seasoning,Core task involving high hand activity.,r001,Cooking,,,659.3828821677084,024713b7-b198-4502-a114-02ca0485353b
Object Transfer,9,,#C C takes the double oven gloves from the oven rack,"Logistics/Setup step, picking up an object.",r001,Cooking,,,722.2541721677084,024713b7-b198-4502-a114-02ca0485353b
Object Transfer,9,,#C C takes the tray out of the oven,Logistics step involving picking up and moving an object.,r001,Cooking,,,729.2491121677084,024713b7-b198-4502-a114-02ca0485353b
Essential Operation,9,,#C C stirs the food with a wooden spoon,Core task involving repetitive hand movements.,r001,Cooking,,,751.6865721677084,024713b7-b198-4502-a114-02ca0485353b
Object Transfer,9,,#C C puts the cap on the counter,Logistics step involving placing an object.,r001,Cooking,,,773.9702221677084,024713b7-b198-4502-a114-02ca0485353b
Object Transfer,9,,#C C moves the wooden spoon onto the rack,Logistics action involving moving an object to a specific location.,r001,Cooking,,,859.8193521677083,024713b7-b198-4502-a114-02ca0485353b
Stationary,9,,#C C pushes the rack in,"Low body/hand motion, likely involves minimal movement.",r001,Cooking,,,889.0244821677084,024713b7-b198-4502-a114-02ca0485353b
