action,batch,corrected_action,narration_text,reasoning,round,scenario,status_main,status_secondary,timestamp_sec,video_uid
Essential Operation,6,,#C C adjusts the engine body on the workbench with both hands,Core manual task involving high hand activity.,r001,Mechanical Repair,Gold,,19.37658,0066ab25-04ad-41b2-89ab-283d2bfa1c4b
Stationary,6,,#C C holds the engine body on the workbench with his left hand.,"Low body/hand motion, holding position.",r001,Mechanical Repair,Gold,,54.05055,0066ab25-04ad-41b2-89ab-283d2bfa1c4b
Stationary,6,,#C C holds the engine body with his left hand.,"The action describes holding an object, which involves minimal movement and is essentially a static position.",r001,Mechanical Repair,Gold,,73.12878,0066ab25-04ad-41b2-89ab-283d2bfa1c4b
Stationary,6,,#C C holds the engine body with his right hand.,"Low body/hand motion, holding an object in place.",r001,Mechanical Repair,Gold,,86.44813,0066ab25-04ad-41b2-89ab-283d2bfa1c4b
Essential Operation,6,,#C C wipes the engine body with his left hand.,Core task involving high hand activity.,r001,Mechanical Repair,Gold,,237.93183,0066ab25-04ad-41b2-89ab-283d2bfa1c4b
Essential Operation,6,,#C C scrapes the edge of the engine body with the utility knife in both hands.,Core manual task involving high hand activity.,r001,Mechanical Repair,,Skip,288.6781,0066ab25-04ad-41b2-89ab-283d2bfa1c4b
Essential Operation,6,,#C C adjusts a workbench vise handle with his left hand.,Core manual task involving high hand activity.,r001,Mechanical Repair,Gold,,414.69938,0066ab25-04ad-41b2-89ab-283d2bfa1c4b
Essential Operation,6,,#C C adjusts the wire plug with his left hand.,"Core manual task, high hand activity.",r001,Mechanical Repair,Gold,,493.20951,0066ab25-04ad-41b2-89ab-283d2bfa1c4b
Locomotion,6,,#C the man X walks towards C.,Body moving through space (walking).,r001,Mechanical Repair,Gold,,512.33744,0066ab25-04ad-41b2-89ab-283d2bfa1c4b
Search,6,Essential Operation,#C c checks the time on the wrist watch,"Head movement (checking time), hands mostly still.",r001,Walking Outdoors,Gold,,40.0929886,02877cad-35c5-423b-8e93-11cf79fe4b31
Stationary,6,,#C c stops at the bridge to view,"The action indicates a pause, with low body and hand motion.",r001,Walking Outdoors,Gold,,1091.0485790544828,02877cad-35c5-423b-8e93-11cf79fe4b31
Stationary,6,Essential Operation,#C C untwists earphones,"The action involves manipulating an object in a relatively static position, with minimal body movement.",r001,Walking Outdoors,Bad,,57.17234,055ba601-c243-4d4a-8a2c-694a5c88824c
Stationary,6,Essential Operation,#C C takes out the phone,The action of taking out the phone is a quick motion and does not involve continuous movement or high body acceleration.,r001,Walking Outdoors,Bad,,209.26258,055ba601-c243-4d4a-8a2c-694a5c88824c
Stationary,6,Essential Operation,#C C takes photos with the phone,Taking photos is a relatively stationary activity with minimal body movement.,r001,Walking Outdoors,Bad,,356.45734,055ba601-c243-4d4a-8a2c-694a5c88824c
Stationary,6,,#C C plays with his hands,"Low body/hand motion, playing with hands indicates a pause in locomotion.",r001,Walking Outdoors,,Skip,600.0439333333334,055ba601-c243-4d4a-8a2c-694a5c88824c
Locomotion,6,,#C C rides with no hands on bike's handlebars,Body moving through space during an outdoor activity (riding a bike).,r001,Walking Outdoors,Gold,,1061.7600733333334,055ba601-c243-4d4a-8a2c-694a5c88824c
Essential Operation,6,,#C C exercises with gym weights,Core manual task involving physical activity with weights.,r001,Desk Work,Gold,,6.3193386,05d231ed-7457-441f-b8ff-1393576989bc
Stationary,6,,#C C exercises the body,"The action implies a static activity such as stretching or light exercise while seated, with minimal movement.",r001,Desk Work,,Skip,116.6357586,05d231ed-7457-441f-b8ff-1393576989bc
Object Transfer,6,,#C C drops the spatula,"[CtxFixed] The action of dropping the spatula can be interpreted as a deliberate placement of the object onto a surface, which fits the criteria for 'Object Transfer'.",r001,Cooking,Gold,,338.0130909546634,0a01978c-e16d-4587-95f1-49efa3ab15d9
Object Transfer,6,,#C C picks a fork and a knife,Logistics/Setup step involving picking up objects.,r001,Cooking,Gold,,339.1738609546634,0a01978c-e16d-4587-95f1-49efa3ab15d9
Object Transfer,6,,#C C picks a piece of #unsure,"Logistics step, picking up an object.",r001,Cooking,Gold,,397.6531609546634,0a01978c-e16d-4587-95f1-49efa3ab15d9
Search,6,,#C C looks at the pan,"Head movement (visual inspection), hands mostly still.",r001,Cooking,Gold,,414.3487709546634,0a01978c-e16d-4587-95f1-49efa3ab15d9
Stationary,6,,#C C holds knife and fork,"Low body/hand motion, holding items without moving through space.",r001,Cooking,Gold,,476.1534209546634,0a01978c-e16d-4587-95f1-49efa3ab15d9
