action,batch,corrected_action,narration_text,reasoning,round,scenario,status_main,status_secondary,timestamp_sec,video_uid
Stationary,12,,#C C presses the home button of the phone,"Low body/hand motion, likely involves minimal movement.",r001,Playing Instrument,Gold,,876.2393673123536,0091e812-f56f-4bd9-ad65-019fc97c1ffe
Stationary,12,,#C C holds the neck of the guitar,"Low body/hand motion, preparing to play.",r001,Playing Instrument,Gold,,1041.1114573123537,0091e812-f56f-4bd9-ad65-019fc97c1ffe
Stationary,12,Essential Operation,#C C moves hand away from the phone,"The action describes a hand moving away from the phone, which is a low-energy movement.",r001,Playing Instrument,Bad,,1134.754877144922,0091e812-f56f-4bd9-ad65-019fc97c1ffe
Stationary,12,Essential Operation,#C C taps on the phone's screen,"Low body/hand motion, primarily finger movement.",r001,Playing Instrument,Bad,,1163.5470671449218,0091e812-f56f-4bd9-ad65-019fc97c1ffe
Stationary,12,Essential Operation,#C C swipes on the phone's screen,The action involves minimal movement and is likely performed while the person is in a static position.,r001,Playing Instrument,Bad,,1277.7864571449218,0091e812-f56f-4bd9-ad65-019fc97c1ffe
Stationary,12,Object Transfer,#C C puts the phone on his lap,Putting the phone down is a setup action with low subsequent motion.,r001,Playing Instrument,Bad,,1555.77299721162,0091e812-f56f-4bd9-ad65-019fc97c1ffe
Stationary,12,Essential Operation,#C C turns the phone,"Low body/hand motion, likely involves minimal movement.",r001,Playing Instrument,Bad,,1590.66350721162,0091e812-f56f-4bd9-ad65-019fc97c1ffe
Essential Operation,12,,#C C hits the brush on the paint container,Core task involving manual action with high hand acceleration.,r001,Mechanical Repair,Gold,,196.4075396,036ed5cd-297e-4592-97ee-0611adbc45d2
Essential Operation,12,,#C C paints the railing with the brush,Core manual task involving high hand activity.,r001,Mechanical Repair,Gold,,386.07183095466337,036ed5cd-297e-4592-97ee-0611adbc45d2
Essential Operation,12,,#C C hits the paint container with the brush,Core manual task involving high hand activity.,r001,Mechanical Repair,Gold,,410.5503909546634,036ed5cd-297e-4592-97ee-0611adbc45d2
Stationary,12,,#C C stops adjusting the nylon on the floor.,"Low body/hand motion, indicating a pause or rest.",r001,Mechanical Repair,Gold,,583.2172976213301,036ed5cd-297e-4592-97ee-0611adbc45d2
Stationary,12,Essential Operation,#C C cleans his forehead with his right hand. #unsure,"Low body/hand motion, likely a brief idle or pause action.",r001,Mechanical Repair,Bad,,587.69706762133,036ed5cd-297e-4592-97ee-0611adbc45d2
Object Transfer,12,,#C C drops the stone on the nylon on the floor.,Refined via regex fallback,r001,Mechanical Repair,Gold,,599.55441762133,036ed5cd-297e-4592-97ee-0611adbc45d2
Stationary,12,,#C C stops hitting the top of the paint can with the paint brush.,"The action indicates a pause in motion, suggesting low energy activity.",r001,Mechanical Repair,Gold,,957.53093762133,036ed5cd-297e-4592-97ee-0611adbc45d2
Object Transfer,12,Essential Operation,#C C hits the top of the paint can with the paint brush.,"[CtxFixed] The action involves moving the paint brush and interacting with the paint can, which is part of the process of transferring paint from the can to the brush.",r001,Mechanical Repair,Bad,,1076.690312287997,036ed5cd-297e-4592-97ee-0611adbc45d2
Essential Operation,12,,#C C paints the balcony with the paint brush.,Core manual task involving repetitive hand movements.,r001,Mechanical Repair,Gold,,1150.9625242879963,036ed5cd-297e-4592-97ee-0611adbc45d2
Stationary,12,,#C C stretches both legs forward.,"Low body/hand motion, indicating a pause or idle action.",r001,Mechanical Repair,Gold,,1201.7832042879966,036ed5cd-297e-4592-97ee-0611adbc45d2
Stationary,12,,#C C stops hitting the top paint can with the paint brush.,"The action indicates a pause in activity, suggesting low energy and a stationary state.",r001,Mechanical Repair,Gold,,1248.6553042879966,036ed5cd-297e-4592-97ee-0611adbc45d2
Locomotion,12,,#C C walks back to the balcony.,"Body moving through space, indicative of walking.",r001,Mechanical Repair,Gold,,1305.1477542879966,036ed5cd-297e-4592-97ee-0611adbc45d2
Stationary,12,,#C C stops hitting the paint brush on the top of the paint can.,"The action describes a pause in motion, indicating low body and hand activity.",r001,Mechanical Repair,Gold,,1402.2755442879966,036ed5cd-297e-4592-97ee-0611adbc45d2
