"action","annotation_id","annotator","batch","corrected_action","created_at","dataset_rows_covered_if_validated","global_rank","high_priority_reason","high_priority_review","historical_bad_count","historical_bad_rate","historical_checked_count","id","lead_time","narration_text","normalized_narration_stage2","reasoning","round","scenario","secondary_action","status","timestamp_sec","updated_at","verdict","video_uid","watchlist_hit"
"Object Transfer",1,"1",3,"","2026-03-03T01:58:26.382464Z",4,7787,"","no",0,0.0,0,1,26.87,"#C C puts plectrum on the drum","puts plectrum on drum","Logistics step, placing an object on the instrument.","r002","Playing Instrument","","silver",59.2484886,"2026-03-03T04:46:24.140566Z","Gold","0550b3f4-94a5-4e91-a00f-316d4a1d4d59","no"
"Locomotion",2,"1",3,"","2026-03-03T01:59:01.404332Z",5,5580,"","no",0,0.0,0,2,2.432,"#C C steps on headrush pedalboard","steps on headrush pedalboard","Body movement through space to activate a pedal, indicative of high body acceleration.","r002","Playing Instrument","","silver",601.4012158696307,"2026-03-03T01:59:01.404345Z","Gold","0550b3f4-94a5-4e91-a00f-316d4a1d4d59","no"
"Stationary",3,"1",3,"","2026-03-03T01:59:08.326536Z",3,10129,"","no",0,0.0,0,3,6.203,"#C C equalizes the sound","equalizes sound","Adjusting settings is a low-energy activity with minimal body or hand movement.","r002","Playing Instrument","Task Operation","silver",625.2600958696307,"2026-03-03T01:59:08.326554Z","Gold","0550b3f4-94a5-4e91-a00f-316d4a1d4d59","no"
"Object Transfer",4,"1",3,"","2026-03-03T01:59:10.904257Z",8,2288,"","no",0,0.0,0,4,1.651,"#C C puts the drum stick on the drum","puts drum stick on drum","Logistics step involving placing an object.","r002","Playing Instrument","","silver",891.419498365625,"2026-03-03T01:59:10.904275Z","Gold","0550b3f4-94a5-4e91-a00f-316d4a1d4d59","no"
"Object Transfer",5,"1",3,"","2026-03-03T01:59:21.839718Z",3,11342,"","no",0,0.0,0,5,9.515,"#C C picks the plectrum from the drum","picks plectrum from drum","Logistics/Setup step, picking up an object.","r002","Playing Instrument","","silver",1420.2819756094857,"2026-03-03T01:59:21.839742Z","Gold","0550b3f4-94a5-4e91-a00f-316d4a1d4d59","no"
"Locomotion",6,"1",3,"","2026-03-03T02:00:31.761369Z",4,6263,"","no",0,0.0,0,6,2.049,"#C C ascends the stairs","ascends stairs","Body moving through space (ascending stairs), high body acceleration.","r002","Desk Work","","silver",2561.784661933333,"2026-03-03T02:00:31.761385Z","Gold","073d8415-2689-451c-a43d-147335ef0003","no"
"Object Transfer",7,"1",3,"","2026-03-03T02:00:34.114718Z",3,8689,"watchlist_verb","yes",0,0.0,0,7,1.522,"#C C closes the cabinet with her left hand","closes cabinet with her left hand","Closing an object (cabinet), a logistics step.","r002","Cooking","","silver",38.1776696,"2026-03-03T02:00:34.114728Z","Gold","0b90f635-f966-4b97-988d-6594183bc08d","yes"
"Locomotion",8,"1",3,"","2026-03-03T02:00:36.480902Z",4,8432,"","no",0,0.0,0,8,1.561,"#C C walks toward the refrigerator","walks toward refrigerator","Body moving through space (walking).","r002","Cooking","","silver",46.2991696,"2026-03-03T02:00:36.480917Z","Gold","0b90f635-f966-4b97-988d-6594183bc08d","no"
"Stationary",9,"1",3,"","2026-03-03T02:00:39.134810Z",5,4193,"watchlist_verb","yes",0,0.0,0,9,1.783,"#C holds the canned drink on his mouth with his right hand #unsure","holds canned drink on his mouth with his right hand","Low body/hand motion, holding an object.","r002","Cooking","","silver",643.4827109546634,"2026-03-03T02:00:39.134821Z","Gold","0b90f635-f966-4b97-988d-6594183bc08d","yes"
"Object Transfer",10,"1",3,"Stationary","2026-03-03T02:01:15.280366Z",3,11365,"","no",0,0.0,0,10,49.574,"#C C picks the sandwich on the plate with his hands","picks sandwich on plate with his hands","Logistics step involving picking up an object.","r002","Cooking","","silver",659.9370809546634,"2026-03-03T02:03:27.709346Z","Bad","0b90f635-f966-4b97-988d-6594183bc08d","no"
"Object Transfer",11,"1",3,"","2026-03-03T02:01:21.712002Z",3,10523,"","no",0,0.0,0,11,5.674,"#C C lowers the sandwich from his mouth with his hands #unsure","lowers sandwich from his mouth with his hands","The action involves moving an object (the sandwich) from the mouth to a lower position, which is a logistics step.","r002","Cooking","","silver",663.7032409546634,"2026-03-03T02:01:21.712020Z","Gold","0b90f635-f966-4b97-988d-6594183bc08d","no"
"Stationary",12,"1",3,"","2026-03-03T02:01:40.399439Z",3,10855,"","no",0,0.0,0,12,17.837,"#C C operates the remote control with his left hand","operates remote control with his left hand","Operating a remote control typically involves minimal body movement and is a low-energy activity.","r002","Cooking","","silver",673.5829409546634,"2026-03-03T02:01:40.399453Z","Skip","0b90f635-f966-4b97-988d-6594183bc08d","no"
"Stationary",13,"1",3,"","2026-03-03T02:01:43.683330Z",4,5998,"watchlist_verb","yes",0,0.0,0,13,2.264,"#C C holds the sandwich with his right hand","holds sandwich with his right hand","Low body/hand motion, holding an object.","r002","Cooking","","silver",689.2037509546634,"2026-03-03T02:01:43.683344Z","Gold","0b90f635-f966-4b97-988d-6594183bc08d","yes"
"Object Transfer",14,"1",3,"","2026-03-03T02:01:49.549300Z",3,10414,"","no",0,0.0,0,14,5.212,"#C C lifts the sandwich towards his mouth with his right hand #unsure","lifts sandwich towards his mouth with his right hand","Logistics step of moving the sandwich towards the mouth.","r002","Cooking","","silver",698.5691609546634,"2026-03-03T02:01:49.549316Z","Gold","0b90f635-f966-4b97-988d-6594183bc08d","no"
"Stationary",15,"1",3,"","2026-03-03T02:01:51.666978Z",3,8885,"watchlist_verb","yes",0,0.0,0,15,1.376,"#C C holds the sandwich with his hands","holds sandwich with his hands","Low body/hand motion, holding an object without moving.","r002","Cooking","","silver",763.7005769546635,"2026-03-03T02:01:51.666993Z","Gold","0b90f635-f966-4b97-988d-6594183bc08d","yes"
"Object Transfer",16,"1",3,"","2026-03-03T02:02:41.911520Z",5,4668,"","no",0,0.0,0,16,49.487,"#c c hangs helmet on the bicycle","hangs helmet on bicycle","Logistics step involving picking up and placing the helmet.","r002","Mechanical Repair","","silver",1387.87565,"2026-03-03T02:02:41.911532Z","Gold","0f1024e6-ff80-46e2-aea8-3878f11bc1d7","no"
