"action","annotation_id","annotator","batch","corrected_action","created_at","dataset_rows_covered_if_validated","global_rank","high_priority_reason","high_priority_review","historical_bad_count","historical_bad_rate","historical_checked_count","id","lead_time","narration_text","normalized_narration_stage2","reasoning","round","scenario","secondary_action","status","timestamp_sec","updated_at","verdict","video_uid","watchlist_hit"
"Stationary",2436,"1",10,"Essential Operation","2026-03-03T01:03:48.351764Z",7,2452,"watchlist_verb","yes",0,0.0,0,2436,29.041,"#C C adjusts the guitar's tuner","adjusts guitar s tuner","Adjusting the tuner involves fine hand movements but minimal body motion.","r002","Playing Instrument","","silver",1138.523147144922,"2026-03-03T01:03:48.351780Z","Bad","0091e812-f56f-4bd9-ad65-019fc97c1ffe","yes"
"Essential Operation",2437,"1",10,"","2026-03-03T01:03:56.089534Z",6,3138,"watchlist_verb","yes",0,0.0,0,2437,7.584,"#C C adjusts the guitar's tuners","adjusts guitar s tuners","Core manual task involving fine hand movements.","r002","Playing Instrument","","silver",1143.7212571449218,"2026-03-03T01:03:56.089548Z","Gold","0091e812-f56f-4bd9-ad65-019fc97c1ffe","yes"
"Stationary",2438,"1",10,"Object Transfer","2026-03-03T01:04:08.428833Z",6,4060,"","no",1,1.0,1,2438,12.196,"#C C turns the phone","turns phone","Turning a phone is a low-energy action with minimal body movement.","r002","Playing Instrument","","silver",1274.6286971449215,"2026-03-03T01:04:08.428857Z","Bad","0091e812-f56f-4bd9-ad65-019fc97c1ffe","no"
"Object Transfer",2439,"1",10,"","2026-03-03T01:05:41.930498Z",3,11794,"","no",0,0.0,0,2439,93.347,"#C C places the screw on the screwdriver tip of the power drill.","places screw on screwdriver tip of power drill","Logistics step involving placing an object on another.","r002","Carpentry","","silver",24.2080796,"2026-03-03T01:05:41.930514Z","Gold","01d793c6-e235-4af1-8a1d-c70dcf0c8654","no"
"Essential Operation",2440,"1",10,"","2026-03-03T01:05:44.254748Z",4,6579,"","no",0,0.0,0,2440,2.153,"#C C fastens the screw in the cable channel with the power drill.","fastens screw in cable channel with power drill","Core manual task involving high hand activity.","r002","Carpentry","","silver",46.7239396,"2026-03-03T01:05:44.254763Z","Gold","01d793c6-e235-4af1-8a1d-c70dcf0c8654","no"
"Object Transfer",2441,"1",10,"","2026-03-03T01:05:46.056995Z",5,5075,"","no",0,0.0,0,2441,1.652,"#C C picks up a screw.","picks up screw","Logistics step involving picking up an object.","r002","Carpentry","","silver",62.9597296,"2026-03-03T01:05:46.057019Z","Gold","01d793c6-e235-4af1-8a1d-c70dcf0c8654","no"
"Stationary",2442,"1",10,"Locomotion","2026-03-03T01:05:58.706764Z",6,3482,"","no",0,0.0,0,2442,12.5,"#C C kneels.","kneels","Low body/hand motion, changing posture to a stable position.","r002","Carpentry","","silver",85.6205896,"2026-03-03T01:05:58.706779Z","Bad","01d793c6-e235-4af1-8a1d-c70dcf0c8654","no"
"Essential Operation",2443,"1",10,"","2026-03-03T01:06:04.878444Z",3,10296,"","no",0,0.0,0,2443,6.022,"#C C inserts the screw in the hole.","inserts screw in hole","Core manual task involving high hand activity.","r002","Carpentry","","silver",150.5554696,"2026-03-03T01:06:04.878459Z","Gold","01d793c6-e235-4af1-8a1d-c70dcf0c8654","no"
"Object Transfer",2444,"1",10,"","2026-03-03T01:06:07.154958Z",8,2093,"","no",0,0.0,0,2444,2.135,"#C C drops the screwdriver on the floor","drops screwdriver on floor","Refined via regex fallback","r002","Carpentry","","silver",307.2050009546634,"2026-03-03T01:06:07.154974Z","Gold","01d793c6-e235-4af1-8a1d-c70dcf0c8654","no"
"Stationary",2445,"1",10,"","2026-03-03T01:06:10.714693Z",3,8786,"watchlist_verb","yes",0,0.0,0,2445,3.417,"#C C holds down the plastic conduit with his left thumb","holds down plastic conduit with his left thumb","Low body/hand motion, holding an object in place.","r002","Carpentry","","silver",562.9554176213301,"2026-03-03T01:06:10.714707Z","Gold","01d793c6-e235-4af1-8a1d-c70dcf0c8654","yes"
