"action","annotation_id","annotator","batch","corrected_action","created_at","dataset_rows_covered_if_validated","global_rank","high_priority_reason","high_priority_review","historical_bad_count","historical_bad_rate","historical_checked_count","id","lead_time","narration_text","normalized_narration_stage2","reasoning","round","scenario","secondary_action","status","timestamp_sec","updated_at","verdict","video_uid","watchlist_hit"
"Object Transfer",999,"1",9,"","2026-03-07T20:44:14.008485Z",4,7188,"","no",0,0.0,0,1001,21.035,"#C C picks a rag from the workbench with his right hand.","picks rag from workbench with his right hand","Logistics action of picking up an object.","r002","Mechanical Repair","","silver",5.10733,"2026-03-07T20:44:14.008502Z","Gold","0066ab25-04ad-41b2-89ab-283d2bfa1c4b","no"
"Essential Operation",1000,"1",9,"","2026-03-07T20:44:36.946227Z",3,9635,"","no",0,0.0,0,1002,0.802,"#C C cleans the engine body with the rag in his right hand.","cleans engine body with rag in his right hand","Core task involving manual cleaning activity.","r002","Mechanical Repair","","silver",5.74225,"2026-03-07T20:44:36.946258Z","","0066ab25-04ad-41b2-89ab-283d2bfa1c4b","no"
"Essential Operation",1001,"1",9,"","2026-03-07T20:44:44.392960Z",6,3132,"watchlist_verb","yes",0,0.0,0,1003,6.818,"#C C adjusts the bench vise handle with his left hand.","adjusts bench vise handle with his left hand","Core manual task involving fine motor skills and hand manipulation.","r002","Mechanical Repair","","silver",72.13605,"2026-03-07T20:44:44.392994Z","Gold","0066ab25-04ad-41b2-89ab-283d2bfa1c4b","yes"
"Essential Operation",1002,"1",9,"","2026-03-07T20:44:46.983376Z",7,2579,"","no",0,0.0,0,1004,1.874,"#C C cleans both hands with the rag.","cleans both hands with rag","Core task involving high hand activity.","r002","Mechanical Repair","","silver",90.45933,"2026-03-07T20:44:46.983395Z","Gold","0066ab25-04ad-41b2-89ab-283d2bfa1c4b","no"
"Essential Operation",1003,"1",9,"","2026-03-07T20:44:49.535846Z",3,8653,"watchlist_verb","yes",0,0.0,0,1005,1.912,"#C C adjusts the steel angle bar with his left hand.","adjusts steel angle bar with his left hand","Core manual task involving high hand activity.","r002","Mechanical Repair","","silver",111.55727,"2026-03-07T20:44:49.535862Z","Gold","0066ab25-04ad-41b2-89ab-283d2bfa1c4b","yes"
"Stationary",1004,"1",9,"","2026-03-07T20:44:52.270744Z",4,5934,"watchlist_verb","yes",0,0.0,0,1006,2.153,"#C C holds the engine body in both hands.","holds engine body in both hands","Holding an object in place, minimal movement.","r002","Mechanical Repair","","silver",416.90206,"2026-03-07T20:44:52.270761Z","Gold","0066ab25-04ad-41b2-89ab-283d2bfa1c4b","yes"
"Essential Operation",1005,"1",9,"","2026-03-07T20:44:55.142362Z",6,3980,"","no",0,0.0,0,1007,2.181,"#C C smoothens the engine body with the hydraulic compressor. #Unsure","smoothens engine body with hydraulic compressor","Core manual task involving high hand activity.","r002","Mechanical Repair","","silver",420.67829,"2026-03-07T20:44:55.142393Z","Gold","0066ab25-04ad-41b2-89ab-283d2bfa1c4b","no"
"Essential Operation",1006,"1",9,"","2026-03-07T20:44:57.139072Z",3,8668,"watchlist_verb","yes",0,0.0,0,1008,1.4,"#C C adjusts the wire plug in the engine body with his right hand.","adjusts wire plug in engine body with his right hand","Core task involving precise manual adjustments, high hand activity.","r002","Mechanical Repair","","silver",436.05964,"2026-03-07T20:44:57.139100Z","Gold","0066ab25-04ad-41b2-89ab-283d2bfa1c4b","yes"
"Stationary",1007,"1",9,"","2026-03-07T20:44:59.367337Z",4,6024,"watchlist_verb","yes",0,0.0,0,1009,1.68,"#C C holds the wire plug with his left hand.","holds wire plug with his left hand","Holding an object with minimal movement.","r002","Mechanical Repair","","silver",471.33638,"2026-03-07T20:44:59.367366Z","Gold","0066ab25-04ad-41b2-89ab-283d2bfa1c4b","yes"
"Essential Operation",1008,"1",9,"","2026-03-07T20:45:01.641669Z",4,6246,"","no",0,0.0,0,1010,1.738,"#C C applies glue to his right hand from the adhesive glue in his left hand.","applies glue to his right hand from adhesive glue in his left hand","Core manual task involving high hand activity.","r002","Mechanical Repair","","silver",501.76863,"2026-03-07T20:45:01.641696Z","Gold","0066ab25-04ad-41b2-89ab-283d2bfa1c4b","no"
"Essential Operation",1009,"1",9,"","2026-03-07T20:45:03.671544Z",5,4401,"","no",0,0.0,0,1011,1.498,"#C C applies glue around the wire plug with his right hand.","applies glue around wire plug with his right hand","Core manual task, high hand activity.","r002","Mechanical Repair","","silver",504.7692,"2026-03-07T20:45:03.671579Z","Gold","0066ab25-04ad-41b2-89ab-283d2bfa1c4b","no"
"Stationary",1010,"1",9,"","2026-03-07T20:45:05.690698Z",3,11869,"","no",0,0.0,0,1012,1.503,"#C C points at the ground","points at ground","Low body/hand motion, pointing is a static gesture.","r002","Playing Instrument","","silver",31.214018600000003,"2026-03-07T20:45:05.690720Z","Gold","0296707b-0b42-45dd-98dc-ca8ce0a26a50","no"
"Stationary",1011,"1",9,"","2026-03-07T20:45:07.745002Z",6,4035,"","no",0,0.0,0,1013,1.437,"#C C talks with #OO","talks with","Low body/hand motion, likely involves verbal interaction.","r002","Walking Outdoors","","silver",161.55086,"2026-03-07T20:45:07.745031Z","Gold","0386e502-b034-4cb3-ab3e-f44c154f18dc","no"
"Object Transfer",1012,"1",9,"","2026-03-07T20:45:11.539263Z",6,4031,"","no",0,0.0,0,1014,3.275,"#C C takes pizza piece","takes pizza piece","Logistics action of picking up or taking an object.","r002","Walking Outdoors","","silver",641.3012366666667,"2026-03-07T20:45:11.539279Z","Gold","05a6d5f7-e1d5-4af3-9ae8-f07d0ac12657","no"
"Locomotion",1013,"1",9,"","2026-03-07T20:45:13.993442Z",3,10215,"","no",0,0.0,0,1015,1.46,"#C C gets on the bus","gets on bus","Action involves movement onto the bus, indicating a change in location.","r002","Walking Outdoors","","silver",1158.5577733333334,"2026-03-07T20:45:13.993458Z","Gold","05a6d5f7-e1d5-4af3-9ae8-f07d0ac12657","no"
"Stationary",1014,"1",9,"","2026-03-07T20:45:15.944422Z",5,4537,"","no",0,0.0,0,1016,1.395,"#O Driver A stops","driver stops","The action indicates a halt in movement, suggesting low energy and no locomotion.","r002","Walking Outdoors","","silver",1183.702363333333,"2026-03-07T20:45:15.944450Z","Gold","05a6d5f7-e1d5-4af3-9ae8-f07d0ac12657","no"
"Search",1015,"1",9,"Stationary","2026-03-07T20:45:27.142989Z",3,8858,"watchlist_verb","yes",0,0.0,0,1017,10.638,"#C C holds phone up","holds phone up","Head movement (holding phone up for visual search or monitoring), hands mostly still.","r002","Walking Outdoors","","silver",1854.0918766666664,"2026-03-07T20:45:27.143010Z","Bad","05a6d5f7-e1d5-4af3-9ae8-f07d0ac12657","yes"
"Search",1016,"1",9,"","2026-03-07T20:45:30.708386Z",3,10457,"","no",0,0.0,0,1018,2.33,"#C C looks at the ground beef","looks at ground beef","Head movement (looking), passive hands.","r002","Walking Outdoors","","silver",2013.1073066666668,"2026-03-07T20:45:30.708412Z","Gold","05a6d5f7-e1d5-4af3-9ae8-f07d0ac12657","no"
"Object Transfer",1017,"1",9,"","2026-03-07T20:45:35.864880Z",3,10860,"","no",0,0.0,0,1019,4.645,"#C C packs the items in the bag","packs items in bag","Logistics step of packing items, involves short bursts of hand activity.","r002","Walking Outdoors","","silver",2304.5513,"2026-03-07T20:45:35.864916Z","Gold","05a6d5f7-e1d5-4af3-9ae8-f07d0ac12657","no"
"Locomotion",1018,"1",9,"","2026-03-07T20:46:13.654011Z",4,6433,"","no",0,0.0,0,1020,37.152,"#O Driver B drives the bus","driver b drives bus","Body moving through space, indicative of driving which involves locomotion.","r002","Walking Outdoors","Essential Operation","silver",2678.252504666667,"2026-03-07T20:46:13.654028Z","Gold","05a6d5f7-e1d5-4af3-9ae8-f07d0ac12657","no"
"Object Transfer",1019,"1",9,"","2026-03-07T20:46:17.168490Z",6,3721,"","no",0,0.0,0,1021,2.81,"#C C places the furniture design on a furniture","places furniture design on furniture","Logistics step, placing an object.","r002","Carpentry","","silver",3.85933,"2026-03-07T20:46:17.168523Z","Gold","15260985-2664-4bb5-af9c-d65e11ea8bb5","no"
"Object Transfer",1020,"1",9,"","2026-03-07T20:46:18.940327Z",4,7343,"","no",0,0.0,0,1022,1.207,"#C C places the furniture design on another side of the furniture","places furniture design on another side of furniture","Moving an object from one place to another.","r002","Carpentry","","silver",25.81078,"2026-03-07T20:46:18.940358Z","Gold","15260985-2664-4bb5-af9c-d65e11ea8bb5","no"
"Object Transfer",1021,"1",9,"","2026-03-07T20:46:20.897891Z",4,7256,"","no",0,0.0,0,1023,1.434,"#C C picks up a hammer from the table","picks up hammer from table","Logistics step involving picking up an object.","r002","Carpentry","","silver",58.88224,"2026-03-07T20:46:20.897916Z","Gold","15260985-2664-4bb5-af9c-d65e11ea8bb5","no"
"Essential Operation",1022,"1",9,"","2026-03-07T20:46:24.456217Z",4,6655,"","no",0,0.0,0,1024,2.834,"#C C hits the hammer on the nail","hits hammer on nail","Core manual task involving high hand activity.","r002","Carpentry","","silver",59.42643,"2026-03-07T20:46:24.456249Z","Gold","15260985-2664-4bb5-af9c-d65e11ea8bb5","no"
"Essential Operation",1023,"1",9,"","2026-03-07T20:46:26.085030Z",3,10279,"","no",0,0.0,0,1025,1.003,"#C C hits the hammer on the nail punch","hits hammer on nail punch","Core manual task involving high hand acceleration.","r002","Carpentry","","silver",91.01215,"2026-03-07T20:46:26.085048Z","Gold","15260985-2664-4bb5-af9c-d65e11ea8bb5","no"
"Essential Operation",1024,"1",9,"","2026-03-07T20:46:27.944598Z",10,1403,"","no",0,0.0,0,1026,1.371,"#C C hits the nail with the hammer","hits nail with hammer","Core task involving high hand activity with repetitive motion.","r002","Carpentry","","silver",120.68544,"2026-03-07T20:46:27.944623Z","Gold","15260985-2664-4bb5-af9c-d65e11ea8bb5","no"
"Essential Operation",1025,"1",9,"","2026-03-07T20:46:29.528642Z",8,2107,"","no",0,0.0,0,1027,0.918,"#C C hits the nail punch with the hammer","hits nail punch with hammer","Core manual task involving high hand activity.","r002","Carpentry","","silver",148.16371,"2026-03-07T20:46:29.528666Z","Gold","15260985-2664-4bb5-af9c-d65e11ea8bb5","no"
"Object Transfer",1026,"1",9,"","2026-03-07T20:46:31.082377Z",7,2839,"","no",0,0.0,0,1028,1.052,"#C C picks up the hammer on the table","picks up hammer on table","Logistics step involving picking up an object.","r002","Carpentry","","silver",177.24023,"2026-03-07T20:46:31.082400Z","Gold","15260985-2664-4bb5-af9c-d65e11ea8bb5","no"
"Object Transfer",1027,"1",9,"","2026-03-07T20:46:34.421939Z",4,6663,"","no",0,0.0,0,1029,2.615,"#C C inserts the bolt key in a hole on the furniture","inserts bolt key in hole on furniture","The action involves inserting a tool into a specific location, which is a logistics step.","r002","Carpentry","","silver",338.5947,"2026-03-07T20:46:34.421960Z","Gold","15260985-2664-4bb5-af9c-d65e11ea8bb5","no"
"Essential Operation",1028,"1",9,"","2026-03-07T20:46:36.350108Z",3,8608,"watchlist_verb","yes",0,0.0,0,1030,1.4,"#C C adjusts the key lock on the furniture","adjusts key lock on furniture","Core manual task involving precise hand movements.","r002","Carpentry","","silver",465.28435,"2026-03-07T20:46:36.350140Z","Gold","15260985-2664-4bb5-af9c-d65e11ea8bb5","yes"
"Object Transfer",1029,"1",9,"","2026-03-07T20:47:27.000716Z",3,9999,"","no",0,0.0,0,1031,2.842,"#C C drops the pincer on the table","drops pincer on table","Refined via regex fallback","r002","Carpentry","","silver",490.92979,"2026-03-07T20:47:27.000742Z","Gold","15260985-2664-4bb5-af9c-d65e11ea8bb5","no"
