action,annotation_id,annotator,batch,corrected_action,created_at,dataset_rows_covered_if_validated,global_rank,high_priority_reason,high_priority_review,historical_bad_count,historical_bad_rate,historical_checked_count,id,lead_time,narration_text,normalized_narration_stage2,reasoning,round,scenario,secondary_action,status,timestamp_sec,updated_at,verdict,video_uid,watchlist_hit
Essential Operation,13076,1,1,,2026-03-03T00:43:55.903454Z,4,8226,,no,0,0.0,0,1144275,429.648,#C C swings #unsure on the stick,swings on stick,Core task involving high hand activity.,r002,Playing Instrument,,silver,86.8072996,2026-03-03T00:43:55.903468Z,Gold,05ac2c04-4a2c-4e8a-8b2a-2b60521b9d38,no
Essential Operation,13077,1,1,,2026-03-03T00:44:29.301252Z,3,9174,watchlist_verb,yes,0,0.0,0,1144276,32.125,#C C moves thread ball,moves thread ball,"Core task involving manual activity, likely related to tuning or adjusting the instrument.",r002,Playing Instrument,,silver,178.7188396,2026-03-03T00:44:29.301273Z,Gold,05ac2c04-4a2c-4e8a-8b2a-2b60521b9d38,yes
Essential Operation,13078,1,1,,2026-03-03T00:44:35.271374Z,5,4487,,no,0,0.0,0,1144277,4.824,#C C crochets the textile,crochets textile,"Core manual task involving hands, high hand activity.",r002,Playing Instrument,,silver,313.6632509546634,2026-03-03T00:44:35.271412Z,Gold,05ac2c04-4a2c-4e8a-8b2a-2b60521b9d38,no
Stationary,13079,1,1,Essential Operation,2026-03-03T00:44:49.804378Z,4,6258,,no,0,0.0,0,1144278,13.362,#C C arranges the threads,arranges threads,Arranging threads is a fine motor task that likely involves minimal movement.,r002,Playing Instrument,,silver,320.9730109546634,2026-03-03T00:44:49.804414Z,Bad,05ac2c04-4a2c-4e8a-8b2a-2b60521b9d38,no
Object Transfer,13080,1,1,,2026-03-03T00:44:55.177177Z,15,648,,no,0,0.0,0,1144279,4.151,#C C picks the hedge shear,picks hedge shear,Logistics step of picking up an object.,r002,Gardening,,silver,331.9229892852933,2026-03-03T00:44:55.177209Z,Gold,06456897-960d-4d0c-8ce2-cd50a5a57bc3,no
Locomotion,13081,1,1,,2026-03-03T00:45:00.750483Z,5,4297,watchlist_verb,yes,0,0.0,0,1144280,4.736,#C C moves on the garden,moves on garden,"Body moving through space, likely walking or moving around in the garden.",r002,Gardening,,silver,397.5051992852933,2026-03-03T00:45:00.750507Z,Gold,06456897-960d-4d0c-8ce2-cd50a5a57bc3,yes
Locomotion,13082,1,1,Essential Operation,2026-03-03T00:45:39.847233Z,7,2883,,no,0,0.0,0,1144281,38.214,#C C plucks the hedge wall,plucks hedge wall,"Body moving through space to maintain or trim the hedge, involves high body acceleration.",r002,Gardening,,silver,464.4506892852933,2026-03-03T00:45:39.847257Z,Bad,06456897-960d-4d0c-8ce2-cd50a5a57bc3,no
Stationary,13083,1,1,,2026-03-03T00:46:41.220868Z,5,4225,watchlist_verb,yes,0,0.0,0,1144282,4.739,#C C holds the rake,holds rake,"Low body/hand motion, holding an object without moving.",r002,Gardening,,silver,603.456637613672,2026-03-03T00:46:41.220900Z,Gold,06456897-960d-4d0c-8ce2-cd50a5a57bc3,yes
Stationary,13084,1,1,,2026-03-03T00:46:46.255322Z,7,2494,watchlist_verb,yes,0,0.0,0,1144283,3.973,#C C holds the pruning shear with both hands,holds pruning shear with both hands,"Low body/hand motion, holding an object.",r002,Gardening,,silver,657.625287613672,2026-03-03T00:46:46.255336Z,Gold,06456897-960d-4d0c-8ce2-cd50a5a57bc3,yes
Stationary,13085,1,1,,2026-03-03T00:46:49.857463Z,6,3178,watchlist_verb,yes,0,0.0,0,1144284,2.658,#C C holds the cutter,holds cutter,The action describes holding an object without movement.,r002,Gardening,,silver,708.3590476136719,2026-03-03T00:46:49.857498Z,Gold,06456897-960d-4d0c-8ce2-cd50a5a57bc3,yes
Object Transfer,13086,1,1,,2026-03-03T00:46:53.075716Z,11,1203,,no,0,0.0,0,1144285,2.357,#C C picks the rake,picks rake,"Logistics step, picking up an object.",r002,Gardening,,silver,926.4683682616542,2026-03-03T00:46:53.075737Z,Gold,06456897-960d-4d0c-8ce2-cd50a5a57bc3,no
Essential Operation,13087,1,1,,2026-03-03T00:46:59.607075Z,11,1126,,no,0,0.0,0,1144286,4.764,#C C cuts the bush with the shear,cuts bush with shear,Core task involving high hand activity.,r002,Gardening,,silver,1093.6335171449218,2026-03-03T00:46:59.607089Z,Gold,06456897-960d-4d0c-8ce2-cd50a5a57bc3,no
Essential Operation,13088,1,1,,2026-03-03T00:47:03.682640Z,32,156,,no,0,0.0,0,1144287,3.024,#C C prunes,prunes,Core task involving high hand activity.,r002,Gardening,,silver,1511.847827247718,2026-03-03T00:47:03.682654Z,Gold,06456897-960d-4d0c-8ce2-cd50a5a57bc3,no
Object Transfer,13089,1,1,,2026-03-03T00:47:07.952759Z,3,10037,,no,0,0.0,0,1144288,3.356,#C C drops the secateurs,drops secateurs,"[CtxFixed] The action of dropping the secateurs indicates a deliberate placement of the object onto a surface, which fits the criteria for 'Object Transfer'.",r002,Gardening,,silver,1531.346307247718,2026-03-03T00:47:07.952792Z,Gold,06456897-960d-4d0c-8ce2-cd50a5a57bc3,no
Object Transfer,13090,1,1,,2026-03-03T00:47:10.785278Z,4,7110,,no,0,0.0,0,1144289,2.087,#C C picks the hedge shears,picks hedge shears,"The action involves picking up an object, which is a logistics step.",r002,Gardening,,silver,1533.222427247718,2026-03-03T00:47:10.785312Z,Gold,06456897-960d-4d0c-8ce2-cd50a5a57bc3,no
Locomotion,13091,1,1,Object Transfer,2026-03-03T00:47:17.937722Z,3,9818,,no,0,0.0,0,1144290,6.287,#C C drags the sack,drags sack,"Body moving through space with the sack, indicating significant body acceleration.",r002,Gardening,,silver,2160.2540668066526,2026-03-03T00:47:17.937740Z,Bad,06456897-960d-4d0c-8ce2-cd50a5a57bc3,no
Stationary,13092,1,1,,2026-03-03T00:47:22.547414Z,7,3032,,no,0,0.0,0,1144291,2.853,#C C stares at the shrub,stares at shrub,"Low body/hand motion, visual focus without movement.",r002,Gardening,,silver,2181.888496158594,2026-03-03T00:47:22.547448Z,Gold,06456897-960d-4d0c-8ce2-cd50a5a57bc3,no
Locomotion,13093,1,1,Essential Operation,2026-03-03T00:47:33.226649Z,9,1920,,no,0,0.0,0,1144292,9.962,#C C sweeps with a rake,sweeps with rake,"Body moving through space while performing a sweeping action, which involves high body acceleration.",r002,Gardening,,silver,2215.7023161585944,2026-03-03T00:47:33.226671Z,Bad,06456897-960d-4d0c-8ce2-cd50a5a57bc3,no
Object Transfer,13094,1,1,,2026-03-03T00:47:36.777470Z,5,5120,,no,0,0.0,0,1144293,2.77,#C C places the hedge shear on the grass,places hedge shear on grass,"Logistics step, placing an object.",r002,Gardening,,silver,2394.9251161585944,2026-03-03T00:47:36.777503Z,Gold,06456897-960d-4d0c-8ce2-cd50a5a57bc3,no
Essential Operation,13095,1,1,,2026-03-03T00:47:43.389511Z,4,7949,,no,0,0.0,0,1144294,5.863,#C C removes piece of shrub with the hand,removes piece of shrub with hand,Core task involving manual work with hands.,r002,Gardening,,silver,2689.0326254559814,2026-03-03T00:47:43.389550Z,Gold,06456897-960d-4d0c-8ce2-cd50a5a57bc3,no
