"action","annotation_id","annotator","batch","corrected_action","created_at","dataset_rows_covered_if_validated","global_rank","high_priority_reason","high_priority_review","historical_bad_count","historical_bad_rate","historical_checked_count","id","lead_time","narration_text","normalized_narration_stage2","reasoning","round","scenario","secondary_action","status","timestamp_sec","updated_at","verdict","video_uid","watchlist_hit"
"Locomotion",1,"1",7,"","2026-03-02T15:56:17.184462Z",3,9240,"watchlist_verb","yes",0,0.0,0,1,1255.132,"#C c opens the gate","opens gate","Action involves moving through space, specifically opening a gate which is part of a walking scenario.","r002","Walking Outdoors","","silver",942.7815157211496,"2026-03-02T15:56:17.184484Z","Gold","02877cad-35c5-423b-8e93-11cf79fe4b31","yes"
"Locomotion",2,"1",7,"","2026-03-02T15:58:19.039512Z",3,9841,"","no",0,0.0,0,2,37.718,"#C C drives to the right.","drives to right","Body moving through space (driving involves movement).","r002","Walking Outdoors","","silver",1937.2157566666667,"2026-03-02T15:58:19.039567Z","Gold","053ae0a6-937d-4bdc-8001-d3dfe7899811","no"
"Stationary",3,"1",7,"","2026-03-02T15:59:24.772224Z",4,6194,"watchlist_verb","yes",0,0.0,0,3,7.148,"#C C touches the fence wire","touches fence wire","The action involves a brief touch interaction which is low in energy and does not involve significant motion.","r002","Walking Outdoors","","silver",890.8565118293625,"2026-03-02T15:59:24.772245Z","","057bf03d-b337-475c-82a2-79f0b5b6637f","yes"
"Locomotion",4,"1",7,"","2026-03-02T16:00:59.131262Z",12,1078,"","no",1,1.0,1,4,15.266,"#C C uproots the plant","uproots plant","The action implies movement through space while performing an additional task, suggesting a locomotive context with some body acceleration.","r002","Walking Outdoors","","silver",1308.3425516989582,"2026-03-02T16:00:59.131283Z","Gold","057bf03d-b337-475c-82a2-79f0b5b6637f","no"
"Stationary",5,"1",7,"","2026-03-03T01:59:15.037715Z",56,54,"watchlist_verb","yes",0,0.0,0,5,4.119,"#C C holds the plant","holds plant","Holding an object with hands while possibly standing or moving minimally.","r002","Walking Outdoors","","silver",1543.9000818017544,"2026-03-03T01:59:15.037735Z","Gold","057bf03d-b337-475c-82a2-79f0b5b6637f","yes"
"Object Transfer",6,"1",7,"","2026-03-03T02:04:24.230821Z",3,11329,"","no",0,0.0,0,6,23.542,"#C C picks the plastic bottle","picks plastic bottle","The action involves picking up an object, which is a logistics step.","r002","Walking Outdoors","","silver",2057.6347906086594,"2026-03-03T02:04:24.230845Z","Gold","057bf03d-b337-475c-82a2-79f0b5b6637f","no"
"Locomotion",7,"1",7,"","2026-03-03T02:04:58.496377Z",5,5708,"","no",0,0.0,0,7,32.129,"#C C uproots the plants","uproots plants","The action implies movement through space, likely involving walking or physical activity that involves body motion.","r002","Walking Outdoors","","silver",2155.099680608659,"2026-03-03T02:04:58.496400Z","Gold","057bf03d-b337-475c-82a2-79f0b5b6637f","no"
"Essential Operation",8,"1",7,"","2026-03-03T02:05:21.143789Z",9,1948,"","no",0,0.0,0,8,19.664,"#C C uproots a weed","uproots weed","Core manual task involving high hand activity.","r002","Walking Outdoors","","silver",2737.549646816145,"2026-03-03T02:05:21.143832Z","Gold","057bf03d-b337-475c-82a2-79f0b5b6637f","no"
"Object Transfer",9,"1",7,"","2026-03-03T02:06:09.878499Z",8,2392,"","no",0,0.0,0,9,45.401,"#C C takes meat on the plate with the fork.","takes meat on plate with fork","Logistics step involving picking up and moving an object.","r002","Cleaning","","silver",33.3762996,"2026-03-03T02:06:09.878525Z","Gold","064e10ee-10ae-4dec-a836-2ca94b02551c","no"
"Object Transfer",10,"2",7,"","2026-03-03T02:10:09.823140Z",3,10066,"","no",0,0.0,0,10,3.131,"#C C drops the table knife.","drops table knife","[CtxFixed] The action of dropping the table knife is a deliberate placement of an object onto a surface, which fits the criteria for 'Object Transfer'.","r002","Cleaning","","silver",211.7558596,"2026-03-03T02:10:09.823180Z","Gold","064e10ee-10ae-4dec-a836-2ca94b02551c","no"
