"action","annotation_id","annotator","batch","corrected_action","created_at","dataset_rows_covered_if_validated","global_rank","high_priority_reason","high_priority_review","historical_bad_count","historical_bad_rate","historical_checked_count","id","lead_time","narration_text","normalized_narration_stage2","reasoning","round","scenario","secondary_action","status","timestamp_sec","updated_at","verdict","video_uid","watchlist_hit"
"Object Transfer",1552,"1",12,"","2026-03-02T00:04:16.998250Z",3,11448,"","no",0,0.0,0,2453,2.973,"#C C picks three joined network cables on the floor with his left hand.","picks three joined network cables on floor with his left hand","Logistics step involving picking up objects.","r002","Carpentry","","silver",23.5343696,"2026-03-02T00:04:16.998250Z","Gold","0377792b-7b1e-4d67-86fd-f50c9257ea85","no"
"Object Transfer",1553,"1",12,"","2026-03-02T00:04:20.299443Z",5,5092,"","no",0,0.0,0,2454,1.527,"#C C picks a wire cutter on a shelve with his right hand.","picks wire cutter on shelve with his right hand","Logistics step involving picking up an object.","r002","Carpentry","","silver",25.880589600000004,"2026-03-02T00:04:20.299443Z","Gold","0377792b-7b1e-4d67-86fd-f50c9257ea85","no"
"Object Transfer",1554,"1",12,"","2026-03-02T00:04:25.194925Z",3,9909,"","no",0,0.0,0,2455,2.472,"#C C drops the cut out part of the outer coating on the shelve.","drops cut out part of outer coating on shelve","[CtxFixed] The action of dropping the cut out part of the outer coating onto the shelf appears to be a deliberate placement, which fits the definition of 'Object Transfer'.","r002","Carpentry","","silver",60.563179600000005,"2026-03-02T00:04:25.194925Z","Gold","0377792b-7b1e-4d67-86fd-f50c9257ea85","no"
"Stationary",1555,"1",12,"Essential Operation","2026-03-02T00:06:08.393706Z",8,2385,"","no",0,0.0,0,2456,6.095,"#C C straightens out the UTP cables of one of the network cables with his hands.","straightens out utp cables of one of network cables with his hands","The action involves organizing cables with hands, which is a low-energy activity.","r002","Carpentry","","silver",110.7885096,"2026-03-02T00:06:08.393706Z","Bad","0377792b-7b1e-4d67-86fd-f50c9257ea85","no"
"Essential Operation",1556,"1",12,"","2026-03-02T00:06:12.828857Z",3,9749,"","no",0,0.0,0,2457,2.732,"#C C cuts off some part of the UTP cables with the wire cutter.","cuts off part of utp cables with wire cutter","Core manual task involving high hand activity.","r002","Carpentry","","silver",183.6052196,"2026-03-02T00:06:12.828857Z","Gold","0377792b-7b1e-4d67-86fd-f50c9257ea85","no"
"Object Transfer",1557,"1",12,"","2026-03-02T00:06:17.243525Z",4,7145,"","no",0,0.0,0,2458,2.614,"#C C picks a network cable connector from the shelve with his right hand.","picks network cable connector from shelve with his right hand","Logistics step of picking up an object.","r002","Carpentry","","silver",187.6033996,"2026-03-02T00:06:17.243525Z","Gold","0377792b-7b1e-4d67-86fd-f50c9257ea85","no"
"Essential Operation",1558,"1",12,"","2026-03-02T00:06:23.119887Z",6,3449,"","no",0,0.0,0,2459,4.167,"#C C fits in the network cable connector into the UTP cables with his right hand.","fits in network cable connector into utp cables with his right hand","Core manual task involving precise hand movements.","r002","Carpentry","","silver",188.8722496,"2026-03-02T00:06:23.119887Z","Gold","0377792b-7b1e-4d67-86fd-f50c9257ea85","no"
"Essential Operation",1559,"1",12,"","2026-03-02T00:06:27.668188Z",4,6376,"","no",0,0.0,0,2460,2.733,"#C C cuts off some part of the UTP cables with the plier.","cuts off part of utp cables with plier","Core task involving manual dexterity and high hand activity.","r002","Carpentry","","silver",365.57647095466336,"2026-03-02T00:06:27.668188Z","Gold","0377792b-7b1e-4d67-86fd-f50c9257ea85","no"
"Object Transfer",1560,"1",12,"","2026-03-02T00:06:34.581235Z",5,4589,"","no",0,0.0,0,2461,2.591,"#C C drops the plier on the shelve.","drops plier on shelve","[CtxFixed] The action of dropping the plier onto the shelve is a deliberate placement, which fits the criteria for 'Object Transfer'.","r002","Carpentry","","silver",366.7807409546634,"2026-03-02T00:06:34.581235Z","Gold","0377792b-7b1e-4d67-86fd-f50c9257ea85","no"
"Object Transfer",1561,"1",12,"","2026-03-02T00:06:43.238697Z",3,11593,"","no",0,0.0,0,2462,2.77,"#C C picks the wire cutter from the floor with his right hand.","picks wire cutter from floor with his right hand","The action involves picking up an object, which is a logistics step.","r002","Carpentry","","silver",617.6955552666667,"2026-03-02T00:06:43.238697Z","Gold","0377792b-7b1e-4d67-86fd-f50c9257ea85","no"
"Object Transfer",1562,"1",12,"","2026-03-02T00:06:48.094808Z",4,6556,"","no",0,0.0,0,2463,2.616,"#C C drops the wire cutter on the floor.","drops wire cutter on floor","Refined via regex fallback","r002","Carpentry","","silver",632.7115052666667,"2026-03-02T00:06:48.094808Z","Gold","0377792b-7b1e-4d67-86fd-f50c9257ea85","no"
"Stationary",1563,"1",12,"Essential Operation","2026-03-02T00:06:56.909525Z",5,5606,"","no",0,0.0,0,2464,6.559,"#C C straightens out the UTP cables of the network cable with his left hand.","straightens out utp cables of network cable with his left hand","The action involves organizing cables with minimal movement, indicating a low-energy state.","r002","Carpentry","","silver",634.0270252666667,"2026-03-02T00:06:56.909525Z","Bad","0377792b-7b1e-4d67-86fd-f50c9257ea85","no"
"Object Transfer",1564,"1",12,"","2026-03-02T00:07:14.994355Z",4,8384,"","no",0,0.0,0,2465,11.575,"#C C unplugs the network cable from the network cable tester with his left hand.","unplugs network cable from network cable tester with his left hand","The action involves picking up and unplugging a cable, which is a logistics step.","r002","Carpentry","Essential Operation","silver",786.8082152666667,"2026-03-02T00:07:14.994355Z","Gold","0377792b-7b1e-4d67-86fd-f50c9257ea85","no"
