video_uid,timestamp_sec,narration_text,scenario,action,reasoning,status,batch,round
000cd456-ff8d-499b-b0c1-4acead128a8b,6.6601386,#C C claps hand,Cleaning,Stationary,"Low body/hand motion, likely ceremonial or idle action.",silver,B08,r001
000cd456-ff8d-499b-b0c1-4acead128a8b,311.61432704530256,#C C moves hand towards the face,Cleaning,Stationary,"Low body/hand motion, likely a minor gesture or itch.",silver,B08,r001
000cd456-ff8d-499b-b0c1-4acead128a8b,452.7314570453025,#C C picks a toy on the stool,Cleaning,Object Transfer,Logistics step involving picking up an object.,silver,B08,r001
000cd456-ff8d-499b-b0c1-4acead128a8b,486.27643704530254,#C C stands,Cleaning,Stationary,"Low body/hand motion, indicating a pause or idle state.",silver,B08,r001
002ad105-bd9a-4858-953e-54e88dc7587e,146.44464526666667,#C C rinses coriander,Cleaning,Essential Operation,Core manual task involving hand activity.,silver,B08,r001
002ad105-bd9a-4858-953e-54e88dc7587e,257.22032526666663,#C C walks around,Cleaning,Locomotion,"Body moving through space, indicative of walking.",silver,B08,r001
002ad105-bd9a-4858-953e-54e88dc7587e,259.02410526666665,#C C picks paper,Cleaning,Object Transfer,"Logistics step, picking up an object.",silver,B08,r001
002ad105-bd9a-4858-953e-54e88dc7587e,261.7618252666667,#C C looks around,Cleaning,Search,"Head movement (visual search), hands mostly still.",silver,B08,r001
002ad105-bd9a-4858-953e-54e88dc7587e,327.1179352666667,#C C stands along countertop,Cleaning,Stationary,"Low body/hand motion, indicating a pause or idle state.",silver,B08,r001
002ad105-bd9a-4858-953e-54e88dc7587e,345.95721526666665,#C C opens cabinet door,Cleaning,Object Transfer,Logistics step involving opening a cabinet door.,silver,B08,r001
002ad105-bd9a-4858-953e-54e88dc7587e,406.3926052666666,#C C walks to fridge,Cleaning,Locomotion,"Movement through space, indicative of walking.",silver,B08,r001
002ad105-bd9a-4858-953e-54e88dc7587e,448.02297526666666,#C C walks computer desk,Cleaning,Locomotion,Body moving through space (walking).,silver,B08,r001
002ad105-bd9a-4858-953e-54e88dc7587e,453.5147452666667,#C C walks to Tv stand in living area,Cleaning,Locomotion,Body moving through space (walking).,silver,B08,r001
002ad105-bd9a-4858-953e-54e88dc7587e,566.9987819333334,#C C picks a remote,Cleaning,Object Transfer,"Logistics step, picking up an object.",silver,B08,r001
002ad105-bd9a-4858-953e-54e88dc7587e,686.7381919333334,#C C watches a television,Cleaning,Stationary,"Low body/hand motion, focus on visual input.",silver,B08,r001
045451d6-2916-4c07-8e47-7cfdaa579086,0.5736296,#C C picks a card from the table with his right hand.,Playing Instrument,Object Transfer,Logistics/Setup step (picking up an object).,silver,B08,r001
