video_uid,timestamp_sec,narration_text,scenario,action,reasoning,status,batch,round
0091e812-f56f-4bd9-ad65-019fc97c1ffe,10.5773286,#C C checks phone,Playing Instrument,Search,"Head movement (visual search), hands mostly still.",silver,B12,r001
0091e812-f56f-4bd9-ad65-019fc97c1ffe,237.9727986,#C C plays the guitar,Playing Instrument,Essential Operation,"Core manual task involving hands, high hand activity.",silver,B12,r001
0091e812-f56f-4bd9-ad65-019fc97c1ffe,876.2393673123536,#C C presses the home button of the phone,Playing Instrument,Stationary,"Low body/hand motion, likely involves minimal movement.",silver,B12,r001
0091e812-f56f-4bd9-ad65-019fc97c1ffe,883.3629073123536,#C C plays the guitar,Playing Instrument,Essential Operation,Core manual task involving high hand activity.,silver,B12,r001
0091e812-f56f-4bd9-ad65-019fc97c1ffe,1037.9739073123535,#C C stops,Playing Instrument,Stationary,"Low body/hand motion, indicating a pause or end of an action.",silver,B12,r001
0091e812-f56f-4bd9-ad65-019fc97c1ffe,1041.1114573123537,#C C holds the neck of the guitar,Playing Instrument,Stationary,"Low body/hand motion, preparing to play.",silver,B12,r001
0091e812-f56f-4bd9-ad65-019fc97c1ffe,1134.754877144922,#C C moves hand away from the phone,Playing Instrument,Stationary,"The action describes a hand moving away from the phone, which is a low-energy movement.",silver,B12,r001
0091e812-f56f-4bd9-ad65-019fc97c1ffe,1163.5470671449218,#C C taps on the phone's screen,Playing Instrument,Stationary,"Low body/hand motion, primarily finger movement.",silver,B12,r001
0091e812-f56f-4bd9-ad65-019fc97c1ffe,1277.7864571449218,#C C swipes on the phone's screen,Playing Instrument,Stationary,The action involves minimal movement and is likely performed while the person is in a static position.,silver,B12,r001
0091e812-f56f-4bd9-ad65-019fc97c1ffe,1445.93923721162,#C C moves around,Playing Instrument,Locomotion,"Body moving through space, indicative of movement or walking.",silver,B12,r001
0091e812-f56f-4bd9-ad65-019fc97c1ffe,1549.46030721162,#C C holds phone with both hands,Playing Instrument,Stationary,Holding an object with minimal movement.,silver,B12,r001
