video_uid,timestamp_sec,narration_text,scenario,action,reasoning,status,batch,round
01d793c6-e235-4af1-8a1d-c70dcf0c8654,36.544779600000005,#C C places the spirit level beside the cable channel.,Carpentry,Object Transfer,"The action involves placing an object, which is a logistics step.",silver,B09,r001
01d793c6-e235-4af1-8a1d-c70dcf0c8654,43.9902996,#C C pushes the cable channel against the wall with his right hand.,Carpentry,Essential Operation,Core manual task involving high hand activity.,silver,B09,r001
01d793c6-e235-4af1-8a1d-c70dcf0c8654,96.0154796,#C C picks up a second power drill.,Carpentry,Object Transfer,Logistics step involving picking up an object.,silver,B09,r001
01d793c6-e235-4af1-8a1d-c70dcf0c8654,154.8288696,#C C picks up a plier with his left hand.,Carpentry,Object Transfer,Logistics step of picking up an object.,silver,B09,r001
01d793c6-e235-4af1-8a1d-c70dcf0c8654,156.48742959999998,#C C hammers the screw with the plier.,Carpentry,Essential Operation,Core manual task involving high hand activity.,silver,B09,r001
01d793c6-e235-4af1-8a1d-c70dcf0c8654,266.66333960000003,#C C picks up the pen.,Carpentry,Object Transfer,Logistics step of picking up an object.,silver,B09,r001
01d793c6-e235-4af1-8a1d-c70dcf0c8654,268.3498396,#C C removes the cable channel from the wood platform.,Carpentry,Object Transfer,Logistics step involving removing an object from a location.,silver,B09,r001
01d793c6-e235-4af1-8a1d-c70dcf0c8654,270.0568996,#C C marks the cable channel with the pen.,Carpentry,Essential Operation,"Core manual task, high hand activity.",silver,B09,r001
01d793c6-e235-4af1-8a1d-c70dcf0c8654,281.9858396,#C C separates the cable channel with his hands.,Carpentry,Essential Operation,Core task involving high hand activity.,silver,B09,r001
01d793c6-e235-4af1-8a1d-c70dcf0c8654,293.2683909546634,#C C disconnects one of the sides of the conduit with the screwdriver,Carpentry,Essential Operation,Core manual task involving high hand activity.,silver,B09,r001
01d793c6-e235-4af1-8a1d-c70dcf0c8654,302.8176309546634,#C C turns the plastic conduit in both hands,Carpentry,Essential Operation,"High hand activity, core manual task.",silver,B09,r001
01d793c6-e235-4af1-8a1d-c70dcf0c8654,391.4896309546634,#C C marks the ceiling with the pen around the plastic conduit,Carpentry,Search,Visual search or monitoring (marking around the conduit),silver,B09,r001
01d793c6-e235-4af1-8a1d-c70dcf0c8654,465.6356709546634,#C C raises the ceiling slab with both hands,Carpentry,Locomotion,"Body moving through space with a heavy object, indicating high body acceleration.",silver,B09,r001
01d793c6-e235-4af1-8a1d-c70dcf0c8654,568.93845762133,#C C fixes a screw on the drill bit of the screw gun,Carpentry,Essential Operation,Core manual task involving high hand activity.,silver,B09,r001
01d793c6-e235-4af1-8a1d-c70dcf0c8654,572.42152762133,#C C holds the plastic conduit with his left hand,Carpentry,Stationary,"Low body/hand motion, holding an object without moving.",silver,B09,r001
01d793c6-e235-4af1-8a1d-c70dcf0c8654,582.06169762133,#C C adjusts the plastic conduit with his left thumb,Carpentry,Stationary,"Fine motor adjustment with one thumb, minimal body movement.",silver,B09,r001
01d793c6-e235-4af1-8a1d-c70dcf0c8654,595.95119762133,#C C places the screw gun with the screw on the plastic conduit on the wall,Carpentry,Object Transfer,"Logistics of placing objects, involves moving items to a specific location.",silver,B09,r001
01d793c6-e235-4af1-8a1d-c70dcf0c8654,633.3013576213301,#C C holds the ladder with his left hand,Carpentry,Stationary,Holding the ladder is a stable position with minimal movement.,silver,B09,r001
024713b7-b198-4502-a114-02ca0485353b,95.1181486,#C C pushes the chopping board,Cooking,Essential Operation,"Core task involving manual manipulation, high hand activity.",silver,B09,r001
024713b7-b198-4502-a114-02ca0485353b,96.3579286,#C C holds the onion,Cooking,Stationary,Holding an object with minimal movement.,silver,B09,r001
024713b7-b198-4502-a114-02ca0485353b,256.2794286,#C C walks,Cooking,Locomotion,Body moving through space.,silver,B09,r001
