"action","annotation_id","annotator","batch","corrected_action","created_at","id","lead_time","narration_text","reasoning","round","scenario","status","status_main","status_secondary","timestamp_sec","updated_at","video_uid"
"Stationary",1,"1",10,"","2026-02-22T04:02:01.100220Z",1,132.028,"#C C touches the contents of the bowl with the spoon in her right hand.","Low body/hand motion, primarily tactile interaction.","r001","Cooking","silver","Gold","",32.1870896,"2026-02-22T04:02:01.100237Z","002d2729-df71-438d-8396-5895b349e8fd"
"Stationary",2,"1",10,"","2026-02-22T04:02:43.222441Z",2,33.158,"#C C holds the small bucket of flour with her left hand.","Holding an object with minimal movement.","r001","Cooking","silver","Gold","",45.751619600000005,"2026-02-22T04:02:43.222463Z","002d2729-df71-438d-8396-5895b349e8fd"
"Object Transfer",3,"1",10,"","2026-02-22T04:04:21.714703Z",3,93.405,"#C C puts the microwave power plug on the counter top with her right hand.","Logistics step involving picking up and placing an object.","r001","Cooking","silver","Gold","",114.0592296,"2026-02-22T04:04:21.714717Z","002d2729-df71-438d-8396-5895b349e8fd"
"Stationary",4,"1",10,"","2026-02-22T04:19:34.720263Z",4,131.473,"#C C dusts her hands.","Low body/hand motion, likely idle or minimal movement.","r001","Cooking","silver","","Skip",134.3622796,"2026-02-22T04:19:34.720281Z","002d2729-df71-438d-8396-5895b349e8fd"
"Object Transfer",5,"1",10,"","2026-02-22T04:20:50.400848Z",5,75.515,"#C C takes the bowl from her left hand with her right hand.","Logistics/Transfer step between hands.","r001","Cooking","silver","Gold","",167.0532996,"2026-02-22T04:20:50.400866Z","002d2729-df71-438d-8396-5895b349e8fd"
"Essential Operation",6,"1",10,"","2026-02-22T04:21:16.549100Z",6,25.988,"#C C adjusts an air fryer with both hands.","Adjusting the air fryer involves a core manual task with high hand activity.","r001","Cooking","silver","Gold","",220.1997096,"2026-02-22T04:21:16.549118Z","002d2729-df71-438d-8396-5895b349e8fd"
"Locomotion",7,"1",10,"","2026-02-22T04:21:28.557523Z",7,11.845,"#C C walks towards a dinning table.","Body moving through space (walking).","r001","Cooking","silver","Gold","",237.5880596,"2026-02-22T04:21:28.557544Z","002d2729-df71-438d-8396-5895b349e8fd"
"Object Transfer",8,"1",10,"Stationary","2026-02-22T04:32:53.644316Z",8,696.278,"#C C touches a chopping board with his right hand.","Logistics step involving interaction with an object.","r001","Cooking","silver","Bad","",256.65380960000005,"2026-02-23T21:59:20.564226Z","002d2729-df71-438d-8396-5895b349e8fd"
"Essential Operation",9,"1",10,"","2026-02-22T04:33:31.714615Z",9,37.906,"#C C adjusts some racks with both hands.","Core task involving high hand activity.","r001","Cooking","silver","Gold","",257.4668596,"2026-02-22T04:33:31.714635Z","002d2729-df71-438d-8396-5895b349e8fd"
"Object Transfer",10,"1",10,"","2026-02-22T04:34:15.545723Z",10,43.671,"#C C carries a pot from a bigger pot with her right hand.","Logistics step involving moving an object from one location to another.","r001","Cooking","silver","Gold","",260.9716996,"2026-02-22T04:34:15.545745Z","002d2729-df71-438d-8396-5895b349e8fd"
"Object Transfer",11,"1",10,"Essential Operation","2026-02-22T04:35:06.667262Z",11,50.936,"#C C pours out the water in the pot into the sink with both hands.","Logistics step involving the transfer of an object (water in pot) to another location (sink).","r001","Cooking","silver","Bad","",272.05679960000003,"2026-02-22T04:35:06.667289Z","002d2729-df71-438d-8396-5895b349e8fd"
"Object Transfer",12,"1",10,"","2026-02-22T04:47:51.444564Z",12,764.619,"#C C takes the bowl lid from her right hand with her left hand.","Logistics step involving the transfer of the bowl lid from one hand to another.","r001","Cooking","silver","Gold","",367.7545309546634,"2026-02-22T04:47:51.444639Z","002d2729-df71-438d-8396-5895b349e8fd"
"Stationary",13,"1",10,"","2026-02-22T04:48:05.687079Z",13,14.072,"#C C holds a knife in her right hand on a chopping board at a kitchen counter top.","The action describes holding a knife without any movement, indicating a stationary position.","r001","Cooking","silver","Gold","",539.9756376213301,"2026-02-22T04:48:05.687095Z","002d2729-df71-438d-8396-5895b349e8fd"
"Object Transfer",14,"1",10,"","2026-02-22T04:48:14.472836Z",14,8.635,"#C C drops the knife on the chopping board with her right hand.","Refined via regex fallback","r001","Cooking","silver","Gold","",586.4678276213301,"2026-02-22T04:48:14.472857Z","002d2729-df71-438d-8396-5895b349e8fd"
"Essential Operation",15,"1",10,"","2026-02-22T04:48:20.352463Z",15,5.729,"#C C separates the pieces of ginger with both hands on the chopping board.","Core task involving high hand activity.","r001","Cooking","silver","Gold","",716.5854976213301,"2026-02-22T04:48:20.352482Z","002d2729-df71-438d-8396-5895b349e8fd"
"Essential Operation",16,"1",10,"","2026-02-22T04:48:31.525513Z",16,11.017,"#C C breaks off a stalk of celery with her right hand.","Core task involving high hand activity.","r001","Cooking","silver","Gold","",815.32494762133,"2026-02-22T04:48:31.525530Z","002d2729-df71-438d-8396-5895b349e8fd"
"Essential Operation",17,"1",10,"","2026-02-22T04:48:36.572028Z",17,4.884,"#C C rinses the celery stalks with both hands under the tap.","Core task involving high hand activity.","r001","Cooking","silver","Gold","",843.0065476213301,"2026-02-22T04:48:36.572053Z","002d2729-df71-438d-8396-5895b349e8fd"
"Object Transfer",18,"1",10,"","2026-02-22T04:48:41.653873Z",18,4.931,"#C C puts the bowl in a part of the sink with her right hand.","Logistics step involving the placement of an object.","r001","Cooking","silver","Gold","",957.84296762133,"2026-02-22T04:48:41.653894Z","002d2729-df71-438d-8396-5895b349e8fd"
"Essential Operation",19,"1",10,"","2026-02-22T04:48:55.056713Z",19,13.252,"#C C pulls off a thread from a celery stalk with her right hand.","Core manual task involving high hand activity.","r001","Cooking","silver","Gold","",963.06230762133,"2026-02-22T04:48:55.056731Z","002d2729-df71-438d-8396-5895b349e8fd"
"Essential Operation",20,"1",10,"Object Transfer","2026-02-22T04:49:12.194633Z",20,32.118,"#C C adjusts the celery stalks in her left hand on the chopping board with the knife in her right hand.","Core task involving manipulation with hands, likely preparing ingredients.","r001","Cooking","silver","Gold","",1052.59987762133,"2026-02-23T21:59:39.301575Z","002d2729-df71-438d-8396-5895b349e8fd"
"Object Transfer",21,"1",10,"","2026-02-22T04:49:17.508839Z",21,5.162,"#C C takes the celery stalks from her right hand with her left hand.","Logistics step involving moving an object from one hand to another.","r001","Cooking","silver","Gold","",1057.80397762133,"2026-02-22T04:49:17.508856Z","002d2729-df71-438d-8396-5895b349e8fd"
"Object Transfer",22,"1",10,"","2026-02-22T04:49:30.543468Z",22,12.853,"#C C picks the knife from the chopping board with her right hand.","Logistics step of picking up the knife.","r001","Cooking","silver","Gold","",1069.5680422879966,"2026-02-22T04:49:30.543486Z","002d2729-df71-438d-8396-5895b349e8fd"
"Essential Operation",23,"1",10,"Object Transfer","2026-02-22T04:50:07.635174Z",23,36.94,"#C C drops the celery stalk on the chopping board with her left hand.","The action involves placing the celery stalk on the chopping board, which is part of the core manual task of preparing food.","r001","Cooking","silver","Bad","",1094.4223522879963,"2026-02-22T04:50:07.635190Z","002d2729-df71-438d-8396-5895b349e8fd"
"Locomotion",24,"1",10,"","2026-02-22T04:50:12.495174Z",24,4.672,"#C C walks towards a kitchen cabinet.","Body moving through space, involves walking.","r001","Cooking","silver","Gold","",1096.1085022879963,"2026-02-22T04:50:12.495202Z","002d2729-df71-438d-8396-5895b349e8fd"
"Object Transfer",25,"1",10,"","2026-02-22T04:50:19.729448Z",25,7.061,"#C C puts celery stalks from the chopping board into the glass bowl with both hands.","Logistics step involving the transfer of celery stalks from one location to another.","r001","Cooking","silver","Gold","",1159.8938642879966,"2026-02-22T04:50:19.729467Z","002d2729-df71-438d-8396-5895b349e8fd"
"Object Transfer",26,"1",10,"","2026-02-22T04:50:26.982830Z",26,7.068,"#C C lifts the lid of the glass bowl with her left hand.","Action involves picking up an object (lifting the lid), which is a logistics step.","r001","Cooking","silver","Gold","",1204.3906542879963,"2026-02-22T04:50:26.982860Z","002d2729-df71-438d-8396-5895b349e8fd"
"Object Transfer",27,"1",10,"","2026-02-22T04:50:33.031266Z",27,5.877,"#C C drops the glass bowl next to the food processor engine with her left hand.","[CtxFixed] The action involves deliberately placing the glass bowl next to the food processor engine, which fits the criteria for Object Transfer.","r001","Cooking","silver","Gold","",1341.8490942879966,"2026-02-22T04:50:33.031285Z","002d2729-df71-438d-8396-5895b349e8fd"
"Stationary",28,"1",10,"","2026-02-22T04:50:38.763546Z",28,5.549,"#C C holds the food processor bowl with her left hand.","Low body/hand motion, holding an object in place.","r001","Cooking","silver","Gold","",1380.7201742879963,"2026-02-22T04:50:38.763565Z","002d2729-df71-438d-8396-5895b349e8fd"
"Object Transfer",29,"1",10,"","2026-02-22T04:50:55.287056Z",29,16.338,"#C C drops the food processor engine on the counter top with her right hand.","Refined via regex fallback","r001","Cooking","silver","Gold","",1382.365834287997,"2026-02-22T04:50:55.287072Z","002d2729-df71-438d-8396-5895b349e8fd"
"Stationary",30,"1",10,"","2026-02-22T04:52:03.740186Z",30,68.262,"#C C touches the contents of the food processor bowl with her right hand.","Low body/hand motion, likely inspecting texture or consistency.","r001","Cooking","silver","Gold","",1401.1164842879966,"2026-02-22T04:52:03.740209Z","002d2729-df71-438d-8396-5895b349e8fd"
"Object Transfer",31,"1",10,"","2026-02-22T04:52:11.132792Z",31,7.229,"#C C drops the attachment on the counter top with her right hand.","Refined via regex fallback","r001","Cooking","silver","Gold","",1426.7674842879967,"2026-02-22T04:52:11.132810Z","002d2729-df71-438d-8396-5895b349e8fd"
"Object Transfer",32,"1",10,"","2026-02-22T04:52:18.884020Z",32,7.594,"#C C takes a spoon from the pot with her right hand.","Logistics action involving picking up an object.","r001","Cooking","silver","Gold","",1445.0480542879966,"2026-02-22T04:52:18.884036Z","002d2729-df71-438d-8396-5895b349e8fd"
"Object Transfer",33,"1",10,"","2026-02-22T04:52:24.497873Z",33,5.458,"#C C lifts the food processor bowl with her left hand.","Logistics step involving picking up an object.","r001","Cooking","silver","Gold","",1498.6059842879968,"2026-02-22T04:52:24.497889Z","002d2729-df71-438d-8396-5895b349e8fd"
"Essential Operation",34,"1",10,"","2026-02-22T04:52:41.537067Z",34,16.881,"#C C pours some soy sauce into the pot with her right hand.","Core task involving high hand activity.","r001","Cooking","silver","Gold","",1535.186264287997,"2026-02-22T04:52:41.537089Z","002d2729-df71-438d-8396-5895b349e8fd"
"Essential Operation",35,"1",10,"","2026-02-22T04:52:50.629227Z",35,8.941,"#C C stirs the contents of the pot with the spoon in her right hand.","Core manual task involving high hand activity.","r001","Cooking","silver","Gold","",1576.6900742879966,"2026-02-22T04:52:50.629239Z","002d2729-df71-438d-8396-5895b349e8fd"
"Object Transfer",36,"1",10,"","2026-02-22T04:58:43.343611Z",36,352.552,"#C C pours soy sauce from the bottle in her right hand into the spoon in her left hand.","Logistics step involving the transfer of soy sauce from one container to another.","r001","Cooking","silver","Gold","",1723.5299009546634,"2026-02-22T04:58:43.343627Z","002d2729-df71-438d-8396-5895b349e8fd"
"Stationary",37,"1",10,"","2026-02-22T04:58:50.546019Z",37,7.034,"#C C holds the spoon inside the pot with her right hand.","Low body/hand motion, holding an object without movement.","r001","Cooking","silver","Gold","",1736.9776809546634,"2026-02-22T04:58:50.546037Z","002d2729-df71-438d-8396-5895b349e8fd"
"Essential Operation",38,"1",10,"","2026-02-22T04:59:02.418115Z",38,11.71,"#C C mixes the contents of the pot with the spoon in her right hand.","Core task involving repetitive hand movements.","r001","Cooking","silver","Gold","",1801.2902209546633,"2026-02-22T04:59:02.418134Z","002d2729-df71-438d-8396-5895b349e8fd"
"Essential Operation",39,"1",10,"","2026-02-22T05:00:07.422003Z",39,64.823,"#C C shakes the water off the brush into the sink with her right hand.","[CtxFixed] Shaking the water off the brush is a continuation of the cleaning process, which falls under the category of Essential Operation as it is a necessary step in maintaining hygiene and functionality of the brush.","r001","Cooking","silver","Gold","",1937.5064909546631,"2026-02-22T05:00:07.422018Z","002d2729-df71-438d-8396-5895b349e8fd"
"Object Transfer",40,"1",10,"","2026-02-22T05:00:22.933869Z",40,15.343,"#C C lifts the tray from the lower chamber of the steamer with her right hand.","The action involves picking up an object, which is a logistics step.","r001","Cooking","silver","Gold","",1976.961960954664,"2026-02-22T05:00:22.933888Z","002d2729-df71-438d-8396-5895b349e8fd"
"Object Transfer",41,"1",10,"","2026-02-22T05:00:28.946825Z",41,5.862,"#C C removes the tray from the top chamber of the steamer in her left hand with her right hand.","Logistics step involving picking up and moving an object.","r001","Cooking","silver","Gold","",1985.935070954664,"2026-02-22T05:00:28.946841Z","002d2729-df71-438d-8396-5895b349e8fd"
"Object Transfer",42,"1",10,"","2026-02-22T05:00:33.948748Z",42,4.846,"#C C picks the brush from the counter top with her left hand.","Logistics/Setup step, picking up an object.","r001","Cooking","silver","Gold","",2043.861840954664,"2026-02-22T05:00:33.948764Z","002d2729-df71-438d-8396-5895b349e8fd"
"Object Transfer",43,"1",10,"","2026-02-22T05:00:38.199050Z",43,4.099,"#C C lifts the top chamber of the steamer with both hands.","Logistics action involving lifting an object.","r001","Cooking","silver","Gold","",2064.9363909546632,"2026-02-22T05:00:38.199074Z","002d2729-df71-438d-8396-5895b349e8fd"
"Essential Operation",44,"1",10,"Object Transfer","2026-02-22T05:00:53.416648Z",44,15.059,"#C C drops the dough on the chopping board with both hands.","Core task involving high hand activity.","r001","Cooking","silver","Bad","",2204.89264762133,"2026-02-22T05:00:53.416671Z","002d2729-df71-438d-8396-5895b349e8fd"
"Stationary",45,"1",10,"","2026-02-22T05:01:25.040212Z",45,38.842,"#C C touches her face with her left hand. #Unsure","Low body/hand motion, brief touch action.","r001","Cooking","silver","Gold","",2226.1182676213302,"2026-02-23T21:59:48.041953Z","002d2729-df71-438d-8396-5895b349e8fd"
"Essential Operation",46,"1",10,"","2026-02-22T05:01:34.898900Z",46,9.699,"#C C flattens out the dough in her left hand on the chopping board with the rolling pin in her right hand.","Core manual task involving high hand activity.","r001","Cooking","silver","Gold","",2312.5364476213304,"2026-02-22T05:01:34.898916Z","002d2729-df71-438d-8396-5895b349e8fd"
