action,annotation_id,annotator,batch,corrected_action,created_at,id,lead_time,narration_text,reasoning,round,scenario,status,status_main,status_secondary,timestamp_sec,updated_at,video_uid
Locomotion,1357.0,6.0,5,Object Transfer,2026-02-22T22:30:19.151144Z,1132641,19.384,#C C puts bicycle aside,"Body movement to place the bicycle, likely involves standing up or moving to set it aside.",r001,Mechanical Repair,silver,Bad,,875.7727033333333,2026-02-24T03:29:50.845864Z,067b03df-107c-4b7c-9dcc-eb9cdf56d682
Essential Operation,1308.0,6.0,5,,2026-02-22T22:21:58.696852Z,1132642,5.388,#C C scrubs the carpet with the cloth,Core manual task involving high hand activity.,r001,Cleaning,silver,Gold,,39.4431386,2026-02-22T22:21:58.696867Z,0d825fa6-51fc-41d7-b179-db3b3a0b148f
Object Transfer,1322.0,6.0,5,,2026-02-22T22:22:57.696560Z,1132643,14.071,#C C places the cloth on the sink,"Logistics step, placing an object.",r001,Cleaning,silver,Gold,,326.6259898207032,2026-02-22T22:22:57.696575Z,0d825fa6-51fc-41d7-b179-db3b3a0b148f
Object Transfer,1324.0,6.0,5,,2026-02-22T22:23:04.936829Z,1132644,6.015,#C C drops the black funnel on the paper with his left hand.,"[CtxFixed] The action involves deliberately placing the black funnel onto the paper, which fits the criteria for Object Transfer.",r001,Mechanical Repair,silver,Gold,,137.93766,2026-02-22T22:23:04.936853Z,0e61fde0-18ed-44df-8328-816a4756f77e
Essential Operation,1325.0,6.0,5,,2026-02-22T22:23:09.898515Z,1132645,3.808,#C C inserts the dipstick into the motorcycle with his left hand.,Core task involving high hand activity.,r001,Mechanical Repair,silver,Gold,,139.78308,2026-02-22T22:23:09.898532Z,0e61fde0-18ed-44df-8328-816a4756f77e
Stationary,1326.0,6.0,5,,2026-02-22T22:23:26.694800Z,1132646,15.794,#C C stops stirring the food with the wooden spoon in her right hand,"Low body/hand motion, indicates a pause or stop in activity.",r001,Cooking,silver,Gold,,76.63169,2026-02-22T22:23:26.694814Z,1120c597-930c-49b7-8a61-f0dce9c31be5
Object Transfer,1327.0,6.0,5,,2026-02-22T22:23:41.978142Z,1132647,14.027,#C C picks up a bottle on the kitchen slab with her right hand,Logistics step involving picking up an object.,r001,Cooking,silver,Gold,,77.51701,2026-02-22T22:23:41.978175Z,1120c597-930c-49b7-8a61-f0dce9c31be5
Stationary,1328.0,6.0,5,,2026-02-22T22:24:08.247422Z,1132648,25.211,#C C touches her face with her right hand #unsure,"Low body/hand motion, likely a brief, stationary action.",r001,Cooking,silver,Gold,,98.82568,2026-02-22T22:24:08.247437Z,1120c597-930c-49b7-8a61-f0dce9c31be5
Stationary,1329.0,6.0,5,,2026-02-22T22:24:12.185335Z,1132649,2.904,#C C holds the wooden spoon with her right hand,"The action involves holding an object without any movement, indicating low energy activity.",r001,Cooking,silver,Gold,,105.10982,2026-02-22T22:24:12.185358Z,1120c597-930c-49b7-8a61-f0dce9c31be5
Essential Operation,1330.0,6.0,5,,2026-02-22T22:24:21.005233Z,1132650,7.77,#C C stirs the food with the wooden spoon in her right hand,Core task involving repetitive hand movements.,r001,Cooking,silver,Gold,,105.47965,2026-02-22T22:24:21.005257Z,1120c597-930c-49b7-8a61-f0dce9c31be5
