action,annotation_id,annotator,batch,corrected_action,created_at,id,lead_time,narration_text,reasoning,round,scenario,status,status_main,status_secondary,timestamp_sec,updated_at,video_uid
Stationary,1187.0,4.0,3,Object Transfer,2026-02-22T19:03:22.242253Z,1129746,26.974,#C C closes tap,Closing a tap is a brief action with minimal body motion.,r001,Cooking,silver,Gold,,337.7214809546634,2026-02-23T03:05:55.011075Z,04ac4c40-22fd-42aa-a7f0-ee597ffb7058
Search,1188.0,4.0,3,,2026-02-22T19:03:26.752711Z,1129747,1.951,#C C looks around,Visual search or monitoring involves head movement and observation.,r001,Cooking,silver,Gold,,1176.2305909546635,2026-02-22T19:03:26.752732Z,04ac4c40-22fd-42aa-a7f0-ee597ffb7058
Object Transfer,1189.0,4.0,3,,2026-02-22T19:06:37.953984Z,1129748,190.345,#C C throws egg shells in to the dustbin,Logistics step involving picking up and disposing of egg shells.,r001,Cooking,silver,Gold,,2257.6889009546635,2026-02-22T19:06:37.953998Z,04ac4c40-22fd-42aa-a7f0-ee597ffb7058
Stationary,1190.0,4.0,3,,2026-02-22T19:06:40.962526Z,1129749,1.998,#C C holds the phone,"Low body/hand motion, holding position.",r001,Cooking,silver,Gold,,3524.931480954664,2026-02-22T19:06:40.962550Z,04ac4c40-22fd-42aa-a7f0-ee597ffb7058
Locomotion,1191.0,4.0,3,,2026-02-22T19:06:43.967753Z,1129750,2.218,#C C moves around the kitchen,"Body moving through space, indicative of walking or moving around.",r001,Cooking,silver,Gold,,396.2258660916505,2026-02-22T19:06:43.967777Z,055f3cf1-1133-4260-b5a0-31e7ca1726a1
Stationary,1192.0,4.0,3,Essential Operation,2026-02-22T19:07:35.686873Z,1129751,50.903,#C C eats bread,"Low body/hand motion, eating is a relatively stationary activity.",r001,Cooking,silver,Bad,,512.4828660916505,2026-02-22T19:07:35.686886Z,055f3cf1-1133-4260-b5a0-31e7ca1726a1
Essential Operation,1193.0,4.0,3,,2026-02-22T19:07:40.444115Z,1129752,3.785,#C C cleans a spoon,Core manual task involving high hand activity.,r001,Cooking,silver,Gold,,617.4381276136719,2026-02-22T19:07:40.444137Z,055f3cf1-1133-4260-b5a0-31e7ca1726a1
Object Transfer,1194.0,4.0,3,,2026-02-22T19:07:42.825009Z,1129753,1.533,#C C closes the bin,Logistics action involving the closure of a bin.,r001,Cooking,silver,Gold,,1319.7035412757812,2026-02-22T19:07:42.825025Z,055f3cf1-1133-4260-b5a0-31e7ca1726a1
Locomotion,1195.0,4.0,3,,2026-02-22T19:07:54.936157Z,1129754,11.052,#C C rides a bike,"Body moving through space, high body acceleration.",r001,Mechanical Repair,silver,Gold,,406.01219,2026-02-22T19:07:54.936190Z,0afbf08b-09a5-4c15-a85a-5ebf88866443
Essential Operation,1196.0,4.0,3,,2026-02-22T19:07:57.047644Z,1129755,1.216,#C C irons the shirt.,Core manual task involving high hand activity.,r001,Cleaning,silver,Gold,,609.5755924964844,2026-02-22T19:07:57.047669Z,0e529f0a-6432-4f2c-bbd1-e495c019f600
Object Transfer,1197.0,4.0,3,Essential Operation,2026-02-22T19:08:08.507398Z,1129756,29.368,#C C adjusts the wood on the slider,Logistics step involving the placement or adjustment of an object.,r001,Carpentry,silver,Bad,,230.2547096,2026-02-22T19:09:00.994024Z,119cd9ee-665e-477c-a271-80c06e78e3d4
Stationary,1198.0,4.0,3,Essential Operation,2026-02-22T19:08:16.219873Z,1129757,11.177,#C C adjusts the wood on the slider,Adjusting the position of the wood likely involves minimal body movement and could be done with small hand adjustments.,r001,Carpentry,silver,Bad,,236.7743196,2026-02-22T19:09:06.539737Z,119cd9ee-665e-477c-a271-80c06e78e3d4
Essential Operation,1199.0,4.0,3,,2026-02-22T19:08:18.992253Z,1129758,1.567,#C C cuts off a piece of the wood with the saw,Core task involving high hand activity and focused manual operation.,r001,Carpentry,silver,Gold,,241.2297396,2026-02-22T19:08:18.992302Z,119cd9ee-665e-477c-a271-80c06e78e3d4
Essential Operation,1200.0,4.0,3,,2026-02-22T19:08:20.990075Z,1129759,1.219,#C C cuts a piece of the wood with the saw,Core task involving high hand activity.,r001,Carpentry,silver,Gold,,357.7623909546634,2026-02-22T19:08:20.990099Z,119cd9ee-665e-477c-a271-80c06e78e3d4
Essential Operation,1201.0,4.0,3,,2026-02-22T19:09:15.613430Z,1129760,2.951,#C C adjusts the wood on the slider,"Adjusting the wood on the slider involves precise manual task, high hand activity.",r001,Carpentry,silver,Gold,,462.5154009546634,2026-02-22T19:09:15.613456Z,119cd9ee-665e-477c-a271-80c06e78e3d4
Locomotion,1202.0,4.0,3,,2026-02-22T19:09:19.129794Z,1129761,2.386,#C C walks to the other rear car door.,"Body moving through space, involves walking.",r001,Cleaning,silver,Gold,,391.1396709546634,2026-02-22T19:09:19.129826Z,1321d3aa-dc41-4bee-94a7-559536885b88
Object Transfer,1203.0,4.0,3,,2026-02-22T19:09:21.675795Z,1129762,1.766,#C C places the knife on the whetstone,"Logistics step, placing an object.",r001,Mechanical Repair,silver,Gold,,848.5496170518638,2026-02-22T19:09:21.675818Z,150c104e-f9bd-4a81-b885-0e8b9968cada
Essential Operation,1204.0,4.0,3,,2026-02-22T19:09:23.620673Z,1129763,1.035,#C C sharpens the knife with the whetstone,Core task involving high hand activity.,r001,Mechanical Repair,silver,Gold,,974.3443470518638,2026-02-22T19:09:23.620696Z,150c104e-f9bd-4a81-b885-0e8b9968cada
Essential Operation,1205.0,4.0,3,,2026-02-22T19:09:25.413111Z,1129764,1.122,#C C turns the knife.,Core manual task involving high hand activity.,r001,Mechanical Repair,silver,Gold,,1900.308345032292,2026-02-22T19:09:25.413134Z,150c104e-f9bd-4a81-b885-0e8b9968cada
Search,1206.0,4.0,3,,2026-02-22T19:09:27.569738Z,1129765,1.317,#C C looks on the knife edges.,"Head movement (visual inspection), hands mostly still.",r001,Mechanical Repair,silver,Gold,,1933.156435032292,2026-02-22T19:09:27.569762Z,150c104e-f9bd-4a81-b885-0e8b9968cada
Essential Operation,1207.0,4.0,3,,2026-02-22T19:09:30.267882Z,1129766,1.896,#C C sharpens the knife.,Core manual task with high hand activity.,r001,Mechanical Repair,silver,Gold,,2130.012265032292,2026-02-22T19:09:30.267906Z,150c104e-f9bd-4a81-b885-0e8b9968cada
Essential Operation,1208.0,4.0,3,,2026-02-22T19:09:32.966929Z,1129767,1.789,#C C wipes the knife.,Core task involving high hand activity.,r001,Mechanical Repair,silver,Gold,,2334.8849327775088,2026-02-22T19:09:32.966964Z,150c104e-f9bd-4a81-b885-0e8b9968cada
Object Transfer,1209.0,4.0,3,,2026-02-22T19:09:35.960261Z,1129768,2.312,#C C puts the iron box on the iron board hanger,Logistics step involving picking up and placing an object.,r001,Cleaning,silver,Gold,,334.56623836562505,2026-02-22T19:09:35.960280Z,18a2984e-01d1-41f1-8c0e-2b314c8c233f
Essential Operation,1210.0,4.0,3,,2026-02-22T19:11:21.349135Z,1129769,90.288,#C C irons cloth with an iron box,Core manual task involving repetitive hand movements.,r001,Cleaning,silver,Gold,,544.789668365625,2026-02-22T19:11:25.840916Z,18a2984e-01d1-41f1-8c0e-2b314c8c233f
Stationary,1211.0,4.0,3,Essential Operation,2026-02-22T19:11:37.325291Z,1129770,7.18,#C C regulates the iron box,Adjusting or regulating an appliance typically involves minimal body movement.,r001,Cleaning,silver,Bad,,641.0900421875776,2026-02-22T19:11:37.325305Z,18a2984e-01d1-41f1-8c0e-2b314c8c233f
