action,annotation_id,annotator,batch,corrected_action,created_at,id,lead_time,narration_text,reasoning,round,scenario,status,status_main,status_secondary,timestamp_sec,updated_at,video_uid
Locomotion,2011.0,9.0,7,,2026-02-23T03:20:47.970340Z,1135612,57.866,#C C rides the motorcycle on the road.,Body moving through space at a steady pace.,r001,Walking Outdoors,silver,Gold,,22.62115,2026-02-23T03:20:47.970374Z,053ae0a6-937d-4bdc-8001-d3dfe7899811
Locomotion,2012.0,9.0,7,,2026-02-23T03:21:03.166080Z,1135613,8.008,#O The man X comes down from his bike.,"Body moving through space, transitioning from one mode of movement to another.",r001,Walking Outdoors,silver,Gold,,1152.6007033333333,2026-02-23T03:21:03.166094Z,053ae0a6-937d-4bdc-8001-d3dfe7899811
Locomotion,2071.0,9.0,7,,2026-02-23T03:25:19.096778Z,1135614,9.977,#C C rides his motorcycle on the road.,"Body moving through space, high body acceleration.",r001,Walking Outdoors,silver,Gold,,1186.6582733333337,2026-02-23T03:25:19.096811Z,053ae0a6-937d-4bdc-8001-d3dfe7899811
Locomotion,2083.0,9.0,7,,2026-02-23T03:25:48.583165Z,1135615,27.952,#C C rides his motorcycle to the left.,"Body moving through space, high body acceleration.",r001,Walking Outdoors,silver,Gold,,1269.7482433333334,2026-02-23T03:25:48.583179Z,053ae0a6-937d-4bdc-8001-d3dfe7899811
Locomotion,2088.0,9.0,7,,2026-02-23T03:26:01.155113Z,1135616,0.884,#C C drives to the left.,"Body moving through space, indicative of movement or travel.",r001,Walking Outdoors,silver,,,1925.9038966666667,2026-02-23T03:26:01.155152Z,053ae0a6-937d-4bdc-8001-d3dfe7899811
Locomotion,2090.0,9.0,7,,2026-02-23T03:26:03.650005Z,1135617,1.647,#O The man X covers the seat of the scooter with his right hand.,"The action is part of a larger movement (walking outdoors), indicating high body acceleration.",r001,Walking Outdoors,silver,Gold,,2258.1474700000003,2026-02-23T03:26:03.650038Z,053ae0a6-937d-4bdc-8001-d3dfe7899811
Locomotion,2092.0,9.0,7,,2026-02-23T03:26:06.637874Z,1135618,2.236,#C C rides the motorcycle to the right.,Body moving through space (riding a motorcycle).,r001,Walking Outdoors,silver,Gold,,2577.1569400000003,2026-02-23T03:26:06.637898Z,053ae0a6-937d-4bdc-8001-d3dfe7899811
Locomotion,2096.0,9.0,7,,2026-02-23T03:26:10.105565Z,1135619,2.565,#C C parks the motorcycle. #unsure,"The action involves the body moving through space to park a motorcycle, which is a form of locomotion.",r001,Walking Outdoors,silver,Gold,,2918.3413493333333,2026-02-23T03:26:10.105598Z,053ae0a6-937d-4bdc-8001-d3dfe7899811
Stationary,2105.0,9.0,7,Object Transfer,2026-02-23T03:26:22.927683Z,1135620,9.306,# X x eats # #unsure,"Low body/hand motion, typically involves chewing and swallowing.",r001,Cooking,silver,Bad,,83.91212859999999,2026-02-23T03:26:22.927716Z,0793bbe0-b8d5-4d46-9f02-c71d1bd4fad2
Stationary,2114.0,9.0,7,Object Transfer,2026-02-23T03:26:34.862789Z,1135621,10.415,# X x wakes up,"Low body/hand motion, indicative of waking up or transitioning to a stationary state.",r001,Cooking,silver,Bad,,93.4079386,2026-02-23T03:26:34.862813Z,0793bbe0-b8d5-4d46-9f02-c71d1bd4fad2
Stationary,2175.0,9.0,7,Object Transfer,2026-02-23T03:29:03.983378Z,1135622,147.791,# X x seats on couch,"Low body/hand motion, sitting on a couch.",r001,Cooking,silver,Bad,,99.2783386,2026-02-23T03:29:03.983408Z,0793bbe0-b8d5-4d46-9f02-c71d1bd4fad2
Stationary,2182.0,9.0,7,,2026-02-23T03:29:26.428783Z,1135623,7.173,# X x operates on phone,"Low body/hand motion, likely involves holding the phone and interacting with it.",r001,Cooking,silver,,Skip,146.4123286,2026-02-23T03:29:26.428816Z,0793bbe0-b8d5-4d46-9f02-c71d1bd4fad2
Locomotion,2185.0,9.0,7,,2026-02-23T03:29:35.109394Z,1135624,7.341,#C C moves out of the room.,Body moving through space (walking out of the room).,r001,Cooking,silver,Gold,,357.14401197916663,2026-02-23T03:29:35.109428Z,0793bbe0-b8d5-4d46-9f02-c71d1bd4fad2
Stationary,2194.0,9.0,7,,2026-02-23T03:30:27.856752Z,1135625,9.479,# X x coughs,"Low body/hand motion, brief action.",r001,Cooking,silver,Gold,,789.9059352666667,2026-02-23T03:30:27.856777Z,0793bbe0-b8d5-4d46-9f02-c71d1bd4fad2
Stationary,2193.0,9.0,7,,2026-02-23T03:30:23.736473Z,1135626,39.281,# X x operates tv using phone,Operating a TV using a phone likely involves minimal body movement and could be considered a low-energy activity.,r001,Cooking,silver,Gold,,801.9419952666667,2026-02-23T03:30:23.736488Z,0793bbe0-b8d5-4d46-9f02-c71d1bd4fad2
Stationary,2195.0,9.0,7,,2026-02-23T03:30:34.393585Z,1135627,5.5,#O man A scratches his arm,"Low body/hand motion, likely idle action.",r001,Cooking,silver,Gold,,924.1981853125,2026-02-23T03:30:34.393608Z,0793bbe0-b8d5-4d46-9f02-c71d1bd4fad2
Stationary,2196.0,9.0,7,,2026-02-23T03:30:39.053969Z,1135628,3.748,# X x scrolls tv using laptop,"Low body/hand motion, primarily finger movements on a device.",r001,Cooking,silver,Gold,,1116.5750752666663,2026-02-23T03:30:39.054002Z,0793bbe0-b8d5-4d46-9f02-c71d1bd4fad2
