action,annotation_id,annotator,batch,corrected_action,created_at,id,lead_time,narration_text,reasoning,round,scenario,status,status_main,status_secondary,timestamp_sec,updated_at,video_uid
Stationary,8233.0,5.0,4,,2026-02-24T19:17:56.109295Z,1131165,2.893,#O person X holds cards,"The action of holding cards is a low-energy, static activity.",r001,Playing Instrument,silver,Gold,,420.9375187026078,2026-02-24T19:17:56.109328Z,02cf2e59-26be-43be-a4d9-7d6cbcfd0898
Object Transfer,8258.0,5.0,4,,2026-02-24T19:19:20.026125Z,1131166,82.753,#O person X places card down,"The action involves picking up or putting down an object, which is a logistics step.",r001,Playing Instrument,silver,Gold,,423.5282787026079,2026-02-24T19:19:20.026148Z,02cf2e59-26be-43be-a4d9-7d6cbcfd0898
Stationary,8451.0,5.0,4,Object Transfer,2026-02-24T19:31:52.246500Z,1131167,751.386,#C C aligns card,"The action 'aligns card' suggests a precise, controlled movement with minimal body motion.",r001,Playing Instrument,silver,Bad,,628.3011821677084,2026-02-24T19:31:52.246515Z,02cf2e59-26be-43be-a4d9-7d6cbcfd0898
Stationary,8458.0,5.0,4,Search,2026-02-24T19:31:59.274845Z,1131168,5.545,#O person X stares at cards,"Low body/hand motion, visual focus without movement.",r001,Playing Instrument,silver,Bad,,1054.6285827880183,2026-02-24T19:31:59.274877Z,02cf2e59-26be-43be-a4d9-7d6cbcfd0898
Stationary,8464.0,5.0,4,,2026-02-24T19:32:17.152702Z,1131169,16.415,#C C holds cards together,"Holding cards together involves minimal movement, indicating a stationary action.",r001,Playing Instrument,silver,Gold,,1162.3458452666666,2026-02-24T19:32:17.152740Z,02cf2e59-26be-43be-a4d9-7d6cbcfd0898
Stationary,8468.0,5.0,4,Object Transfer,2026-02-24T19:32:22.133503Z,1131170,4.158,#O Woman Y puts card down,"The action 'puts card down' suggests a brief, low-energy movement.",r001,Playing Instrument,silver,Bad,,1525.7344653695222,2026-02-24T19:32:22.133517Z,02cf2e59-26be-43be-a4d9-7d6cbcfd0898
Object Transfer,8469.0,5.0,4,,2026-02-24T19:32:25.793542Z,1131171,2.772,#O Woman Y puts card down,"Action involves putting something down, which is a logistics step.",r001,Playing Instrument,silver,Gold,,1551.836115369522,2026-02-24T19:32:25.793566Z,02cf2e59-26be-43be-a4d9-7d6cbcfd0898
Stationary,8472.0,5.0,4,Object Transfer,2026-02-24T19:32:51.819714Z,1131172,25.263,#O woman Y shuffles cards,"The action of shuffling cards is a manual task but does not involve significant body movement, thus classified as Stationary.",r001,Playing Instrument,silver,Bad,,2976.8998055010416,2026-02-24T19:32:51.819728Z,02cf2e59-26be-43be-a4d9-7d6cbcfd0898
Object Transfer,8473.0,5.0,4,,2026-02-24T19:32:55.000614Z,1131173,2.399,#C C lifts card,"The action involves picking up an object, which is a logistics step.",r001,Playing Instrument,silver,Gold,,3359.8645586,2026-02-24T19:32:55.000637Z,02cf2e59-26be-43be-a4d9-7d6cbcfd0898
Essential Operation,8474.0,5.0,4,,2026-02-24T19:32:59.466041Z,1131174,2.721,#C C adjusts the cut-out with his left hand,Core task involving high hand activity to adjust the cut-out.,r001,Carpentry,silver,Gold,,383.3828809546634,2026-02-24T19:32:59.466064Z,0971527a-6cd3-4c82-9d94-09b3565f4505
Essential Operation,8477.0,5.0,4,,2026-02-24T19:33:06.109628Z,1131175,5.335,#C C ties the cable tie around wires with both hands,Core manual task involving high hand activity.,r001,Carpentry,silver,Gold,,409.2407309546634,2026-02-24T19:33:06.109654Z,0971527a-6cd3-4c82-9d94-09b3565f4505
Object Transfer,8480.0,5.0,4,,2026-02-24T19:33:19.294689Z,1131176,12.076,#C C puts the scissors back in his pocket with his right hand,Logistics step involving placing an object.,r001,Carpentry,silver,Gold,,493.8847209546634,2026-02-24T19:33:19.294702Z,0971527a-6cd3-4c82-9d94-09b3565f4505
Essential Operation,8487.0,5.0,4,,2026-02-24T19:33:32.304431Z,1131177,10.698,#C C arranges wires with both hands,Core manual task involving high hand activity.,r001,Carpentry,silver,Gold,,575.5141276213301,2026-02-24T19:33:32.304454Z,0971527a-6cd3-4c82-9d94-09b3565f4505
Stationary,8528.0,5.0,4,,2026-02-24T19:36:37.878218Z,1131178,184.721,#C C holds a loose wire with his left hand,"Low body/hand motion, holding an object.",r001,Carpentry,silver,Gold,,593.20385762133,2026-02-24T19:36:37.878243Z,0971527a-6cd3-4c82-9d94-09b3565f4505
Locomotion,8531.0,5.0,4,Object Transfer,2026-02-24T19:36:43.519813Z,1131179,4.248,#C C lifts #unsure,The action of lifting an object suggests movement and could involve standing up or moving the body through space.,r001,Cleaning,silver,Bad,,66.50942959999999,2026-02-24T19:36:43.519839Z,0a90656a-eac8-49fa-a253-78f5626c8d5c
Stationary,8534.0,5.0,4,,2026-02-24T19:36:46.143742Z,1131180,1.806,#C C holds the oven tray,"Low body/hand motion, holding an object.",r001,Cleaning,silver,Gold,,221.1639696,2026-02-24T19:36:46.143766Z,0a90656a-eac8-49fa-a253-78f5626c8d5c
Object Transfer,8536.0,5.0,4,,2026-02-24T19:36:49.468108Z,1131181,2.22,#C C picks felt cloth from the countertop,Logistics step involving picking up an object.,r001,Cleaning,silver,Gold,,251.2472696,2026-02-24T19:36:49.468132Z,0a90656a-eac8-49fa-a253-78f5626c8d5c
Stationary,8539.0,5.0,4,Object Transfer,2026-02-24T19:36:55.112255Z,1131182,4.777,#C C pushes the weighing scale,"The action involves pushing a weighing scale, which is likely a brief and localized movement, indicating low overall body and hand motion.",r001,Cleaning,silver,Bad,,352.1556409546634,2026-02-24T19:36:55.112312Z,0a90656a-eac8-49fa-a253-78f5626c8d5c
Essential Operation,8542.0,5.0,4,,2026-02-24T19:37:00.810227Z,1131183,4.89,#C C wipes the weighing scale,Core task involving high hand activity.,r001,Cleaning,silver,Gold,,357.2777609546634,2026-02-24T19:37:00.810250Z,0a90656a-eac8-49fa-a253-78f5626c8d5c
Essential Operation,8543.0,5.0,4,,2026-02-24T19:37:02.828834Z,1131184,1.176,#C C wipes the top of the car with the rag,Core task involving high hand activity.,r001,Cleaning,silver,Gold,,32.04531,2026-02-24T19:37:02.828858Z,0c8c2f4b-a006-47ca-8826-133af1dfb632
Object Transfer,8544.0,5.0,4,,2026-02-24T19:37:05.472329Z,1131185,1.907,#C C drops the rag on a keg,"[CtxFixed] The action of dropping the rag onto a keg appears to be a deliberate placement of the object, which fits the criteria for 'Object Transfer'.",r001,Cleaning,silver,Gold,,44.15244,2026-02-24T19:37:05.472353Z,0c8c2f4b-a006-47ca-8826-133af1dfb632
Locomotion,8545.0,5.0,4,,2026-02-24T19:37:13.940164Z,1131186,4.003,#C C walks to the other side of the car,"Body moving through space, high body acceleration.",r001,Cleaning,silver,Gold,,108.93821,2026-02-24T19:37:13.940189Z,0c8c2f4b-a006-47ca-8826-133af1dfb632
Stationary,8563.0,5.0,4,,2026-02-24T19:38:58.906101Z,1131187,103.956,#C C stops spraying the car with the water from the water hose.,"Low body/hand motion, indicating an idle or paused state.",r001,Cleaning,silver,Gold,,137.87422,2026-02-24T19:38:58.906125Z,0c8c2f4b-a006-47ca-8826-133af1dfb632
Object Transfer,8565.0,5.0,4,,2026-02-24T19:39:03.703857Z,1131188,3.272,#C C puts celery in the cooking pot,Logistics step involving moving an object.,r001,Cooking,silver,Gold,,7.2976686,2026-02-24T19:39:03.703881Z,0d1b2c6a-e71a-4aa1-8a40-2c877b34aa73
Essential Operation,8566.0,5.0,4,,2026-02-24T19:39:06.051091Z,1131189,1.346,#C C cooks the food,"Core task, high hand activity.",r001,Cooking,silver,Gold,,53.4141986,2026-02-24T19:39:06.051115Z,0d1b2c6a-e71a-4aa1-8a40-2c877b34aa73
Object Transfer,8582.0,5.0,4,,2026-02-24T19:40:03.299111Z,1131190,5.6,#C C picks the spinach from the bag,Logistics step involving picking up an object.,r001,Cooking,silver,Gold,,73.4481486,2026-02-24T19:40:03.299135Z,0d1b2c6a-e71a-4aa1-8a40-2c877b34aa73
Object Transfer,8589.0,5.0,4,,2026-02-24T19:40:16.075242Z,1131191,11.946,#C C puts spinach on the cooking pot,Logistics step involving picking up and placing the spinach.,r001,Cooking,silver,Gold,,77.5104286,2026-02-24T19:40:16.075273Z,0d1b2c6a-e71a-4aa1-8a40-2c877b34aa73
Object Transfer,8591.0,5.0,4,,2026-02-24T19:40:20.183789Z,1131192,2.732,#C C closes a bottle of cooking oil,"Closing a bottle involves picking up and putting down the object, which is a logistics step.",r001,Cooking,silver,Gold,,158.11587859999997,2026-02-24T19:40:20.183814Z,0d1b2c6a-e71a-4aa1-8a40-2c877b34aa73
Search,8593.0,5.0,4,,2026-02-24T19:40:22.838521Z,1131193,1.631,#C C checks the food,"Head movement (visual inspection), hands mostly still.",r001,Cooking,silver,Gold,,292.6746184474122,2026-02-24T19:40:22.838545Z,0d1b2c6a-e71a-4aa1-8a40-2c877b34aa73
Locomotion,8596.0,5.0,4,,2026-02-24T19:40:29.015551Z,1131194,2.204,#C C walks out of the building.,Body moving through space (walking).,r001,Carpentry,silver,Gold,,6.5621596,2026-02-24T19:40:29.015575Z,127392a3-036a-4af6-9db9-ca00141229db
Object Transfer,8616.0,5.0,4,,2026-02-24T19:41:41.872571Z,1131195,71.251,#C C drops the toolbox on his right hand.,"[CtxFixed] The action of dropping the toolbox is a deliberate placement of the object, which fits the criteria for 'Object Transfer'.",r001,Carpentry,silver,Gold,,19.2689796,2026-02-24T19:41:41.872595Z,127392a3-036a-4af6-9db9-ca00141229db
Essential Operation,8618.0,5.0,4,,2026-02-24T19:41:46.469015Z,1131196,2.721,#C C plasters the wall of the building with the cement.,Core manual task involving high hand activity.,r001,Carpentry,silver,Gold,,204.9000196,2026-02-24T19:41:46.469039Z,127392a3-036a-4af6-9db9-ca00141229db
