"action","annotation_id","annotator","batch","corrected_action","created_at","id","lead_time","narration_text","reasoning","round","scenario","status","status_main","status_secondary","timestamp_sec","updated_at","video_uid"
"Object Transfer",1,"1",9,"","2026-02-25T20:18:18.478778Z",1,57.026,"#C C places the spirit level beside the cable channel.","The action involves placing an object, which is a logistics step.","r001","Carpentry","silver","Gold","",36.544779600000005,"2026-02-25T20:18:18.478790Z","01d793c6-e235-4af1-8a1d-c70dcf0c8654"
"Essential Operation",2,"1",9,"Object Transfer","2026-02-25T20:19:16.993158Z",2,57.284,"#C C pushes the cable channel against the wall with his right hand.","Core manual task involving high hand activity.","r001","Carpentry","silver","Bad","",43.9902996,"2026-02-25T20:19:16.993174Z","01d793c6-e235-4af1-8a1d-c70dcf0c8654"
"Object Transfer",3,"1",9,"","2026-02-25T20:21:25.143573Z",3,120.732,"#C C picks up a second power drill.","Logistics step involving picking up an object.","r001","Carpentry","silver","Gold","",96.0154796,"2026-02-25T20:21:25.143583Z","01d793c6-e235-4af1-8a1d-c70dcf0c8654"
"Object Transfer",4,"1",9,"","2026-02-25T20:21:29.432008Z",4,2.911,"#C C picks up a plier with his left hand.","Logistics step of picking up an object.","r001","Carpentry","silver","Gold","",154.8288696,"2026-02-25T20:21:29.432030Z","01d793c6-e235-4af1-8a1d-c70dcf0c8654"
"Essential Operation",5,"1",9,"","2026-02-25T20:21:35.044555Z",5,4.593,"#C C hammers the screw with the plier.","Core manual task involving high hand activity.","r001","Carpentry","silver","Gold","",156.48742959999998,"2026-02-25T20:21:35.044574Z","01d793c6-e235-4af1-8a1d-c70dcf0c8654"
"Object Transfer",6,"1",9,"","2026-02-25T20:21:39.627221Z",6,3.668,"#C C removes the cable channel from the wood platform.","Logistics step involving removing an object from a location.","r001","Carpentry","silver","Gold","",268.3498396,"2026-02-25T20:21:39.627235Z","01d793c6-e235-4af1-8a1d-c70dcf0c8654"
"Essential Operation",7,"1",9,"","2026-02-25T20:21:43.928598Z",7,2.985,"#C C marks the cable channel with the pen.","Core manual task, high hand activity.","r001","Carpentry","silver","Gold","",270.0568996,"2026-02-25T20:21:43.928612Z","01d793c6-e235-4af1-8a1d-c70dcf0c8654"
"Essential Operation",8,"1",9,"","2026-02-25T20:21:48.124527Z",8,3.432,"#C C separates the cable channel with his hands.","Core task involving high hand activity.","r001","Carpentry","silver","Gold","",281.9858396,"2026-02-25T20:21:48.124545Z","01d793c6-e235-4af1-8a1d-c70dcf0c8654"
"Essential Operation",9,"1",9,"","2026-02-25T20:21:53.555005Z",9,4.61,"#C C disconnects one of the sides of the conduit with the screwdriver","Core manual task involving high hand activity.","r001","Carpentry","silver","Gold","",293.2683909546634,"2026-02-25T20:21:53.555015Z","01d793c6-e235-4af1-8a1d-c70dcf0c8654"
"Essential Operation",10,"1",9,"","2026-02-25T20:22:03.856421Z",10,8.693,"#C C turns the plastic conduit in both hands","High hand activity, core manual task.","r001","Carpentry","silver","Gold","",302.8176309546634,"2026-02-25T20:22:03.856433Z","01d793c6-e235-4af1-8a1d-c70dcf0c8654"
"Search",11,"1",9,"Essential Operation","2026-02-25T20:22:12.141059Z",11,7.392,"#C C marks the ceiling with the pen around the plastic conduit","Visual search or monitoring (marking around the conduit)","r001","Carpentry","silver","Bad","",391.4896309546634,"2026-02-25T20:22:12.141074Z","01d793c6-e235-4af1-8a1d-c70dcf0c8654"
"Locomotion",12,"1",9,"","2026-02-25T20:22:16.362429Z",12,3.397,"#C C raises the ceiling slab with both hands","Body moving through space with a heavy object, indicating high body acceleration.","r001","Carpentry","silver","Gold","",465.6356709546634,"2026-02-25T20:22:16.362444Z","01d793c6-e235-4af1-8a1d-c70dcf0c8654"
"Essential Operation",13,"1",9,"","2026-02-25T20:22:21.618620Z",13,4.362,"#C C fixes a screw on the drill bit of the screw gun","Core manual task involving high hand activity.","r001","Carpentry","silver","Gold","",568.93845762133,"2026-02-25T20:22:21.618633Z","01d793c6-e235-4af1-8a1d-c70dcf0c8654"
"Stationary",14,"1",9,"","2026-02-25T20:22:51.627374Z",14,28.631,"#C C holds the plastic conduit with his left hand","Low body/hand motion, holding an object without moving.","r001","Carpentry","silver","Gold","",572.42152762133,"2026-02-25T20:22:51.627386Z","01d793c6-e235-4af1-8a1d-c70dcf0c8654"
"Stationary",15,"1",9,"","2026-02-25T20:22:56.413336Z",15,3.998,"#C C adjusts the plastic conduit with his left thumb","Fine motor adjustment with one thumb, minimal body movement.","r001","Carpentry","silver","Gold","",582.06169762133,"2026-02-25T20:22:56.413352Z","01d793c6-e235-4af1-8a1d-c70dcf0c8654"
"Object Transfer",16,"1",9,"Essential Operation","2026-02-25T20:23:06.475091Z",16,9.384,"#C C places the screw gun with the screw on the plastic conduit on the wall","Logistics of placing objects, involves moving items to a specific location.","r001","Carpentry","silver","Bad","",595.95119762133,"2026-02-25T20:23:06.475100Z","01d793c6-e235-4af1-8a1d-c70dcf0c8654"
"Essential Operation",17,"1",9,"","2026-02-25T20:23:10.347474Z",17,2.94,"#C C pushes the chopping board","Core task involving manual manipulation, high hand activity.","r001","Cooking","silver","Gold","",95.1181486,"2026-02-25T20:23:10.347486Z","024713b7-b198-4502-a114-02ca0485353b"
"Object Transfer",18,"1",9,"","2026-02-25T20:23:16.795448Z",18,5.716,"#C C places knife on the chopping board","Logistics step involving placing an object.","r001","Cooking","silver","Gold","",364.8514586458333,"2026-02-25T20:23:16.795463Z","024713b7-b198-4502-a114-02ca0485353b"
"Object Transfer",19,"1",9,"","2026-02-25T20:23:23.933665Z",19,5.824,"#C C places garlic on the chopping board","Logistics step, placing an object.","r001","Cooking","silver","Gold","",441.4705686458333,"2026-02-25T20:23:23.933677Z","024713b7-b198-4502-a114-02ca0485353b"
"Object Transfer",20,"1",9,"","2026-02-25T20:23:28.759899Z",20,3.984,"#C C puts garlic skin in the bowl","Logistics step involving moving an object.","r001","Cooking","silver","Gold","",446.14425864583336,"2026-02-25T20:23:28.759912Z","024713b7-b198-4502-a114-02ca0485353b"
"Essential Operation",21,"1",9,"","2026-02-25T20:23:45.712090Z",21,14.788,"#C C stirs the food in the frying pan","Core manual task involving high hand activity.","r001","Cooking","silver","Gold","",454.0868386458333,"2026-02-25T20:23:45.712101Z","024713b7-b198-4502-a114-02ca0485353b"
"Essential Operation",22,"1",9,"","2026-02-25T20:23:50.462919Z",22,3.386,"#C C wets her hand","Core task involving manual operation with high hand activity.","r001","Cooking","silver","Gold","",592.8384721677083,"2026-02-25T20:23:50.462934Z","024713b7-b198-4502-a114-02ca0485353b"
"Essential Operation",23,"1",9,"","2026-02-25T20:23:52.932112Z",23,1.763,"#C C scoops the seasoning","Core task involving high hand activity.","r001","Cooking","silver","Gold","",659.3828821677084,"2026-02-25T20:23:52.932127Z","024713b7-b198-4502-a114-02ca0485353b"
"Object Transfer",24,"1",9,"","2026-02-25T20:23:55.432822Z",24,1.02,"#C C takes the double oven gloves from the oven rack","Logistics/Setup step, picking up an object.","r001","Cooking","silver","Gold","",722.2541721677084,"2026-02-25T20:23:55.432834Z","024713b7-b198-4502-a114-02ca0485353b"
"Object Transfer",25,"1",9,"","2026-02-25T20:23:57.724596Z",25,1.364,"#C C takes the tray out of the oven","Logistics step involving picking up and moving an object.","r001","Cooking","silver","Gold","",729.2491121677084,"2026-02-25T20:23:57.724609Z","024713b7-b198-4502-a114-02ca0485353b"
"Essential Operation",26,"1",9,"","2026-02-25T20:23:59.575318Z",26,1.136,"#C C stirs the food with a wooden spoon","Core task involving repetitive hand movements.","r001","Cooking","silver","Gold","",751.6865721677084,"2026-02-25T20:23:59.575333Z","024713b7-b198-4502-a114-02ca0485353b"
"Object Transfer",27,"1",9,"","2026-02-25T20:24:02.085044Z",27,1.852,"#C C puts the cap on the counter","Logistics step involving placing an object.","r001","Cooking","silver","Gold","",773.9702221677084,"2026-02-25T20:24:02.085056Z","024713b7-b198-4502-a114-02ca0485353b"
"Object Transfer",28,"1",9,"","2026-02-25T20:24:03.991385Z",28,0.976,"#C C moves the wooden spoon onto the rack","Logistics action involving moving an object to a specific location.","r001","Cooking","silver","Gold","",859.8193521677083,"2026-02-25T20:24:03.991394Z","024713b7-b198-4502-a114-02ca0485353b"
"Stationary",29,"1",9,"","2026-02-25T20:24:07.831497Z",29,1.495,"#C C pushes the rack in","Low body/hand motion, likely involves minimal movement.","r001","Cooking","silver","Gold","",889.0244821677084,"2026-02-25T20:24:07.831510Z","024713b7-b198-4502-a114-02ca0485353b"
"Essential Operation",30,"1",9,"","2026-02-25T20:24:10.287800Z",30,1.738,"#C C rinses her hand","Core task involving high hand activity.","r001","Cooking","silver","Gold","",893.9190421677083,"2026-02-25T20:24:10.287810Z","024713b7-b198-4502-a114-02ca0485353b"
"Essential Operation",31,"1",9,"","2026-02-25T20:24:12.017703Z",31,1.101,"#C C washes the pan scouring pad","Core manual task involving high hand activity.","r001","Cooking","silver","Gold","",926.2526621677084,"2026-02-25T20:24:12.017714Z","024713b7-b198-4502-a114-02ca0485353b"
"Essential Operation",32,"1",9,"","2026-02-25T20:24:13.531351Z",32,0.762,"#C C rinses the left hand","Core manual task involving high hand activity.","r001","Cooking","silver","Gold","",931.1489321677084,"2026-02-25T20:24:13.531365Z","024713b7-b198-4502-a114-02ca0485353b"
"Essential Operation",33,"1",9,"","2026-02-25T20:24:15.715659Z",33,0.863,"#C C pours the water from the pan","Core task involving manual operation with high hand activity.","r001","Cooking","silver","Gold","",934.2290621677084,"2026-02-25T20:24:15.715675Z","024713b7-b198-4502-a114-02ca0485353b"
"Essential Operation",34,"1",9,"","2026-02-25T20:24:17.618935Z",34,1.003,"#C C washes the pan with the scouring pad","Core task involving high hand activity.","r001","Cooking","silver","Gold","",936.8397521677084,"2026-02-25T20:24:17.618945Z","024713b7-b198-4502-a114-02ca0485353b"
"Object Transfer",35,"1",9,"","2026-02-25T20:24:22.643432Z",35,4.044,"#C C puts the kitchen towel back","Logistics/Setup step.","r001","Cooking","silver","Gold","",971.8142621677084,"2026-02-25T20:24:22.643443Z","024713b7-b198-4502-a114-02ca0485353b"
"Object Transfer",772,"1",9,"","2026-02-25T21:22:13.943075Z",36,1.755,"#C C takes the pasta from the counter","Logistics/Setup step.","r001","Cooking","silver","Gold","",1058.0610021677085,"2026-02-25T21:22:13.943089Z","024713b7-b198-4502-a114-02ca0485353b"
"Locomotion",36,"1",9,"","2026-02-25T20:24:25.679655Z",37,2.382,"#C C walks towards a dining area","Body moving through space (walking).","r001","Playing Instrument","silver","Gold","",131.96292526666667,"2026-02-25T20:24:25.679667Z","025c24db-1ab3-462e-888a-3598fd777ee2"
"Search",37,"1",9,"","2026-02-25T20:24:28.283878Z",38,1.15,"#C C looks at photos hanged on a wall","Head movement (visual inspection), hands mostly still.","r001","Playing Instrument","silver","Gold","",145.20967526666666,"2026-02-25T20:24:28.283894Z","025c24db-1ab3-462e-888a-3598fd777ee2"
"Stationary",38,"1",9,"","2026-02-25T20:24:29.893298Z",39,0.821,"#C C reads from a tablet","Low body/hand motion, focused activity.","r001","Playing Instrument","silver","Gold","",254.50711526666663,"2026-02-25T20:24:29.893315Z","025c24db-1ab3-462e-888a-3598fd777ee2"
"Stationary",39,"1",9,"","2026-02-25T20:24:31.709494Z",40,1.031,"#C C rests left leg on the right one.","The action describes a resting position with no significant movement.","r001","Playing Instrument","silver","Gold","",547.7871052666668,"2026-02-25T20:24:31.709508Z","025c24db-1ab3-462e-888a-3598fd777ee2"
"Locomotion",40,"1",9,"","2026-02-25T20:24:33.278289Z",41,0.922,"#C C moves the left leg","Body moving through space, likely involves some level of body acceleration.","r001","Playing Instrument","silver","Gold","",766.2358219333335,"2026-02-25T20:24:33.278301Z","025c24db-1ab3-462e-888a-3598fd777ee2"
"Object Transfer",41,"1",9,"","2026-02-25T20:24:35.118526Z",42,1.019,"#C C places the tiles on the table","The action involves placing objects (tiles) on a surface, which is a logistics step.","r001","Playing Instrument","silver","Gold","",1131.6216619333336,"2026-02-25T20:24:35.118537Z","025c24db-1ab3-462e-888a-3598fd777ee2"
"Object Transfer",42,"1",9,"","2026-02-25T20:24:37.243905Z",43,1.254,"#C C picks a tile from the table","Logistics step involving picking up an object.","r001","Playing Instrument","silver","Gold","",1148.4619719333336,"2026-02-25T20:24:37.243918Z","025c24db-1ab3-462e-888a-3598fd777ee2"
"Object Transfer",43,"1",9,"","2026-02-25T20:24:42.698853Z",44,4.432,"#O a child X picks a tile from the table","The action involves picking up an object, which is a logistics step.","r001","Playing Instrument","silver","","Skip",1152.0518919333335,"2026-02-25T20:24:42.698874Z","025c24db-1ab3-462e-888a-3598fd777ee2"
