video_uid,timestamp_sec,narration_text,scenario,action,reasoning,status
ab9b7b7c-33ad-4358-929f-8b36b719f45f,0.0,#C C holds a phone.,Walking Outdoors,Stationary,Holding a phone typically involves minimal body and hand movement.,gold
ab9b7b7c-33ad-4358-929f-8b36b719f45f,6.9379,#C C walks down a walkway.,Walking Outdoors,Locomotion,"Body moving through space, consistent with walking.",gold
ab9b7b7c-33ad-4358-929f-8b36b719f45f,126.33952,#C C climbs a short staircase.,Walking Outdoors,Locomotion,"Body moving through space with climbing, indicating high body acceleration.",gold
9b49246f-30e9-476f-ab8c-56a1bcb1d936,5.0686396,#C C sings.,Cleaning,Stationary,"Low body/hand motion, singing involves minimal movement.",silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,6.7937896,#C C walks downstairs.,Cleaning,Locomotion,Body moving through space (walking).,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,25.5720096,#C C touches camera. #unsure,Cleaning,Stationary,"Low body/hand motion, likely involves minimal movement.",silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,58.6764596,#C C opens a fridge.,Cleaning,Object Transfer,"Action involves opening a fridge, which is a logistics step.",silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,60.201139600000005,#C C takes a pack of vegetables from the fridge. #unsure,Cleaning,Object Transfer,Logistics step involving picking up and moving an object.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,69.5547696,#C C closes the fridge.,Cleaning,Object Transfer,Closing the fridge involves a specific action to manipulate an object (the fridge door).,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,74.9816196,#C C moves a bottle on the kitchen counter.,Cleaning,Object Transfer,Logistics step involving moving an object.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,77.9774096,#C C opens the pack.,Cleaning,Object Transfer,"Action involves opening a pack, which is a logistics step.",silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,80.0336196,#C C takes out the vegetables from the pack. #unsure,Cleaning,Object Transfer,Logistics step involving picking up and transferring objects.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,80.2594896,#C C talks.,Cleaning,Stationary,Low body/hand motion.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,88.49541959999999,#C C opens the dishwasher.,Cleaning,Object Transfer,Logistics action involving opening a container.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,90.4492396,#C C takes a bowl from the dish washer.,Cleaning,Object Transfer,Logistics/Setup step involving picking up and moving an object.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,93.1205996,#C C drops the bowl in the zinc.,Cleaning,Object Transfer,Refined via regex fallback,gold
9b49246f-30e9-476f-ab8c-56a1bcb1d936,95.7428396,#C C closes the dishwasher.,Cleaning,Object Transfer,Closing the dishwasher is a logistics step involving a specific object interaction.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,96.4216696,#C C takes the vegetables from the pack.,Cleaning,Object Transfer,Logistics step involving picking up and transferring objects.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,104.4862196,#C C opens the tap.,Cleaning,Object Transfer,"Opening an object (tap), logistics step.",silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,108.9931896,#C C talks.,Cleaning,Stationary,Low body/hand motion.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,114.6404496,#C C throws the vegetable in the bin.,Cleaning,Locomotion,"The action involves moving the body to throw an object, which includes a throwing motion that involves significant body acceleration.",silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,118.4661696,#C C select the vegetables.,Cleaning,Essential Operation,Selecting involves a core manual task with active hand movement.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,143.4382196,#C C washes the vegetables.,Cleaning,Essential Operation,Core manual task involving high hand activity.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,193.7635596,#C C looks around.,Cleaning,Search,"Head movement (visual search), hands mostly still.",silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,196.1074096,#C C opens the dishwasher.,Cleaning,Object Transfer,Logistics step involving opening a container.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,202.0000196,#C C takes the bowl out of the zinc.,Cleaning,Object Transfer,Logistics step involving picking up and moving an object.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,210.5813896,#C C covers the pack.,Cleaning,Object Transfer,"Logistics step, likely involves picking up and placing an object.",silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,212.8493396,#C C throws the vegetable in the bin.,Cleaning,Locomotion,"The action involves moving an object through space, which implies a throwing motion with significant body acceleration.",silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,219.0732396,#C C washes the vegetable.,Cleaning,Essential Operation,Core task involving manual operation with high hand activity.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,320.2062509546634,#C C throws some of the fruits in the bin.,Cleaning,Object Transfer,Logistics of moving objects (throwing fruits into a bin).,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,333.0764409546634,#C C talks.,Cleaning,Stationary,Low body/hand motion.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,341.2489909546634,#C C washes the fruits.,Cleaning,Essential Operation,Core manual task involving high hand activity.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,409.1708709546634,#C C selects the fruits.,Cleaning,Search,Implying a visual search or selection process.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,417.2494509546634,#C C washes the fruits.,Cleaning,Essential Operation,Core manual task involving high hand activity.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,452.29990095466337,#C C covers the pack of fruits.,Cleaning,Object Transfer,Logistics step involving picking up and placing an object.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,455.1551409546634,#C C puts the pack in the dustbin.,Cleaning,Object Transfer,Logistics step involving moving an object to a destination.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,461.8862509546634,#C C washes the fruits.,Cleaning,Essential Operation,Core manual task involving high hand activity.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,489.8738609546634,#C C picks the fruit's seed from the floor.,Cleaning,Object Transfer,Logistics step involving picking up an object from the floor.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,494.2955309546634,#C C adjusts the bowl.,Cleaning,Stationary,"Low body/hand motion, likely involves minor adjustments.",silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,495.3350209546634,#C C picks a fruit from the pack.,Cleaning,Object Transfer,Logistics step involving picking up an object.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,496.7259809546634,#C C washes the fruit.,Cleaning,Essential Operation,Core manual task involving high hand activity.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,501.1340809546634,#C C opens the fruit.,Cleaning,Object Transfer,"Opening an object, a logistics step.",silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,512.7408709546634,#C C opens the fruit.,Cleaning,Object Transfer,"Opening an object, a logistics step involving short bursts of hand activity.",silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,521.9035809546634,#C C puts the seed in the dustbin.,Cleaning,Object Transfer,Logistics step involving picking up and disposing of an item.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,535.6940656213301,#C C closes the tap.,Cleaning,Essential Operation,"Core task involving a manual action, likely with high hand activity.",silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,537.2038356213301,#C C removes the seeds from the fruits.,Cleaning,Essential Operation,Core manual task involving precise hand movements.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,549.6081956213301,#C C opens the tap.,Cleaning,Object Transfer,"Logistics action, opening a tap involves a specific interaction with an object.",silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,550.58700562133,#C C washes his hands.,Cleaning,Essential Operation,Core task involving high hand activity.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,551.1430656213302,#C C closes the tap.,Cleaning,Essential Operation,Core task involving a specific action with the hands.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,553.8022956213301,#C C removes the seed from the fruit.,Cleaning,Essential Operation,Core manual task involving fine motor skills.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,555.36407762133,#C C removes the seeds from the fruits.,Cleaning,Essential Operation,Core task involving fine manual dexterity.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,609.85646762133,#C C lifts up the bowl.,Cleaning,Object Transfer,Logistics step involving picking up an object.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,615.80309762133,#C C drops the bowl on the kitchen counter.,Cleaning,Object Transfer,"[CtxFixed] The action of dropping the bowl onto the kitchen counter can be interpreted as a deliberate placement of the bowl onto a surface, which aligns with the definition of 'Object Transfer'.",silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,621.5743776213301,#C C opens the tap.,Cleaning,Object Transfer,Opening the tap is a logistics step involving a short burst of hand activity.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,623.5131776213301,#C C closes the tap.,Cleaning,Essential Operation,"Core task, high hand activity.",silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,638.5968476213301,#C C opens the tap.,Cleaning,Object Transfer,"Logistics action involving opening a tap, short burst of hand activity.",silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,641.81245762133,#C C washes the fruits.,Cleaning,Essential Operation,Core task involving manual activity with high hand acceleration.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,643.9703576213301,#C C removes the seed from the fruit.,Cleaning,Essential Operation,Core task involving manual dexterity and fine motor skills.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,649.9348376213301,#C C washes the fruits.,Cleaning,Essential Operation,Core manual task involving high hand activity.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,652.4029976213301,#C C removes the seed from the fruit.,Cleaning,Essential Operation,"Core task involving manual manipulation, high hand activity.",silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,656.28360762133,#C C picks the fruit in the pack.,Cleaning,Object Transfer,Logistics step involving picking up an object.,silver
9b49246f-30e9-476f-ab8c-56a1bcb1d936,658.08565762133,#C C washes the fruits.,Cleaning,Essential Operation,Core task involving manual activity with the hands.,silver
