video_uid,timestamp_sec,narration_text,scenario,action,reasoning,status
6a2fa96b-86b5-43e6-9aae-5b144ab15927,0.0210286,#C C places glass on table,Desk Work,Object Transfer,Logistics/Setup step involving placing an object.,silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,2.9162686,#C C walks in the house,Desk Work,Locomotion,"Body moving through space, high body acceleration.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,6.1156186,#C C stares at the laptop,Desk Work,Stationary,"Low body/hand motion, focused attention.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,13.4505686,#C C dances in the house,Desk Work,Locomotion,Body moving through space with high body acceleration.,silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,49.6528886,#C C looks around,Desk Work,Search,"Head movement (visual search), hands mostly still.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,52.9101686,#C C dances in the house,Desk Work,Locomotion,Body moving through space with high body acceleration.,silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,55.6565086,#C C looks around,Desk Work,Search,"Head movement (looking around), passive hands.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,60.5765286,#C C dances in the house,Desk Work,Locomotion,"Body moving through space, likely involves high body acceleration.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,96.0654086,#C C looks around,Desk Work,Search,"Head movement (visual search), hands mostly still.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,98.2180686,#C C dances in the house,Desk Work,Locomotion,"Body moving through space, likely involves high body acceleration.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,100.5535986,#C C looks around,Desk Work,Search,"Head movement (visual search), hands mostly still.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,105.3923786,#C C dances in the house,Desk Work,Locomotion,"Body moving through space, likely involves high body acceleration.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,123.0718886,#C C looks around,Desk Work,Search,"Head movement (visual search), hands mostly still.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,133.57793859999998,#C C dances in the house,Desk Work,Locomotion,Body moving through space with high body acceleration.,silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,168.09217859999998,#C C looks around,Desk Work,Search,"Head movement (visual search), hands mostly still.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,171.5178086,#C C dances in the house,Desk Work,Locomotion,Body moving through space with high body acceleration.,silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,175.57579859999998,#C C looks around the house,Desk Work,Search,"Head movement (visual search), hands mostly still.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,177.1826686,#C C dances in the house,Desk Work,Locomotion,"Body moving through space, likely involves significant body acceleration.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,206.2454386,#C C walks to the table,Desk Work,Locomotion,"Body moving through space, indicative of walking.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,207.6779586,#C C picks water glass,Desk Work,Object Transfer,Logistics/Setup step involving picking up an object.,silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,208.9102586,#C C drinks water from glass,Desk Work,Stationary,Drinking is a low-energy activity with minimal body motion.,silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,211.8988186,#C C places glass on table,Desk Work,Object Transfer,Logistics/Setup step involving the placement of an object.,silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,214.4659986,#C C walks in the house,Desk Work,Locomotion,"Movement through space, indicating walking.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,221.0852386,#C C looks at the laptop,Desk Work,Stationary,"Low body/hand motion, focused visual activity.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,226.8545286,#C C dances in the house,Desk Work,Locomotion,"Body moving through space, likely with high body acceleration.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,235.2819086,#C C looks around,Desk Work,Search,"Head movement (visual search), hands mostly still.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,237.2238986,#C C dances in the house,Desk Work,Locomotion,Body moving through space with high body acceleration.,silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,268.7034886,#C C looks around,Desk Work,Search,"Head movement (visual search), hands mostly still.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,377.83797864583335,#C C walks to the table,Desk Work,Locomotion,Movement through space to reach the table.,silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,380.2374886458333,#C C takes the glass of water,Desk Work,Object Transfer,"Logistics step, moving an object (glass of water).",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,381.4044686458333,#C C drinks water from the glass,Desk Work,Stationary,Drinking involves minimal movement and is generally a stationary activity.,silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,383.4377986458333,#C C puts the glass down,Desk Work,Object Transfer,Logistics step involving placing an object.,silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,389.3883986458333,#C C stares at the video on the laptop,Desk Work,Stationary,"Low body/hand motion, focused attention.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,396.3381686458333,#C C works out in the floor,Desk Work,Locomotion,"Body moving through space, likely involves movement such as working out.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,522.9419786458334,#C C stares in the room,Desk Work,Stationary,"Low body/hand motion, indicates a state of inactivity or observation.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,531.5451386458333,#C C plays the music.,Desk Work,Stationary,"Low body/hand motion, possibly interacting with a device.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,573.2933521677083,#C C turns around,Desk Work,Stationary,Turning around while stationary indicates minimal movement beyond the rotation.,silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,574.3453121677084,#C C dances in the house,Desk Work,Locomotion,"Body moving through space, likely involves significant body acceleration.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,575.9304321677084,#C C turns around,Desk Work,Stationary,Turning around is a low-energy motion and does not involve significant movement through space.,silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,577.4612721677083,#C C dances in the house,Desk Work,Locomotion,Body moving through space with high body acceleration.,silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,580.5744321677084,#C C turns around,Desk Work,Stationary,Turning around typically involves minimal linear movement and can be considered a stationary action if there is no subsequent locomotion.,silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,582.2026421677084,#C C dances in the house,Desk Work,Locomotion,"Body moving through space, likely involves high body acceleration.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,585.4119521677084,#C C turns around,Desk Work,Stationary,"Turning around with minimal movement indicates a low energy, stationary action.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,588.9202121677084,#C C dances in the house,Desk Work,Locomotion,"Body moving through space, likely involves high body acceleration.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,594.1750221677083,#C C walks around the house,Desk Work,Locomotion,Body moving through space (walking).,silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,602.5987921677083,#C C dances in the house,Desk Work,Locomotion,Body moving through space with high body acceleration.,silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,642.8588021677084,#C C turns around,Desk Work,Stationary,Turning around while stationary indicates minimal movement beyond head rotation.,silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,644.9605221677084,#C C dances in the house,Desk Work,Locomotion,Body moving through space with significant body acceleration.,silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,650.8363521677084,#C C turns around,Desk Work,Stationary,"Turning around is a low energy, stationary action.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,653.9274721677084,#C C dances in the house,Desk Work,Locomotion,Body moving through space with high body acceleration.,silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,681.4669021677084,#C C looks around,Desk Work,Search,"Head movement (visual search), hands mostly still.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,682.7098721677083,#C C dances in the house,Desk Work,Locomotion,"Body moving through space, likely with significant body acceleration.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,692.8127921677084,#C C turns around,Desk Work,Search,"Head and body rotation to look around, hands likely still.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,694.7076321677084,#C C dances in the house,Desk Work,Locomotion,Body moving through space with high body acceleration.,silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,700.8046821677084,#C C turns around,Desk Work,Stationary,Turning around involves minimal movement and is likely accompanied by low energy activity.,silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,703.0311121677083,#C C dances in the house,Desk Work,Locomotion,Body moving through space with high body acceleration.,silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,733.9123921677084,#C C turns around,Desk Work,Stationary,Turning around is a low-energy movement that does not involve significant hand or body acceleration.,silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,736.1997021677084,#C C dances in the house,Desk Work,Locomotion,"Body moving through space, likely involves high body acceleration.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,742.5292121677084,#C C turns around,Desk Work,Stationary,Turning around is a low-energy movement with minimal body acceleration.,silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,743.6944921677084,#C C dances in the house,Desk Work,Locomotion,Body moving through space with high body acceleration.,silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,783.4447121677083,#C C turns around,Desk Work,Stationary,Turning around with minimal body movement.,silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,788.2080421677083,#C C dances in the house,Desk Work,Locomotion,Body moving through space with high body acceleration.,silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,792.0895521677083,#C C turns around,Desk Work,Stationary,"Turning around is a low-energy movement, typically involving minimal hand and body acceleration.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,794.4287021677084,#C C dances in the house,Desk Work,Locomotion,Body moving through space with high body acceleration.,silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,796.1701521677084,#C C walks around the house,Desk Work,Locomotion,"Body moving through space, high body acceleration.",silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,811.4815921677084,#C C dances in the house,Desk Work,Locomotion,Body moving through space with high body acceleration.,silver
6a2fa96b-86b5-43e6-9aae-5b144ab15927,919.9088644774712,#C C stares at the laptop,Desk Work,Stationary,"Low body/hand motion, focused gaze.",silver
