video_uid,timestamp_sec,narration_text,scenario,action,reasoning,status
4572b198-2c1c-4920-bcf0-95fcebe12261,-3.999999999976245e-07,#C C uses the phone,Cooking,Stationary,"Low body/hand motion, likely involves holding the phone and interacting with it.",silver
4572b198-2c1c-4920-bcf0-95fcebe12261,4.4356996,#C C walks in the kitchen,Cooking,Locomotion,Body moving through space (walking).,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,8.423839599999999,#C C places the phone on the countertop,Cooking,Object Transfer,Logistics step involving placing an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,9.6739396,#C C walks in the kitchen,Cooking,Locomotion,Body moving through space (walking).,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,12.6619696,#C C opens the sink tap,Cooking,Object Transfer,Logistics/Setup step involving opening a tap.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,14.3432396,#C C picks the sponge,Cooking,Object Transfer,Logistics/Setup step involving picking up an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,14.923579599999998,#C C holds the basin sieve,Cooking,Stationary,"Low body/hand motion, holding an object.",silver
4572b198-2c1c-4920-bcf0-95fcebe12261,15.8983496,#C C scrubs the basin sieve,Cooking,Essential Operation,Core task involving high hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,16.787969600000004,#C C places the sponge in the sink,Cooking,Object Transfer,Logistics step involving picking up and placing the sponge.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,16.864729600000004,#C C rinses the basin sieve,Cooking,Essential Operation,Core task involving high hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,21.994069600000003,#C C wipes the countertop,Cooking,Essential Operation,Core task involving manual cleaning activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,23.464789600000003,#C C places the basin sieve on the countertop,Cooking,Object Transfer,Logistics step involving placing an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,24.582349600000004,#C C holds the cloth,Cooking,Stationary,"Low body/hand motion, holding an object without movement.",silver
4572b198-2c1c-4920-bcf0-95fcebe12261,26.166849600000003,#C C rinses the cloth,Cooking,Essential Operation,Core manual task involving hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,33.1591396,#C C closes the sink tap,Cooking,Object Transfer,"This action involves turning an object (the tap) on or off, which is a logistical step in the cooking process.",silver
4572b198-2c1c-4920-bcf0-95fcebe12261,68.2582496,#C C squeezes the cloth,Cooking,Essential Operation,Core task involving high hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,68.7651396,#C C places the cloth in the sink,Cooking,Object Transfer,Logistics step involving placing an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,69.1250596,#C C picks the sponge,Cooking,Object Transfer,Logistics/Setup step.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,69.1250596,#C C picks the turner spatula,Cooking,Object Transfer,Logistics/Setup step involving picking up an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,69.9718496,#C C scrubs the turner spatula,Cooking,Essential Operation,Core task involving high hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,71.8727196,#C C places the turner spatula on the countertop,Cooking,Object Transfer,Logistics step of putting down an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,71.65457959999999,#C C picks the bowl,Cooking,Object Transfer,Logistics/Setup step involving picking up an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,72.7898196,#C C scrubs the bowl,Cooking,Essential Operation,Core task involving high hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,75.5601796,#C C picks the bowl,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,75.6709896,#C C places the bowl on the countertop,Cooking,Object Transfer,Logistics step involving placing an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,76.7083596,#C C scrubs the bowl,Cooking,Essential Operation,Core task involving high hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,80.43824959999999,#C C places the bowl on the countertop,Cooking,Object Transfer,Logistics step of placing an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,82.20538959999999,#C C scrubs the cooking pot,Cooking,Essential Operation,Core task involving high hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,84.69576959999999,#C C pours water in the sink,Cooking,Essential Operation,"Core task involving fluid movement, high hand activity.",silver
4572b198-2c1c-4920-bcf0-95fcebe12261,88.74031959999999,#C C places the sponge in the sink,Cooking,Object Transfer,Logistics step involving the placement of an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,89.5312196,#C C opens the sink tap,Cooking,Object Transfer,Logistics step involving opening a tap.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,89.5312196,#C C picks the bowls,Cooking,Object Transfer,Logistics step involving picking up objects.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,90.6272596,#C C rinses the bowls,Cooking,Essential Operation,Core task involving high hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,97.2734496,#C C picks the cloth,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,97.7213196,#C C places the cloth in the cooking pot,Cooking,Object Transfer,Logistics step involving the placement of an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,100.1195896,#C C places the bowls on the countertop,Cooking,Object Transfer,"Logistics step, placing objects.",silver
4572b198-2c1c-4920-bcf0-95fcebe12261,101.0646696,#C C rinses the cloth,Cooking,Essential Operation,Core manual task involving hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,110.2686196,#C C closes the sink tap,Cooking,Object Transfer,Closing the tap is a logistics step involving a specific action on an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,110.9540896,#C C rinses the cloth,Cooking,Essential Operation,Core manual task involving high hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,159.6543696,#C C squeezes the cloth,Cooking,Essential Operation,"Core manual task, high hand activity.",silver
4572b198-2c1c-4920-bcf0-95fcebe12261,161.1912996,#C C pours water in the sink,Cooking,Essential Operation,Core task involving active hand movement.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,163.5136396,#C C opens the sink tap,Cooking,Object Transfer,Logistics action involving opening a tap.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,164.1714496,#C C rinses the cloth,Cooking,Essential Operation,Core task involving manual activity with the hands.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,205.5491296,#C C closes the sink tap,Cooking,Object Transfer,Logistics action involving manipulation of a tap to close it.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,206.8323996,#C C squeezes the cloth,Cooking,Essential Operation,Core task involving high hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,210.7611796,#C C walks in the kitchen,Cooking,Locomotion,"Body moving through space, indicative of walking.",silver
4572b198-2c1c-4920-bcf0-95fcebe12261,214.7838096,#C C hangs the cloth on the rack,Cooking,Object Transfer,Logistics step involving moving the cloth to the rack.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,218.7098096,#C C walks in the kitchen,Cooking,Locomotion,Body moving through space (walking).,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,221.2965296,#C C picks the sponge,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,221.2965296,#C C holds the cooking pot,Cooking,Stationary,"Low body/hand motion, holding an object without moving.",silver
4572b198-2c1c-4920-bcf0-95fcebe12261,221.6876796,#C C scrubs the cooking pot,Cooking,Essential Operation,Core manual task involving high hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,226.6301896,#C C pours water in the sink,Cooking,Essential Operation,Core task involving hand movement and activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,228.4886996,#C C opens the sink tap,Cooking,Object Transfer,"Logistics action involving opening a tap, short burst of hand activity.",silver
4572b198-2c1c-4920-bcf0-95fcebe12261,229.6415696,#C C scrubs the cooking pot,Cooking,Essential Operation,Core task involving repetitive and high hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,232.2913796,#C C places the sponge on the sink top,Cooking,Object Transfer,Logistics step involving placing an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,232.6783296,#C C closes the sink tap,Cooking,Object Transfer,"Action involves turning off a tap, which is a logistics step.",silver
4572b198-2c1c-4920-bcf0-95fcebe12261,234.0277496,#C C moves in the kitchen,Cooking,Locomotion,"Movement through space, likely involves walking or moving around the kitchen.",silver
4572b198-2c1c-4920-bcf0-95fcebe12261,236.1646596,#C C places the cooking pot on the countertop,Cooking,Object Transfer,Logistics step of placing an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,236.7756596,#C C moves in the kitchen,Cooking,Locomotion,"Movement through space, likely involves walking or moving around in the kitchen.",silver
4572b198-2c1c-4920-bcf0-95fcebe12261,239.2983596,#C C picks the chopsticks,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,240.2402896,#C C places the chopsticks in the sink,Cooking,Object Transfer,Logistics step involving placing an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,240.7913496,#C C pours water in the sink,Cooking,Essential Operation,Core task involving active hand movement.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,246.8678696,#C C places the cooking pot in the sink,Cooking,Object Transfer,"Logistics step, moving an object to a location.",silver
4572b198-2c1c-4920-bcf0-95fcebe12261,248.3016496,#C C picks the plate,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,249.8505896,#C C places the plate in the sink,Cooking,Object Transfer,Logistics step involving placing an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,251.7221096,#C C picks the sponge,Cooking,Object Transfer,"Logistics step, picking up an object.",silver
4572b198-2c1c-4920-bcf0-95fcebe12261,252.4057196,#C C turns the sink tap,Cooking,Object Transfer,"Logistics action involving manipulation of a tap, short bursts of hand activity.",silver
4572b198-2c1c-4920-bcf0-95fcebe12261,253.1717396,#C C opens the sink tap,Cooking,Object Transfer,"Logistics action involving opening a tap, short bursts of hand activity.",silver
4572b198-2c1c-4920-bcf0-95fcebe12261,254.1127796,#C C washes the cooking pan,Cooking,Essential Operation,Core task involving high hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,256.42006960000003,#C C closes the sink tap,Cooking,Object Transfer,Closing the tap is a logistics step involving a brief burst of hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,257.3122296,#C C opens the sink tap,Cooking,Object Transfer,Logistics step involving opening a tap.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,257.5065296,#C C places the cooking pan in the sink,Cooking,Object Transfer,Logistics step involving moving an object to a specific location.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,259.17692960000005,#C C picks the detergent,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,259.87877960000003,#C C applies the detergent on the sponge,Cooking,Essential Operation,"Core task involving manual application, high hand activity.",silver
4572b198-2c1c-4920-bcf0-95fcebe12261,261.31122960000005,#C C places the detergent on the countertop,Cooking,Object Transfer,Logistics step involving picking up and putting down an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,261.31122960000005,#C C scrubs the cooking pan,Cooking,Essential Operation,Core task involving high hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,275.7383596,#C C picks the plate,Cooking,Object Transfer,Logistics/Setup step involving picking up an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,277.90036960000003,#C C washes the plate,Cooking,Essential Operation,Core task involving high hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,286.8201609546634,#C C picks the cooking pot,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,288.8961409546634,#C C places the plate in the sink,Cooking,Object Transfer,Logistics step involving placing an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,289.8562509546634,#C C places the cooking pot on the plate,Cooking,Object Transfer,Logistics step involving picking up and placing an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,290.1487109546634,#C C picks the steel bowl,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,291.5588709546634,#C C picks the sponge,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,292.3076309546634,#C C washes the steel bowl,Cooking,Essential Operation,Core task involving high hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,297.4509309546634,#C C picks the cooking pot,Cooking,Object Transfer,Logistics action involving picking up an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,298.46223095466337,#C C places the steel bowl on the plate,Cooking,Object Transfer,Logistics action involving placing an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,299.6916009546634,#C C dips the sponge in water,Cooking,Essential Operation,Core task involving hand activity with a tool (sponge).,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,300.3134209546634,#C C washes the cooking pot,Cooking,Essential Operation,"Core task, high hand activity.",silver
4572b198-2c1c-4920-bcf0-95fcebe12261,306.4122609546634,#C C dips the sponge in water,Cooking,Essential Operation,Core task involving high hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,307.1519809546634,#C C washes the cooking pot,Cooking,Essential Operation,Core task involving manual labor with high hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,314.7233509546634,#C C places the cooking pot on the bowl,Cooking,Object Transfer,Logistics step involving picking up and placing an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,315.9234109546634,#C C washes the cooking pan,Cooking,Essential Operation,"Core task, high hand activity.",silver
4572b198-2c1c-4920-bcf0-95fcebe12261,318.2239209546634,#C C pours soapy water on the cooking pot,Cooking,Essential Operation,Core manual task involving high hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,322.3179209546634,#C C squeezes the sponge,Cooking,Essential Operation,Core task involving high hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,323.3569509546634,#C C places the sponge in the sink,Cooking,Object Transfer,Logistics step involving placing an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,323.8237709546634,#C C picks the steel wool,Cooking,Object Transfer,Logistics/Setup step.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,324.1599209546634,#C C scrubs the cooking pot,Cooking,Essential Operation,Core task involving high hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,348.6104709546634,#C C pours water in the sink,Cooking,Essential Operation,Core task involving high hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,349.2321109546634,#C C scrubs the cooking pot,Cooking,Essential Operation,Core task involving high hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,353.4229309546634,#C C places steel wool in the sink,Cooking,Object Transfer,Logistics step involving the placement of an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,353.7589309546634,#C C picks the bowl,Cooking,Object Transfer,Logistics/Setup step.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,356.9655909546634,#C C places the bowl on the plate,Cooking,Object Transfer,Logistics step involving placing an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,358.0602109546634,#C C picks the cooking pan,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,359.5612209546634,#C C places the cooking pot in the sink,Cooking,Object Transfer,Logistics step involving picking up and placing an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,360.7208209546634,#C C opens the sink tap,Cooking,Object Transfer,Logistics step involving opening a tap.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,362.2220209546634,#C C rinses the hands,Cooking,Essential Operation,Core task involving high hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,364.46052095466337,#C C picks the sponge,Cooking,Object Transfer,Logistics step of picking up an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,365.7537109546634,#C C rinses the cooking pan,Cooking,Essential Operation,Core task involving high hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,369.4166809546634,#C C places the sponge in the sink,Cooking,Object Transfer,Logistics step involving moving the sponge to the sink.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,369.9237009546634,#C C picks the sponge,Cooking,Object Transfer,"Logistics step, picking up an object.",silver
4572b198-2c1c-4920-bcf0-95fcebe12261,370.5073309546634,#C C rinses the cooking pan,Cooking,Essential Operation,Core manual task involving hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,386.7602009546634,#C C places the cooking pan on the cooker,Cooking,Object Transfer,Logistics step involving placing an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,388.9958409546634,#C C picks the cooking pot,Cooking,Object Transfer,Logistics step of picking up an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,390.1001909546634,#C C pours water in the bowl,Cooking,Essential Operation,Core task involving manual operation with high hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,391.8016509546634,#C C rinses the cooking pot,Cooking,Essential Operation,Core task involving high hand activity and manipulation.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,417.7005509546634,#C C places the sponge on the countertop,Cooking,Object Transfer,"Logistics step, placing an object.",silver
4572b198-2c1c-4920-bcf0-95fcebe12261,421.3560709546634,#C C turns the sink tap,Cooking,Object Transfer,"Turning a tap involves a specific action to manipulate an object, indicating a logistics step.",silver
4572b198-2c1c-4920-bcf0-95fcebe12261,424.1014709546634,#C C places the cooking pot on the cooker,Cooking,Object Transfer,Logistics step involving picking up and placing an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,425.3818409546634,#C C holds the steel bowl,Cooking,Stationary,"Low body/hand motion, holding an object without moving.",silver
4572b198-2c1c-4920-bcf0-95fcebe12261,426.1872309546634,#C C pours water in the sink,Cooking,Essential Operation,Core task involving high hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,427.0852109546634,#C C holds the plate,Cooking,Stationary,"Low body/hand motion, holding an object without moving.",silver
4572b198-2c1c-4920-bcf0-95fcebe12261,427.0852109546634,#C C rinses the steel bowl,Cooking,Essential Operation,Core task involving high hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,427.9408509546634,#C C holds the steel wool,Cooking,Stationary,Holding an object with minimal movement.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,428.6820009546634,#C C picks the plate,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,429.9519009546634,#C C rinses the plate,Cooking,Essential Operation,Core task involving high hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,429.7305909546634,#C C places the steel bowl in the sink,Cooking,Object Transfer,"Logistics/Setup step, placing an object.",silver
4572b198-2c1c-4920-bcf0-95fcebe12261,430.3401109546634,#C C turns the sink tap,Cooking,Object Transfer,Logistics step involving manipulation of the tap.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,431.6510509546634,#C C picks the chopsticks,Cooking,Object Transfer,Logistics action of picking up an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,432.2077709546634,#C C rinses the chopsticks,Cooking,Essential Operation,Core task involving high hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,435.2538209546634,#C C picks the sponge,Cooking,Object Transfer,Logistics/Setup step.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,435.9474509546634,#C C scrubs the chopsticks,Cooking,Essential Operation,Core task involving high hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,436.7477109546634,#C C places the sponge in the sink,Cooking,Object Transfer,Logistics step involving the placement of an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,436.7477109546634,#C C rinses the chopsticks,Cooking,Essential Operation,"Core task involving manual activity with hands, specifically rinsing.",silver
4572b198-2c1c-4920-bcf0-95fcebe12261,438.5961409546634,#C C adjusts the tap knob,Cooking,Object Transfer,Logistics action involving manipulation of a knob.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,442.02032095466336,#C C closes the sink tap,Cooking,Object Transfer,Closing the tap is a logistics step involving a specific action with the hand.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,443.7435509546634,#C C places the chopsticks in the bowl,Cooking,Object Transfer,Logistics/Setup step involving placing an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,444.5113809546634,#C C opens the sink tap,Cooking,Object Transfer,Opening the sink tap is a logistics action involving a change in the state of the object (the tap).,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,444.5113809546634,#C C picks the plate,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,445.53995095466337,#C C rinses the plate,Cooking,Essential Operation,Core manual task involving high hand activity.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,451.1760009546634,#C C opens the cabinet,Cooking,Object Transfer,Logistics action involving opening a cabinet.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,453.1586409546634,#C C places the plate on the rack,Cooking,Object Transfer,Logistics step involving placing an object.,silver
4572b198-2c1c-4920-bcf0-95fcebe12261,454.8823309546634,#C C holds the steel bowl,Cooking,Stationary,"Low body/hand motion, holding an object without movement.",silver
4572b198-2c1c-4920-bcf0-95fcebe12261,455.3640209546634,#C C rinses the bowl,Cooking,Essential Operation,Core task involving high hand activity.,silver
