batch,video_uid,timestamp_sec,narration_text,scenario,action,reasoning
0,036ed5cd-297e-4592-97ee-0611adbc45d2,2.1416896000000003,#C C picks up a brush from a nylon on the floor with her right hand,Mechanical Repair,Object Transfer,Logistics action of picking up an object.
0,036ed5cd-297e-4592-97ee-0611adbc45d2,3.6569896,#C C dips the brush into a paint container,Mechanical Repair,Object Transfer,Logistics step involving the transfer of the brush into the paint container.
0,036ed5cd-297e-4592-97ee-0611adbc45d2,4.4727796,#C C hits the brush on the paint container,Mechanical Repair,Essential Operation,Core task involving manual action with high hand activity.
0,036ed5cd-297e-4592-97ee-0611adbc45d2,17.588039600000002,#C C takes the brush with her left hand,Mechanical Repair,Object Transfer,Logistics step of picking up the brush.
0,036ed5cd-297e-4592-97ee-0611adbc45d2,21.843549600000003,#C C collects the brush with her right hand,Mechanical Repair,Object Transfer,Logistics step of picking up the brush.
0,036ed5cd-297e-4592-97ee-0611adbc45d2,24.129119600000003,#C C paints the railing with the brush,Mechanical Repair,Essential Operation,"Core task involving manual work with the hand, high hand activity."
0,036ed5cd-297e-4592-97ee-0611adbc45d2,41.977599600000005,#C C dips the brush into the paint container,Mechanical Repair,Object Transfer,"Short bursts of hand activity, logistics step."
0,036ed5cd-297e-4592-97ee-0611adbc45d2,45.1065996,#C C hits the brush on the paint container,Mechanical Repair,Essential Operation,Core manual task involving hand activity.
0,036ed5cd-297e-4592-97ee-0611adbc45d2,51.398309600000005,#C C paints the railing with the brush,Mechanical Repair,Essential Operation,Core manual task involving high hand activity.
0,036ed5cd-297e-4592-97ee-0611adbc45d2,69.0341596,#C C dips the brush into the paint container,Mechanical Repair,Object Transfer,"The action involves picking up and transferring the brush, a logistics step."
0,036ed5cd-297e-4592-97ee-0611adbc45d2,70.3558496,#C C hits the brush on the paint container,Mechanical Repair,Essential Operation,Core manual task involving high hand activity.
0,036ed5cd-297e-4592-97ee-0611adbc45d2,82.8624596,#C C paints the railing with the brush,Mechanical Repair,Essential Operation,Core manual task involving high hand activity.
0,036ed5cd-297e-4592-97ee-0611adbc45d2,113.5206496,#C C holds the brush with her two hands,Mechanical Repair,Stationary,"Low body/hand motion, holding an object without moving."
0,036ed5cd-297e-4592-97ee-0611adbc45d2,112.2726696,#C C dips the brush into the paint container,Mechanical Repair,Object Transfer,Logistics step involving picking up the brush and dipping it into the container.
0,036ed5cd-297e-4592-97ee-0611adbc45d2,98.4713696,#C C looks at her left hand,Mechanical Repair,Stationary,"Low body/hand motion, likely inspecting or observing."
0,036ed5cd-297e-4592-97ee-0611adbc45d2,101.2101096,#C C continues painting the railing,Mechanical Repair,Essential Operation,Core task involving continuous hand activity.
