batch,video_uid,timestamp_sec,narration_text,scenario,action,reasoning
0,0dedbbb0-d1a4-4231-a980-2b43acc08cb2,0.1920286,#C C pulls a watering can on the kitchen counter,Gardening,Object Transfer,Moving an object from one location to another.
0,0dedbbb0-d1a4-4231-a980-2b43acc08cb2,1.5770286,#C C puts a plant thermometer in the soil,Gardening,Object Transfer,Logistics step involving placing an object in a specific location.
0,0dedbbb0-d1a4-4231-a980-2b43acc08cb2,2.6120286000000004,#C C holds the plant pot with the left hand,Gardening,Stationary,"Low body/hand motion, holding an object without movement."
0,0dedbbb0-d1a4-4231-a980-2b43acc08cb2,11.4889486,#C C holds the plant thermometer,Gardening,Stationary,"Low body/hand motion, holding an object without movement."
0,0dedbbb0-d1a4-4231-a980-2b43acc08cb2,14.8420286,#C C pulls the plant thermometer from the soil,Gardening,Object Transfer,Logistics step involving picking up an object from its location.
0,0dedbbb0-d1a4-4231-a980-2b43acc08cb2,16.418028600000003,#C C rotates the potted plant,Gardening,Search,Head and body rotation involved in visual search or monitoring.
0,0dedbbb0-d1a4-4231-a980-2b43acc08cb2,17.7470286,#C C puts the plant thermometer in the soil,Gardening,Object Transfer,Logistics step of placing an object (plant thermometer) in the soil.
0,0dedbbb0-d1a4-4231-a980-2b43acc08cb2,26.3720286,#C C holds the plant thermometer,Gardening,Stationary,"Low body/hand motion, holding an object without movement."
0,0dedbbb0-d1a4-4231-a980-2b43acc08cb2,31.4800286,#C C pulls the plant thermometer,Gardening,Stationary,"The action involves holding and possibly reading the thermometer, which is a low-energy activity."
0,0dedbbb0-d1a4-4231-a980-2b43acc08cb2,32.7180986,#C C shakes the plant thermometer,Gardening,Stationary,"The action involves holding and shaking a thermometer, which is a low energy activity."
0,0dedbbb0-d1a4-4231-a980-2b43acc08cb2,34.8150286,#C C rotates the potted plant,Gardening,Search,"Head and body rotation, likely for visual inspection or monitoring."
0,0dedbbb0-d1a4-4231-a980-2b43acc08cb2,35.7540286,#C C rubs left hand fingers together,Gardening,Stationary,"Low body/hand motion, likely a small gesture or thought process."
