batch,video_uid,timestamp_sec,narration_text,scenario,action,reasoning
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,327.6968809546634,#C C lifts up his right hand,Gardening,Stationary,The action describes a single hand movement without any significant body motion or continuous activity.
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,304.6405809546634,#C C holds the game console with both hands,Gardening,Stationary,"Low body/hand motion, holding an object."
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,329.1538809546634,#C C puts his right hand back on the game console,Gardening,Stationary,The action describes a hand movement that is likely to be minimal and does not involve significant body or hand motion.
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,334.37222095466336,#C C stretches out his left hand,Gardening,Stationary,The action describes a stretching motion which is generally low in energy and does not involve significant movement through space or interaction with objects.
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,335.6716509546634,#C C carries the cup with his left hand,Gardening,Object Transfer,Logistics step involving carrying an object.
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,336.4918909546634,#C C drinks from the cup with his left hand,Gardening,Stationary,Drinking is a relatively stationary action with minimal body movement.
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,338.7309009546634,#C C returns the cup to the table,Gardening,Object Transfer,Logistics step involving picking up and putting down an object.
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,347.7617009546634,#C C lifts up his left hand,Gardening,Stationary,"Low body/hand motion, single hand movement does not indicate a significant action."
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,384.7302709546634,#C C holds the game console with his left hand.,Gardening,Stationary,Holding an object with minimal movement.
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,384.1002709546634,#C C lifts up his right hand,Gardening,Stationary,"Low body/hand motion, likely a preparatory or static pose."
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,387.1843109546634,#C C puts his left hand back on the game console,Gardening,Stationary,"Low body/hand motion, likely involves holding or resting."
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,402.7034309546634,#C C operates the game console with both hands,Gardening,Essential Operation,Core manual task involving high hand activity.
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,464.4886009546634,#C C drops the game console on the table.,Gardening,Object Transfer,Refined via regex fallback
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,465.1989409546634,#C C lifts up his two hands,Gardening,Stationary,The action describes a static motion with hands being lifted but no significant movement or task being performed.
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,528.7271909546633,#C C operates the game console with both hands,Gardening,Essential Operation,Core task involving high hand activity.
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,567.9869709546634,#C C holds the game console with both hands,Gardening,Stationary,"Low body/hand motion, holding an object without movement."
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,613.2269009546634,#C C drops the game console on the table,Gardening,Object Transfer,Refined via regex fallback
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,612.8997809546634,#C C takes both hands from the game console,Gardening,Stationary,"The action describes a transition where hands are moved from a stationary position (console) to another, indicating low body and hand motion."
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,617.6022509546634,#C C stretches out his left hand,Gardening,Stationary,"Low body/hand motion, indicating a pause or idle action."
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,619.2807909546634,#C C drinks from the cup with his left hand,Gardening,Stationary,Drinking is a relatively stationary action with minimal body movement.
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,622.4252909546634,#C C returns the cup with his left hand.,Gardening,Object Transfer,"The action involves picking up and placing down an object, which is a logistics step."
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,655.7300009546634,#C C stretches out his right hand,Gardening,Stationary,The action describes a stretching motion which is generally low in energy and does not involve significant movement through space or active manipulation of objects.
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,656.0631209546634,#C C holds his mobile phone with his right hand,Gardening,Stationary,Holding an object with minimal movement.
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,657.2238809546634,#C C puts on the screen of his mobile phone with his right hand,Gardening,Stationary,"Low body/hand motion, likely involves minimal movement."
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,658.2875309546635,#C C drops his mobile phone on the table,Gardening,Object Transfer,Refined via regex fallback
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,658.6333309546634,#C C takes back his right hand.,Gardening,Stationary,The action describes a hand movement that is likely minimal and does not involve any significant motion or task.
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,665.9841009546634,#C C lifts up his right hand,Gardening,Stationary,The action described is a simple lifting of the hand without any significant movement or task being performed.
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,667.8203509546634,#C C holds the game console with his left hand,Gardening,Stationary,Holding an object without any significant movement.
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,668.7983609546634,#C C drops his right hand.,Gardening,Stationary,"[CtxFixed] The action of dropping the right hand does not involve any significant movement or interaction with objects, and it appears to be a continuation of the previous stationary actions."
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,676.7654309546634,#C C operates the game console with both hands,Gardening,Essential Operation,Core task involving high hand activity.
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,771.2353609546634,#C C lifts up both hands.,Gardening,Stationary,"The action describes lifting hands, which is a low-energy movement."
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,773.6874809546634,#C C drops his right hand.,Gardening,Stationary,"[CtxFixed] The action of dropping the right hand does not involve any significant movement or interaction with objects, and it appears to be a minor, non-deliberate movement that could be considered a stationary action."
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,775.2151509546634,#C C stretches' out his left hand,Gardening,Stationary,"Low body/hand motion, indicating a pause or idle action."
0,b1ac8c7e-6b29-4196-a28b-e4e21b872ede,775.8356509546634,#C C carries the cup from the table with his left hand,Gardening,Object Transfer,Logistics of moving an object from one place to another.
