video_uid,timestamp_sec,narration_text,scenario,action,reasoning,status
94e8fb8f-ecf5-409c-940b-a5c966ea2837,2.1375896,#C C watch video from the phone,Cooking,Stationary,"Low body/hand motion, primarily visual engagement.",silver
94e8fb8f-ecf5-409c-940b-a5c966ea2837,26.589309600000004,#CC scrolls phone,Cooking,Stationary,"Low body/hand motion, focused activity.",silver
94e8fb8f-ecf5-409c-940b-a5c966ea2837,65.8843096,#C C reads the phone,Cooking,Search,"Head movement (visual inspection), passive hands.",silver
94e8fb8f-ecf5-409c-940b-a5c966ea2837,84.1138596,#C C sighs,Cooking,Stationary,"Low body/hand motion, indicating a pause or idle state.",silver
94e8fb8f-ecf5-409c-940b-a5c966ea2837,93.7919796,#C C reads the book,Cooking,Stationary,"Low body/hand motion, focused activity.",silver
94e8fb8f-ecf5-409c-940b-a5c966ea2837,198.9289896,#CC raises hands,Cooking,Stationary,Raising hands does not involve significant body or hand motion beyond a brief movement.,silver
94e8fb8f-ecf5-409c-940b-a5c966ea2837,212.1682296,#C C talks to #unsure,Cooking,Stationary,Low body/hand motion.,silver
94e8fb8f-ecf5-409c-940b-a5c966ea2837,256.0741896,#C C sighs,Cooking,Stationary,"Low body/hand motion, indicative of a pause or idle moment.",silver
94e8fb8f-ecf5-409c-940b-a5c966ea2837,270.3369096,#C C reads the book,Cooking,Stationary,"Low body/hand motion, reading involves minimal physical activity.",silver
94e8fb8f-ecf5-409c-940b-a5c966ea2837,301.4989209546634,#C C touches the book,Cooking,Stationary,"Low body/hand motion, likely a brief touch with minimal movement.",silver
94e8fb8f-ecf5-409c-940b-a5c966ea2837,347.2222509546634,#CC sighs,Cooking,Stationary,"Low body/hand motion, indicating a pause or idle state.",silver
94e8fb8f-ecf5-409c-940b-a5c966ea2837,356.8162509546634,#C C reads the book,Cooking,Stationary,"Low body/hand motion, reading involves minimal physical activity.",silver
94e8fb8f-ecf5-409c-940b-a5c966ea2837,459.5307109546634,#C C inhales,Cooking,Stationary,"Low body/hand motion, inhaling is a passive action.",silver
94e8fb8f-ecf5-409c-940b-a5c966ea2837,509.8992209546634,#C C inhales,Cooking,Stationary,"Low body/hand motion, inhaling is a passive action.",silver
94e8fb8f-ecf5-409c-940b-a5c966ea2837,482.5645709546634,#C C reads the book,Cooking,Stationary,"Low body/hand motion, focused activity.",silver
94e8fb8f-ecf5-409c-940b-a5c966ea2837,525.9548409546634,#C C holds the book,Cooking,Stationary,"Low body/hand motion, holding an object without movement.",silver
94e8fb8f-ecf5-409c-940b-a5c966ea2837,676.9557109546635,#c c looks around,Cooking,Search,"Head movement (visual search), hands mostly still.",silver
94e8fb8f-ecf5-409c-940b-a5c966ea2837,682.2400309546634,#c c reads the book,Cooking,Stationary,"Low body/hand motion, reading involves minimal movement.",silver
94e8fb8f-ecf5-409c-940b-a5c966ea2837,698.5531709546634,#c c looks at the ceiling,Cooking,Stationary,Looking at the ceiling involves minimal body movement.,silver
94e8fb8f-ecf5-409c-940b-a5c966ea2837,702.1664609546634,#c c reads the book,Cooking,Stationary,"Low body/hand motion, reading activity.",silver
94e8fb8f-ecf5-409c-940b-a5c966ea2837,1415.9804886,#C C reads a books,Cooking,Stationary,"Low body/hand motion, reading activity.",silver
94e8fb8f-ecf5-409c-940b-a5c966ea2837,1421.2059786,#C C adjusts his body on a couch,Cooking,Stationary,"Low body/hand motion, adjusting position while sitting.",silver
94e8fb8f-ecf5-409c-940b-a5c966ea2837,1429.8594586,#C C picks his phone with right hand,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
94e8fb8f-ecf5-409c-940b-a5c966ea2837,1430.2191286,#C C stares on his phone,Cooking,Stationary,"Low body/hand motion, focused attention on the phone.",silver
94e8fb8f-ecf5-409c-940b-a5c966ea2837,1430.5116142879967,# C C holds phone,Cooking,Stationary,"Low body/hand motion, holding an object.",silver
94e8fb8f-ecf5-409c-940b-a5c966ea2837,1435.0548342879968,# C C presses phone,Cooking,Stationary,"Low body/hand motion, likely involves pressing buttons on a phone.",silver
94e8fb8f-ecf5-409c-940b-a5c966ea2837,1440.3867042879967,# C C closes book,Cooking,Stationary,Closing a book is a low-energy action with minimal body movement.,silver
94e8fb8f-ecf5-409c-940b-a5c966ea2837,1443.1668542879968,# C C puts book on table,Cooking,Object Transfer,Logistics step involving placing an object.,silver
94e8fb8f-ecf5-409c-940b-a5c966ea2837,1448.1893442879966,# C C walks around,Cooking,Locomotion,Body moving through space.,silver
94e8fb8f-ecf5-409c-940b-a5c966ea2837,1453.1881042879966,# C C picks machine,Cooking,Object Transfer,"Logistics step, picking up an object.",silver
94e8fb8f-ecf5-409c-940b-a5c966ea2837,1463.9339642879968,# C C walks around,Cooking,Locomotion,"Body moving through space, indicative of walking.",silver
