video_uid,timestamp_sec,narration_text,scenario,action,reasoning,status
f3a0487b-70f6-4446-99a0-16dc78019ee7,0.0,#C C adjusts the camera,Cooking,Stationary,Adjusting the camera typically involves minimal movement and is often a static activity.,silver
f3a0487b-70f6-4446-99a0-16dc78019ee7,2.49545,#C C moves around,Cooking,Locomotion,"Body moving through space, likely involves walking or moving around.",silver
f3a0487b-70f6-4446-99a0-16dc78019ee7,5.58764,#C C opens the fridge,Cooking,Object Transfer,Logistics step involving opening a drawer or cabinet.,silver
f3a0487b-70f6-4446-99a0-16dc78019ee7,9.00381,#C C picks bags of vegetables,Cooking,Object Transfer,Logistics step involving picking up objects.,silver
f3a0487b-70f6-4446-99a0-16dc78019ee7,14.22649,#C C picks broccoli,Cooking,Object Transfer,Logistics step of picking an object.,silver
f3a0487b-70f6-4446-99a0-16dc78019ee7,15.09864,#C C moves around,Cooking,Locomotion,"Movement through space, likely involves walking or moving around.",silver
f3a0487b-70f6-4446-99a0-16dc78019ee7,19.08255,#C C puts the bags of vegetables on the counter,Cooking,Object Transfer,"Logistics/Setup step, short bursts of hand acceleration.",silver
f3a0487b-70f6-4446-99a0-16dc78019ee7,20.09888,#C C picks a kitchen towel,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
f3a0487b-70f6-4446-99a0-16dc78019ee7,20.55424,#C C puts the towel on the counter,Cooking,Object Transfer,Logistics step involving moving the towel to a new location.,silver
f3a0487b-70f6-4446-99a0-16dc78019ee7,21.39798,#C C puts the broccoli on the counter,Cooking,Object Transfer,Logistics/Setup step involving picking up and placing an object.,silver
f3a0487b-70f6-4446-99a0-16dc78019ee7,22.13598,#C C picks a kitchen towel,Cooking,Object Transfer,"Logistics/Setup step, picking up an object.",silver
f3a0487b-70f6-4446-99a0-16dc78019ee7,23.64179,#C C hangs the towel on the oven handle,Cooking,Object Transfer,Logistics step involving moving and placing an object.,silver
f3a0487b-70f6-4446-99a0-16dc78019ee7,24.79316,#C C moves around,Cooking,Locomotion,"Body moving through space, likely involves walking or moving around.",silver
f3a0487b-70f6-4446-99a0-16dc78019ee7,27.65923,#C C picks broccoli,Cooking,Object Transfer,Logistics step involving picking an object.,silver
f3a0487b-70f6-4446-99a0-16dc78019ee7,28.23485,#C C picks packed vegetables,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
f3a0487b-70f6-4446-99a0-16dc78019ee7,29.77629,#C C puts a packed vegetables in the fridge,Cooking,Object Transfer,Logistics step involving picking up and putting down an object.,silver
f3a0487b-70f6-4446-99a0-16dc78019ee7,33.94041,#C C closes the fridge,Cooking,Object Transfer,Closing the fridge is a logistics step involving interaction with an object.,silver
f3a0487b-70f6-4446-99a0-16dc78019ee7,34.62041,#C C moves around,Cooking,Locomotion,Body moving through space.,silver
f3a0487b-70f6-4446-99a0-16dc78019ee7,36.51004,#C C puts the snow peas down,Cooking,Object Transfer,"Logistics step, short burst of hand activity.",silver
f3a0487b-70f6-4446-99a0-16dc78019ee7,37.46086,#C C picks broccoli,Cooking,Object Transfer,"Logistics step, picking up an item.",silver
f3a0487b-70f6-4446-99a0-16dc78019ee7,38.78654,#C C puts broccoli down,Cooking,Object Transfer,"Logistics step, putting an object down.",silver
f3a0487b-70f6-4446-99a0-16dc78019ee7,39.39516,#C C moves around,Cooking,Locomotion,"Movement through space, likely involves walking or moving body.",silver
f3a0487b-70f6-4446-99a0-16dc78019ee7,41.00154,#C C puts the broccoli in the sink,Cooking,Object Transfer,Logistics step involving picking up and placing an object.,silver
f3a0487b-70f6-4446-99a0-16dc78019ee7,41.81471,#C C moves around,Cooking,Locomotion,"Movement through space, likely involves walking or moving.",silver
f3a0487b-70f6-4446-99a0-16dc78019ee7,43.02552,#C C opens the bag of vegetables,Cooking,Object Transfer,Logistics step involving opening a container.,silver
f3a0487b-70f6-4446-99a0-16dc78019ee7,46.13733,#C C picks zucchinis,Cooking,Object Transfer,"Logistics step, picking up an object.",silver
f3a0487b-70f6-4446-99a0-16dc78019ee7,49.37322,#C C picks an onion,Cooking,Object Transfer,Logistics/Setup step involving picking up an object.,silver
f3a0487b-70f6-4446-99a0-16dc78019ee7,50.03691,#C C moves around,Cooking,Locomotion,"Body moving through space, likely involves walking or moving around the kitchen.",silver
f3a0487b-70f6-4446-99a0-16dc78019ee7,51.312,#C C puts onion in the sink,Cooking,Object Transfer,Logistics step involving moving an object.,silver
