batch,video_uid,timestamp_sec,narration_text,scenario,action,reasoning
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,0.0070286,#C C stares at man Y,Playing Instrument,Stationary,"Low body/hand motion, likely focused gaze."
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,7.9379986,#C C holds a carton,Playing Instrument,Stationary,Holding an object with minimal movement.
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,9.5487286,#C C picks scrabble board,Playing Instrument,Object Transfer,Logistics/Setup step involving picking up an object.
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,11.0370286,#C C places the scrabble board on the table,Playing Instrument,Object Transfer,Logistics step of placing an object on a surface.
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,12.0296386,#C C flips the scrabble board,Playing Instrument,Object Transfer,"[CtxFixed] The action of flipping the scrabble board involves moving and manipulating an object, which fits the definition of Object Transfer."
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,14.6213386,#C C interacts with man Y,Playing Instrument,Stationary,Interacting with another person typically involves low body/hand motion.
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,20.3999586,#C C spreads scrabble tiles in the box,Playing Instrument,Object Transfer,Logistics of moving and arranging objects.
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,23.9530186,#C C turns the scrabble tiles,Playing Instrument,Stationary,"The action described does not involve significant movement, suggesting a low-energy state such as arranging or inspecting objects."
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,67.1697986,#C C rotates the box with the scrabble tiles,Playing Instrument,Object Transfer,"The action involves moving an object, which is a logistics step."
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,70.1743086,#C C picks scrabble tile holder,Playing Instrument,Object Transfer,Logistics/Setup step involving picking up an object.
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,71.2246086,#C C passes the scrabble tile holder to the left hand,Playing Instrument,Object Transfer,"Passing an object, short bursts of hand acceleration."
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,72.0054286,#C C places the scrabble tile holder on the table,Playing Instrument,Object Transfer,"Logistics step, placing an object on a surface."
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,73.2981486,#C C picks scrabble tile holder,Playing Instrument,Object Transfer,"Logistics/Setup step, picking up an object."
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,74.0692886,#C C places the scrabble tile holder on the table,Playing Instrument,Object Transfer,"Logistics step, placing an object."
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,75.0795786,#C C interacts with man Y,Playing Instrument,Essential Operation,Core task involving high hand activity.
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,76.5758286,#C C picks scrabble tile,Playing Instrument,Object Transfer,Logistics/Setup step (picking up an object).
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,77.6267086,#C C stares at the scrabble tile,Playing Instrument,Stationary,"Low body/hand motion, focused gaze."
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,78.7645586,#C C holds the scrabble tile,Playing Instrument,Stationary,The action of holding a scrabble tile indicates a static position with minimal movement.
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,83.2549186,#C C places the scrabble tile on the scrabble board,Playing Instrument,Object Transfer,"Logistics step of placing the tile, short burst of hand activity."
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,83.9191386,#C C picks scrabble tile,Playing Instrument,Object Transfer,Logistics/Setup step.
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,86.39937859999999,#C C stares at the scrabble tile,Playing Instrument,Stationary,"Low body/hand motion, focused attention."
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,86.9373686,#C C interacts with man Y,Playing Instrument,Stationary,Interacting with someone typically involves low body and hand motion.
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,89.0341086,#C C puts the scrabble tile in the box,Playing Instrument,Object Transfer,"Logistics/Setup step, putting an object in a container."
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,91.4848886,#C C interacts with man Y,Playing Instrument,Stationary,Interacting with another person typically involves low body and hand motion.
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,95.3022986,#C C places scrabble tile on the scrabble board,Playing Instrument,Object Transfer,"Logistics/Setup step, placing object."
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,95.7019786,#C C moves scrabble tiles,Playing Instrument,Object Transfer,"Moving objects (scrabble tiles), short bursts of hand activity."
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,96.9580286,#C C stares at man Y,Playing Instrument,Stationary,"Low body/hand motion, focused attention without movement."
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,98.8542086,#C C interacts with man Y,Playing Instrument,Stationary,"The action does not specify any movement or task, implying a stationary or low-energy interaction."
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,103.5648786,#C C picks scrabble tile,Playing Instrument,Object Transfer,Logistics/Setup step (picking up an object).
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,104.0698986,#C C stares at the scrabble tile,Playing Instrument,Stationary,"Low body/hand motion, likely focused with minimal movement."
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,104.5216586,#C C places the scrabble tile on the table,Playing Instrument,Object Transfer,"Logistics step, placing an object."
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,106.2092186,#C C picks scrabble tile,Playing Instrument,Object Transfer,Logistics step of picking up an object.
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,107.4825486,#C C stares at the scrabble tile,Playing Instrument,Stationary,"Low body/hand motion, focused gaze."
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,109.4668486,#C C places the scrabble tile on the table,Playing Instrument,Object Transfer,"Action involves placing an object, indicating a logistics step."
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,110.6930886,#C C stares at man Y,Playing Instrument,Stationary,"Low body/hand motion, visual focus without movement."
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,111.9272186,#C C picks scrabble tile,Playing Instrument,Object Transfer,Logistics/Setup step (picking up an object).
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,113.3854286,#C C stares at the scrabble tile,Playing Instrument,Stationary,"Low body/hand motion, likely focused and still."
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,114.3362786,#C C shows the scrabble tile to man Y,Playing Instrument,Stationary,"Low body/hand motion, showing an object without movement."
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,115.2014686,#C C places the scrabble tile on the table,Playing Instrument,Object Transfer,Logistics step involving placing an object.
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,116.1404786,#C C picks the scrabble tiles on the table,Playing Instrument,Object Transfer,"Logistics of picking up objects, short bursts of hand acceleration."
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,119.3983886,#C C puts the scrabble tiles in the box,Playing Instrument,Object Transfer,Logistics/Setup step involving placing items.
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,120.5602986,#C C picks the scrabble tiles on the table,Playing Instrument,Object Transfer,Logistics step of picking up objects.
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,121.4131386,#C C puts the scrabble tiles in the box,Playing Instrument,Object Transfer,"Logistics/Setup step, short bursts of hand acceleration."
0,4e554e70-de52-4f24-b5f0-78012b57c5c2,123.9184786,#C C looks around,Playing Instrument,Search,"Head movement (visual search), passive hands."
