video_uid,timestamp_sec,narration_text,scenario,action,reasoning,status,batch,round
02cf2e59-26be-43be-a4d9-7d6cbcfd0898,420.9375187026078,#O person X holds cards,Playing Instrument,Stationary,"The action of holding cards is a low-energy, static activity.",silver,4,r001
02cf2e59-26be-43be-a4d9-7d6cbcfd0898,423.5282787026079,#O person X places card down,Playing Instrument,Object Transfer,"The action involves picking up or putting down an object, which is a logistics step.",silver,4,r001
02cf2e59-26be-43be-a4d9-7d6cbcfd0898,628.3011821677084,#C C aligns card,Playing Instrument,Stationary,"The action 'aligns card' suggests a precise, controlled movement with minimal body motion.",silver,4,r001
02cf2e59-26be-43be-a4d9-7d6cbcfd0898,1054.6285827880183,#O person X stares at cards,Playing Instrument,Stationary,"Low body/hand motion, visual focus without movement.",silver,4,r001
02cf2e59-26be-43be-a4d9-7d6cbcfd0898,1162.3458452666666,#C C holds cards together,Playing Instrument,Stationary,"Holding cards together involves minimal movement, indicating a stationary action.",silver,4,r001
02cf2e59-26be-43be-a4d9-7d6cbcfd0898,1525.7344653695222,#O Woman Y puts card down,Playing Instrument,Stationary,"The action 'puts card down' suggests a brief, low-energy movement.",silver,4,r001
02cf2e59-26be-43be-a4d9-7d6cbcfd0898,1551.836115369522,#O Woman Y puts card down,Playing Instrument,Object Transfer,"Action involves putting something down, which is a logistics step.",silver,4,r001
02cf2e59-26be-43be-a4d9-7d6cbcfd0898,2976.8998055010416,#O woman Y shuffles cards,Playing Instrument,Stationary,"The action of shuffling cards is a manual task but does not involve significant body movement, thus classified as Stationary.",silver,4,r001
02cf2e59-26be-43be-a4d9-7d6cbcfd0898,3359.8645586,#C C lifts card,Playing Instrument,Object Transfer,"The action involves picking up an object, which is a logistics step.",silver,4,r001
0971527a-6cd3-4c82-9d94-09b3565f4505,383.3828809546634,#C C adjusts the cut-out with his left hand,Carpentry,Essential Operation,Core task involving high hand activity to adjust the cut-out.,silver,4,r001
0971527a-6cd3-4c82-9d94-09b3565f4505,409.2407309546634,#C C ties the cable tie around wires with both hands,Carpentry,Essential Operation,Core manual task involving high hand activity.,silver,4,r001
0971527a-6cd3-4c82-9d94-09b3565f4505,493.8847209546634,#C C puts the scissors back in his pocket with his right hand,Carpentry,Object Transfer,Logistics step involving placing an object.,silver,4,r001
0971527a-6cd3-4c82-9d94-09b3565f4505,575.5141276213301,#C C arranges wires with both hands,Carpentry,Essential Operation,Core manual task involving high hand activity.,silver,4,r001
0971527a-6cd3-4c82-9d94-09b3565f4505,593.20385762133,#C C holds a loose wire with his left hand,Carpentry,Stationary,"Low body/hand motion, holding an object.",silver,4,r001
0a90656a-eac8-49fa-a253-78f5626c8d5c,66.50942959999999,#C C lifts #unsure,Cleaning,Locomotion,The action of lifting an object suggests movement and could involve standing up or moving the body through space.,silver,4,r001
0a90656a-eac8-49fa-a253-78f5626c8d5c,221.1639696,#C C holds the oven tray,Cleaning,Stationary,"Low body/hand motion, holding an object.",silver,4,r001
0a90656a-eac8-49fa-a253-78f5626c8d5c,251.2472696,#C C picks felt cloth from the countertop,Cleaning,Object Transfer,Logistics step involving picking up an object.,silver,4,r001
0a90656a-eac8-49fa-a253-78f5626c8d5c,352.1556409546634,#C C pushes the weighing scale,Cleaning,Stationary,"The action involves pushing a weighing scale, which is likely a brief and localized movement, indicating low overall body and hand motion.",silver,4,r001
0a90656a-eac8-49fa-a253-78f5626c8d5c,357.2777609546634,#C C wipes the weighing scale,Cleaning,Essential Operation,Core task involving high hand activity.,silver,4,r001
0c8c2f4b-a006-47ca-8826-133af1dfb632,32.04531,#C C wipes the top of the car with the rag,Cleaning,Essential Operation,Core task involving high hand activity.,silver,4,r001
