video_uid,timestamp_sec,narration_text,scenario,action,reasoning,status,batch,round
04ac4c40-22fd-42aa-a7f0-ee597ffb7058,337.7214809546634,#C C closes tap,Cooking,Stationary,Closing a tap is a brief action with minimal body motion.,silver,3,r001
04ac4c40-22fd-42aa-a7f0-ee597ffb7058,1176.2305909546635,#C C looks around,Cooking,Search,Visual search or monitoring involves head movement and observation.,silver,3,r001
04ac4c40-22fd-42aa-a7f0-ee597ffb7058,2257.6889009546635,#C C throws egg shells in to the dustbin,Cooking,Object Transfer,Logistics step involving picking up and disposing of egg shells.,silver,3,r001
04ac4c40-22fd-42aa-a7f0-ee597ffb7058,3524.931480954664,#C C holds the phone,Cooking,Stationary,"Low body/hand motion, holding position.",silver,3,r001
055f3cf1-1133-4260-b5a0-31e7ca1726a1,396.2258660916505,#C C moves around the kitchen,Cooking,Locomotion,"Body moving through space, indicative of walking or moving around.",silver,3,r001
055f3cf1-1133-4260-b5a0-31e7ca1726a1,512.4828660916505,#C C eats bread,Cooking,Stationary,"Low body/hand motion, eating is a relatively stationary activity.",silver,3,r001
055f3cf1-1133-4260-b5a0-31e7ca1726a1,617.4381276136719,#C C cleans a spoon,Cooking,Essential Operation,Core manual task involving high hand activity.,silver,3,r001
055f3cf1-1133-4260-b5a0-31e7ca1726a1,1319.7035412757812,#C C closes the bin,Cooking,Object Transfer,Logistics action involving the closure of a bin.,silver,3,r001
0afbf08b-09a5-4c15-a85a-5ebf88866443,406.01219,#C C rides a bike,Mechanical Repair,Locomotion,"Body moving through space, high body acceleration.",silver,3,r001
0e529f0a-6432-4f2c-bbd1-e495c019f600,609.5755924964844,#C C irons the shirt.,Cleaning,Essential Operation,Core manual task involving high hand activity.,silver,3,r001
119cd9ee-665e-477c-a271-80c06e78e3d4,230.2547096,#C C adjusts the wood on the slider,Carpentry,Object Transfer,Logistics step involving the placement or adjustment of an object.,silver,3,r001
119cd9ee-665e-477c-a271-80c06e78e3d4,236.7743196,#C C adjusts the wood on the slider,Carpentry,Stationary,Adjusting the position of the wood likely involves minimal body movement and could be done with small hand adjustments.,silver,3,r001
119cd9ee-665e-477c-a271-80c06e78e3d4,241.2297396,#C C cuts off a piece of the wood with the saw,Carpentry,Essential Operation,Core task involving high hand activity and focused manual operation.,silver,3,r001
119cd9ee-665e-477c-a271-80c06e78e3d4,357.7623909546634,#C C cuts a piece of the wood with the saw,Carpentry,Essential Operation,Core task involving high hand activity.,silver,3,r001
119cd9ee-665e-477c-a271-80c06e78e3d4,462.5154009546634,#C C adjusts the wood on the slider,Carpentry,Essential Operation,"Adjusting the wood on the slider involves precise manual task, high hand activity.",silver,3,r001
1321d3aa-dc41-4bee-94a7-559536885b88,391.1396709546634,#C C walks to the other rear car door.,Cleaning,Locomotion,"Body moving through space, involves walking.",silver,3,r001
150c104e-f9bd-4a81-b885-0e8b9968cada,848.5496170518638,#C C places the knife on the whetstone,Mechanical Repair,Object Transfer,"Logistics step, placing an object.",silver,3,r001
150c104e-f9bd-4a81-b885-0e8b9968cada,974.3443470518638,#C C sharpens the knife with the whetstone,Mechanical Repair,Essential Operation,Core task involving high hand activity.,silver,3,r001
150c104e-f9bd-4a81-b885-0e8b9968cada,1900.308345032292,#C C turns the knife.,Mechanical Repair,Essential Operation,Core manual task involving high hand activity.,silver,3,r001
150c104e-f9bd-4a81-b885-0e8b9968cada,1933.156435032292,#C C looks on the knife edges.,Mechanical Repair,Search,"Head movement (visual inspection), hands mostly still.",silver,3,r001
150c104e-f9bd-4a81-b885-0e8b9968cada,2130.012265032292,#C C sharpens the knife.,Mechanical Repair,Essential Operation,Core manual task with high hand activity.,silver,3,r001
150c104e-f9bd-4a81-b885-0e8b9968cada,2334.8849327775088,#C C wipes the knife.,Mechanical Repair,Essential Operation,Core task involving high hand activity.,silver,3,r001
18a2984e-01d1-41f1-8c0e-2b314c8c233f,334.56623836562505,#C C puts the iron box on the iron board hanger,Cleaning,Object Transfer,Logistics step involving picking up and placing an object.,silver,3,r001
18a2984e-01d1-41f1-8c0e-2b314c8c233f,544.789668365625,#C C irons cloth with an iron box,Cleaning,Essential Operation,Core manual task involving repetitive hand movements.,silver,3,r001
18a2984e-01d1-41f1-8c0e-2b314c8c233f,641.0900421875776,#C C regulates the iron box,Cleaning,Stationary,Adjusting or regulating an appliance typically involves minimal body movement.,silver,3,r001
18a2984e-01d1-41f1-8c0e-2b314c8c233f,1140.154998905176,#C C adjusts cloth on the iron board,Cleaning,Stationary,"Low body/hand motion, fine adjustment.",silver,3,r001
1a79947a-72c2-4186-b2b2-463640e00b23,235.6393896,#C C moves his right hand,Desk Work,Stationary,"Low body/hand motion, likely minor hand movement during stationary activity.",silver,3,r001
1a79947a-72c2-4186-b2b2-463640e00b23,339.0364009546634,#C C looks at the monitor,Desk Work,Stationary,"Low body/hand motion, focused attention.",silver,3,r001
1a79947a-72c2-4186-b2b2-463640e00b23,404.3024109546634,#C C writes on the book,Desk Work,Essential Operation,Core manual task involving high hand activity.,silver,3,r001
1a79947a-72c2-4186-b2b2-463640e00b23,522.2006009546634,#C C looks at the monitor,Desk Work,Search,"Head movement (visual search), hands mostly still.",silver,3,r001
1a79947a-72c2-4186-b2b2-463640e00b23,1027.9182109546634,#C C clicks the mouse,Desk Work,Stationary,"Low body/hand motion, mostly finger movement.",silver,3,r001
1a79947a-72c2-4186-b2b2-463640e00b23,2411.7285609546634,#c c talks,Desk Work,Stationary,"Low body/hand motion, typically involves speaking without significant movement.",silver,3,r001
1bfe5ac2-cbf8-4364-8a30-60d97dd395df,93.1289996,#C C mops the floor with the napkin.,Cleaning,Essential Operation,Core manual task involving high hand activity.,silver,3,r001
1bfe5ac2-cbf8-4364-8a30-60d97dd395df,317.2199509546634,#C C mops the floor with the napkin with her right hand.,Cleaning,Essential Operation,Core manual task involving high hand activity.,silver,3,r001
254e8485-eb84-461a-aed5-a71716588fad,591.6899019333334,#C C puts peels in bag,Cooking,Object Transfer,Logistics step of putting peels into a bag.,silver,3,r001
254e8485-eb84-461a-aed5-a71716588fad,672.6089619333334,#C C removes onion peels,Cooking,Essential Operation,Core task involving manual dexterity and hand activity.,silver,3,r001
254e8485-eb84-461a-aed5-a71716588fad,852.5982419333334,#C C holds the knife,Cooking,Stationary,"Low body/hand motion, holding object without movement.",silver,3,r001
254e8485-eb84-461a-aed5-a71716588fad,866.7100219333335,#C C moves hand up,Cooking,Stationary,"Low body/hand motion, likely indicating a minor movement or adjustment.",silver,3,r001
254e8485-eb84-461a-aed5-a71716588fad,936.9456819333334,#C C walks,Cooking,Locomotion,"Body moving through space, indicative of walking.",silver,3,r001
254e8485-eb84-461a-aed5-a71716588fad,944.0230719333334,#C C holds the door,Cooking,Stationary,"Low body/hand motion, holding position.",silver,3,r001
254e8485-eb84-461a-aed5-a71716588fad,963.9919319333334,#C C turns around,Cooking,Locomotion,Turning involves body movement through space.,silver,3,r001
254e8485-eb84-461a-aed5-a71716588fad,998.9211319333334,#C C stirs food,Cooking,Essential Operation,Core task involving high hand activity.,silver,3,r001
256701cd-3317-47ee-b6e3-439dc2ad2bd5,411.5343552666666,#C C walks around the room,Cleaning,Locomotion,"Body moving through space, indicative of walking.",silver,3,r001
2991b1be-bdae-4fa4-a529-ac46cefb4487,437.2122509546634,#C C bends,Mechanical Repair,Locomotion,"Body movement, changing posture (bending).",silver,3,r001
2991b1be-bdae-4fa4-a529-ac46cefb4487,698.7470176213301,#C C paints the wood.,Mechanical Repair,Essential Operation,Core task involving high hand activity.,silver,3,r001
2ba0becb-58c2-43a1-97bb-7e153a34eb47,384.1247243701523,#C C walks in the kitchen,Cooking,Locomotion,Body moving through space (walking).,silver,3,r001
325e1bf8-56d8-414b-9e78-07eebe04c13e,1625.1902626666665,#C C reads the book,Desk Work,Search,"Visual search or monitoring (reading), head movement involved, hands mostly still.",silver,3,r001
325e1bf8-56d8-414b-9e78-07eebe04c13e,3537.340422666666,#c c reads the book in the mosque,Desk Work,Stationary,"Reading involves minimal body movement, primarily focused on visual engagement.",silver,3,r001
3cbd049a-0d7d-410b-b9b0-761efb801c8a,988.78871762133,#O man D drops a card on the table.,Playing Instrument,Object Transfer,"The action involves placing a card on the table, which is a logistics step.",silver,3,r001
3cbd049a-0d7d-410b-b9b0-761efb801c8a,1069.09878762133,#O man B drops a card on the table.,Playing Instrument,Object Transfer,Refined via regex fallback,silver,3,r001
3cbd049a-0d7d-410b-b9b0-761efb801c8a,1584.6769209546633,#O man A drops cards on the table.,Playing Instrument,Object Transfer,Refined via regex fallback,silver,3,r001
3cbd049a-0d7d-410b-b9b0-761efb801c8a,1609.7190909546634,#C C picks up a card.,Playing Instrument,Object Transfer,"The action involves picking up an object, which is a logistics step.",silver,3,r001
3cbd049a-0d7d-410b-b9b0-761efb801c8a,1726.6074909546633,#O The man A picks a card on the table with his right hand.,Playing Instrument,Object Transfer,"The action involves picking up an object (card), which is a logistics step.",silver,3,r001
3fc288bb-1082-4ec5-96a7-75bb61144b11,281.97178,#C C adjusts the wheel,Mechanical Repair,Essential Operation,Core manual task involving fine hand movements and adjustments.,silver,3,r001
3fc60e72-91ad-4320-bd07-1cf753f4a5f1,91.4289986,#C C walks on the road,Walking Outdoors,Locomotion,"Body moving through space, high body acceleration.",silver,3,r001
3fc60e72-91ad-4320-bd07-1cf753f4a5f1,645.1557915043963,#C C walks along the road,Walking Outdoors,Locomotion,"Body moving through space, involves walking.",silver,3,r001
3fc60e72-91ad-4320-bd07-1cf753f4a5f1,2142.3952350353065,#C C captures photo with the phone,Walking Outdoors,Stationary,Capturing a photo is a brief action that does not involve significant body or hand motion.,silver,3,r001
3fc60e72-91ad-4320-bd07-1cf753f4a5f1,2289.8183095863283,#C C walks around,Walking Outdoors,Locomotion,"Body moving through space, high body acceleration.",silver,3,r001
40eeac41-9ec3-4960-b0b3-77074a6ad5b3,216.7895,#C C looks at the wall,Carpentry,Search,"Head movement (visual inspection), hands mostly still.",silver,3,r001
40eeac41-9ec3-4960-b0b3-77074a6ad5b3,274.9293,#C C moves the paint brush,Carpentry,Essential Operation,Core task involving repetitive hand movement with a tool.,silver,3,r001
40eeac41-9ec3-4960-b0b3-77074a6ad5b3,305.77673,#C C paints the wood with a paint brush,Carpentry,Essential Operation,Core task involving repetitive hand movements.,silver,3,r001
40eeac41-9ec3-4960-b0b3-77074a6ad5b3,536.9494146666667,#C C paints the wall with a roller brush,Carpentry,Essential Operation,"Core manual task, high hand activity.",silver,3,r001
40eeac41-9ec3-4960-b0b3-77074a6ad5b3,548.4577546666667,#C C moves the roller brush,Carpentry,Essential Operation,"Core task involving manual application, high hand activity.",silver,3,r001
