video_uid,timestamp_sec,narration_text,scenario,action,reasoning,status,batch,round
067b03df-107c-4b7c-9dcc-eb9cdf56d682,875.7727033333333,#C C puts bicycle aside,Mechanical Repair,Locomotion,"Body movement to place the bicycle, likely involves standing up or moving to set it aside.",silver,5,r001
0d825fa6-51fc-41d7-b179-db3b3a0b148f,39.4431386,#C C scrubs the carpet with the cloth,Cleaning,Essential Operation,Core manual task involving high hand activity.,silver,5,r001
0d825fa6-51fc-41d7-b179-db3b3a0b148f,326.6259898207032,#C C places the cloth on the sink,Cleaning,Object Transfer,"Logistics step, placing an object.",silver,5,r001
0e61fde0-18ed-44df-8328-816a4756f77e,137.93766,#C C drops the black funnel on the paper with his left hand.,Mechanical Repair,Object Transfer,"[CtxFixed] The action involves deliberately placing the black funnel onto the paper, which fits the criteria for Object Transfer.",silver,5,r001
0e61fde0-18ed-44df-8328-816a4756f77e,139.78308,#C C inserts the dipstick into the motorcycle with his left hand.,Mechanical Repair,Essential Operation,Core task involving high hand activity.,silver,5,r001
1120c597-930c-49b7-8a61-f0dce9c31be5,76.63169,#C C stops stirring the food with the wooden spoon in her right hand,Cooking,Stationary,"Low body/hand motion, indicates a pause or stop in activity.",silver,5,r001
1120c597-930c-49b7-8a61-f0dce9c31be5,77.51701,#C C picks up a bottle on the kitchen slab with her right hand,Cooking,Object Transfer,Logistics step involving picking up an object.,silver,5,r001
1120c597-930c-49b7-8a61-f0dce9c31be5,98.82568,#C C touches her face with her right hand #unsure,Cooking,Stationary,"Low body/hand motion, likely a brief, stationary action.",silver,5,r001
1120c597-930c-49b7-8a61-f0dce9c31be5,105.10982,#C C holds the wooden spoon with her right hand,Cooking,Stationary,"The action involves holding an object without any movement, indicating low energy activity.",silver,5,r001
1120c597-930c-49b7-8a61-f0dce9c31be5,105.47965,#C C stirs the food with the wooden spoon in her right hand,Cooking,Essential Operation,Core task involving repetitive hand movements.,silver,5,r001
1120c597-930c-49b7-8a61-f0dce9c31be5,118.74137,#C C opens the bottle with her right hand,Cooking,Object Transfer,Logistics action involving opening a bottle.,silver,5,r001
14644fba-afeb-471c-8d82-2a7783dc67c5,566.8444921677084,#C C places the phone aside.,Mechanical Repair,Object Transfer,Logistics step of putting the phone aside.,silver,5,r001
14644fba-afeb-471c-8d82-2a7783dc67c5,568.6490621677084,#C C moves his hand away from the steering wheel.,Mechanical Repair,Stationary,"Low body/hand motion, indicating a pause or transition to a new action.",silver,5,r001
14644fba-afeb-471c-8d82-2a7783dc67c5,588.9304021677084,#C C pulls the gear.,Mechanical Repair,Essential Operation,"Core task involving manual effort, likely with high hand acceleration.",silver,5,r001
14644fba-afeb-471c-8d82-2a7783dc67c5,933.6292027326308,#C C pulls the visor.,Mechanical Repair,Stationary,The action of pulling a visor is likely a quick movement with minimal body acceleration.,silver,5,r001
14644fba-afeb-471c-8d82-2a7783dc67c5,985.4939727326308,#C C pulls up the gear.,Mechanical Repair,Locomotion,"Body movement to pull up an object, indicating a change in position.",silver,5,r001
17b06e6c-3823-4825-91d1-68a9864bd983,6.1873986,#C C dips kitchen cloth in the sink,Cleaning,Essential Operation,Core task involving high hand activity.,silver,5,r001
17b06e6c-3823-4825-91d1-68a9864bd983,365.2101524964844,#C C throws adapter on a window sill,Cleaning,Object Transfer,"The action involves placing an object, which is a logistics step.",silver,5,r001
18edc157-d1d7-4ad6-bfb9-355c14560a65,148.5106296,#C C sweeps the other part of the yard with a broom,Cleaning,Locomotion,"Movement through space while performing a task, high body acceleration.",silver,5,r001
