video_uid,timestamp_sec,narration_text,scenario,action,reasoning,status,batch,round
053ae0a6-937d-4bdc-8001-d3dfe7899811,22.62115,#C C rides the motorcycle on the road.,Walking Outdoors,Locomotion,Body moving through space at a steady pace.,silver,7,r001
053ae0a6-937d-4bdc-8001-d3dfe7899811,1152.6007033333333,#O The man X comes down from his bike.,Walking Outdoors,Locomotion,"Body moving through space, transitioning from one mode of movement to another.",silver,7,r001
053ae0a6-937d-4bdc-8001-d3dfe7899811,1186.6582733333337,#C C rides his motorcycle on the road.,Walking Outdoors,Locomotion,"Body moving through space, high body acceleration.",silver,7,r001
053ae0a6-937d-4bdc-8001-d3dfe7899811,1269.7482433333334,#C C rides his motorcycle to the left.,Walking Outdoors,Locomotion,"Body moving through space, high body acceleration.",silver,7,r001
053ae0a6-937d-4bdc-8001-d3dfe7899811,1925.9038966666667,#C C drives to the left.,Walking Outdoors,Locomotion,"Body moving through space, indicative of movement or travel.",silver,7,r001
053ae0a6-937d-4bdc-8001-d3dfe7899811,2258.1474700000003,#O The man X covers the seat of the scooter with his right hand.,Walking Outdoors,Locomotion,"The action is part of a larger movement (walking outdoors), indicating high body acceleration.",silver,7,r001
053ae0a6-937d-4bdc-8001-d3dfe7899811,2577.1569400000003,#C C rides the motorcycle to the right.,Walking Outdoors,Locomotion,Body moving through space (riding a motorcycle).,silver,7,r001
053ae0a6-937d-4bdc-8001-d3dfe7899811,2918.3413493333333,#C C parks the motorcycle. #unsure,Walking Outdoors,Locomotion,"The action involves the body moving through space to park a motorcycle, which is a form of locomotion.",silver,7,r001
0793bbe0-b8d5-4d46-9f02-c71d1bd4fad2,83.91212859999999,# X x eats # #unsure,Cooking,Stationary,"Low body/hand motion, typically involves chewing and swallowing.",silver,7,r001
0793bbe0-b8d5-4d46-9f02-c71d1bd4fad2,93.4079386,# X x wakes up,Cooking,Stationary,"Low body/hand motion, indicative of waking up or transitioning to a stationary state.",silver,7,r001
0793bbe0-b8d5-4d46-9f02-c71d1bd4fad2,99.2783386,# X x seats on couch,Cooking,Stationary,"Low body/hand motion, sitting on a couch.",silver,7,r001
