video_uid,timestamp_sec,narration_text,scenario,action,reasoning,status,batch,round
02497a97-5de2-469c-b2e9-c940b78c2060,71.24661,#c c walk around the streets,Walking Outdoors,Locomotion,"Body moving through space, indicative of walking.",silver,1,r001
02497a97-5de2-469c-b2e9-c940b78c2060,2196.2193100000004,#C C negotiates the junction,Walking Outdoors,Locomotion,"Body moving through space, navigating a junction involves walking.",silver,1,r001
0296707b-0b42-45dd-98dc-ca8ce0a26a50,46.4748886,#C C walks towards the ball,Playing Instrument,Locomotion,Body moving through space.,silver,1,r001
0296707b-0b42-45dd-98dc-ca8ce0a26a50,67.4956886,#C C looks aside,Playing Instrument,Search,"Head movement (visual search), hands mostly still.",silver,1,r001
0550b3f4-94a5-4e91-a00f-316d4a1d4d59,80.4698586,#C C picks shakers,Playing Instrument,Object Transfer,Logistics/Setup step (picking up an object).,silver,1,r001
0550b3f4-94a5-4e91-a00f-316d4a1d4d59,396.1208959242188,#C C steps on therevox,Playing Instrument,Locomotion,Body moving through space to step on an object.,silver,1,r001
0550b3f4-94a5-4e91-a00f-316d4a1d4d59,489.0412559242188,#C C plays #unsure,Playing Instrument,Essential Operation,Core manual task involving high hand activity.,silver,1,r001
0550b3f4-94a5-4e91-a00f-316d4a1d4d59,898.5204083656251,#C C shakes the maraca,Playing Instrument,Essential Operation,Core task involving high hand activity.,silver,1,r001
0550b3f4-94a5-4e91-a00f-316d4a1d4d59,918.843798365625,#C C puts the maraca on the stand,Playing Instrument,Object Transfer,"Logistics/Setup step, placing object on a surface.",silver,1,r001
0550b3f4-94a5-4e91-a00f-316d4a1d4d59,1846.9437651722656,#C C beats the drum,Playing Instrument,Essential Operation,Core task involving repetitive hand movements.,silver,1,r001
06456897-960d-4d0c-8ce2-cd50a5a57bc3,364.1442392852933,#C C walks on the garden,Gardening,Locomotion,"Movement through space, indicative of walking.",silver,1,r001
06456897-960d-4d0c-8ce2-cd50a5a57bc3,400.2518692852933,#C C trims the hedge wall,Gardening,Essential Operation,Core task involving high hand activity with tools.,silver,1,r001
06456897-960d-4d0c-8ce2-cd50a5a57bc3,481.8675892852933,#C C plucks the hedge wall,Gardening,Locomotion,Body moving through space while performing a task that involves movement and likely physical engagement with the hedge.,silver,1,r001
