video_uid,timestamp_sec,narration_text,scenario,action,reasoning,status,batch,round
002d2729-df71-438d-8396-5895b349e8fd,32.1870896,#C C touches the contents of the bowl with the spoon in her right hand.,Cooking,Stationary,"Low body/hand motion, primarily tactile interaction.",silver,10,r001
002d2729-df71-438d-8396-5895b349e8fd,45.751619600000005,#C C holds the small bucket of flour with her left hand.,Cooking,Stationary,Holding an object with minimal movement.,silver,10,r001
002d2729-df71-438d-8396-5895b349e8fd,114.0592296,#C C puts the microwave power plug on the counter top with her right hand.,Cooking,Object Transfer,Logistics step involving picking up and placing an object.,silver,10,r001
002d2729-df71-438d-8396-5895b349e8fd,134.3622796,#C C dusts her hands.,Cooking,Stationary,"Low body/hand motion, likely idle or minimal movement.",silver,10,r001
002d2729-df71-438d-8396-5895b349e8fd,167.0532996,#C C takes the bowl from her left hand with her right hand.,Cooking,Object Transfer,Logistics/Transfer step between hands.,silver,10,r001
002d2729-df71-438d-8396-5895b349e8fd,220.1997096,#C C adjusts an air fryer with both hands.,Cooking,Essential Operation,Adjusting the air fryer involves a core manual task with high hand activity.,silver,10,r001
002d2729-df71-438d-8396-5895b349e8fd,237.5880596,#C C walks towards a dinning table.,Cooking,Locomotion,Body moving through space (walking).,silver,10,r001
002d2729-df71-438d-8396-5895b349e8fd,256.65380960000005,#C C touches a chopping board with his right hand.,Cooking,Object Transfer,Logistics step involving interaction with an object.,silver,10,r001
002d2729-df71-438d-8396-5895b349e8fd,257.4668596,#C C adjusts some racks with both hands.,Cooking,Essential Operation,Core task involving high hand activity.,silver,10,r001
002d2729-df71-438d-8396-5895b349e8fd,260.9716996,#C C carries a pot from a bigger pot with her right hand.,Cooking,Object Transfer,Logistics step involving moving an object from one location to another.,silver,10,r001
002d2729-df71-438d-8396-5895b349e8fd,272.05679960000003,#C C pours out the water in the pot into the sink with both hands.,Cooking,Object Transfer,Logistics step involving the transfer of an object (water in pot) to another location (sink).,silver,10,r001
002d2729-df71-438d-8396-5895b349e8fd,367.7545309546634,#C C takes the bowl lid from her right hand with her left hand.,Cooking,Object Transfer,Logistics step involving the transfer of the bowl lid from one hand to another.,silver,10,r001
002d2729-df71-438d-8396-5895b349e8fd,539.9756376213301,#C C holds a knife in her right hand on a chopping board at a kitchen counter top.,Cooking,Stationary,"The action describes holding a knife without any movement, indicating a stationary position.",silver,10,r001
002d2729-df71-438d-8396-5895b349e8fd,586.4678276213301,#C C drops the knife on the chopping board with her right hand.,Cooking,Object Transfer,Refined via regex fallback,silver,10,r001
