row_index,video_uid,timestamp_sec,narration_text,old_action,new_action,reasoning
131,9b49246f-30e9-476f-ab8c-56a1bcb1d936,1126.551354287997,#C C drops the glass cup.,Unknown,Object Transfer,"The action of dropping the glass cup is a deliberate placement of the object onto a surface, which fits the criteria for 'Object Transfer'."
441,c5851c24-4ae3-4430-b867-f43800f0f56e,561.1889852666667,#C C drops knife,Unknown,Object Transfer,"The action of dropping the knife is a deliberate placement of the object onto a surface, which fits the criteria for 'Object Transfer'."
444,c5851c24-4ae3-4430-b867-f43800f0f56e,563.4092652666667,#C C drops potato skin,Unknown,Object Transfer,"The action of dropping the potato skin is a deliberate placement onto a surface, which fits the criteria for 'Object Transfer'."
446,c5851c24-4ae3-4430-b867-f43800f0f56e,564.0100052666667,#C C drops potato skin,Unknown,Object Transfer,"The action of dropping the potato skin is a deliberate placement onto a surface, which fits the criteria for 'Object Transfer'."
448,c5851c24-4ae3-4430-b867-f43800f0f56e,565.1072252666668,#C C drops potato skin,Unknown,Object Transfer,"The action of dropping the potato skin is a deliberate placement onto a surface, which fits the criteria for 'Object Transfer'."
451,c5851c24-4ae3-4430-b867-f43800f0f56e,566.4334552666667,#C C drops potato skin,Unknown,Object Transfer,"The action of dropping the potato skin is a deliberate placement onto a surface, which fits the criteria for 'Object Transfer'."
454,c5851c24-4ae3-4430-b867-f43800f0f56e,567.9230052666667,#C C drops potato skin,Unknown,Object Transfer,"The action of dropping the potato skin is a deliberate placement onto a surface, which fits the criteria for 'Object Transfer'."
461,c5851c24-4ae3-4430-b867-f43800f0f56e,589.2472952666667,#C C drops potato skins,Unknown,Object Transfer,"The action of dropping the potato skins is a deliberate placement onto a surface, which fits the criteria for 'Object Transfer'."
468,c5851c24-4ae3-4430-b867-f43800f0f56e,616.9600552666667,#C C drops potato skin,Unknown,Object Transfer,"The action of dropping the potato skin onto a surface is a deliberate placement, which fits the criteria for 'Object Transfer'."
472,c5851c24-4ae3-4430-b867-f43800f0f56e,620.8070952666667,#C C drops knife,Unknown,Object Transfer,"The action of dropping the knife is a deliberate placement onto a surface, similar to the previous action of dropping potato skins."
473,c5851c24-4ae3-4430-b867-f43800f0f56e,622.1034052666668,#C C drops potato skins,Unknown,Object Transfer,"The action of dropping the potato skins is a deliberate placement onto a surface, which fits the criteria for 'Object Transfer'."
482,c5851c24-4ae3-4430-b867-f43800f0f56e,649.9993552666667,#C C drops potato skins,Unknown,Object Transfer,"The action of dropping potato skins is a deliberate placement onto a surface, which fits the criteria for 'Object Transfer'."
485,c5851c24-4ae3-4430-b867-f43800f0f56e,650.8832452666667,#C C drops potato skins,Unknown,Object Transfer,"The action of dropping potato skins is a deliberate placement onto a surface, which fits the criteria for 'Object Transfer'."
