action,batch,corrected_action,dataset_rows_covered_if_validated,global_rank,high_priority_reason,high_priority_review,historical_bad_count,historical_bad_rate,historical_checked_count,narration_text,normalized_narration_stage2,reasoning,round,scenario,secondary_action,timestamp_sec,verdict,video_uid,watchlist_hit
Stationary,10,Task Operation,7,2452,watchlist_verb,yes,0,0.0,0,#C C adjusts the guitar's tuner,adjusts guitar s tuner,Adjusting the tuner involves fine hand movements but minimal body motion.,r002,Playing Instrument,,1138.523147144922,Bad,0091e812-f56f-4bd9-ad65-019fc97c1ffe,yes
Task Operation,10,,6,3138,watchlist_verb,yes,0,0.0,0,#C C adjusts the guitar's tuners,adjusts guitar s tuners,Core manual task involving fine hand movements.,r002,Playing Instrument,,1143.7212571449218,Gold,0091e812-f56f-4bd9-ad65-019fc97c1ffe,yes
Stationary,10,Object Transfer,6,4060,,no,1,1.0,1,#C C turns the phone,turns phone,Turning a phone is a low-energy action with minimal body movement.,r002,Playing Instrument,,1274.6286971449215,Bad,0091e812-f56f-4bd9-ad65-019fc97c1ffe,no
Object Transfer,10,,3,11794,,no,0,0.0,0,#C C places the screw on the screwdriver tip of the power drill.,places screw on screwdriver tip of power drill,Logistics step involving placing an object on another.,r002,Carpentry,,24.2080796,Gold,01d793c6-e235-4af1-8a1d-c70dcf0c8654,no
Task Operation,10,,4,6579,,no,0,0.0,0,#C C fastens the screw in the cable channel with the power drill.,fastens screw in cable channel with power drill,Core manual task involving high hand activity.,r002,Carpentry,,46.7239396,Gold,01d793c6-e235-4af1-8a1d-c70dcf0c8654,no
Object Transfer,10,,5,5075,,no,0,0.0,0,#C C picks up a screw.,picks up screw,Logistics step involving picking up an object.,r002,Carpentry,,62.9597296,Gold,01d793c6-e235-4af1-8a1d-c70dcf0c8654,no
Stationary,10,Locomotion,6,3482,,no,0,0.0,0,#C C kneels.,kneels,"Low body/hand motion, changing posture to a stable position.",r002,Carpentry,,85.6205896,Bad,01d793c6-e235-4af1-8a1d-c70dcf0c8654,no
Task Operation,10,,3,10296,,no,0,0.0,0,#C C inserts the screw in the hole.,inserts screw in hole,Core manual task involving high hand activity.,r002,Carpentry,,150.5554696,Gold,01d793c6-e235-4af1-8a1d-c70dcf0c8654,no
Object Transfer,10,,8,2093,,no,0,0.0,0,#C C drops the screwdriver on the floor,drops screwdriver on floor,Refined via regex fallback,r002,Carpentry,,307.2050009546634,Gold,01d793c6-e235-4af1-8a1d-c70dcf0c8654,no
Stationary,10,,3,8786,watchlist_verb,yes,0,0.0,0,#C C holds down the plastic conduit with his left thumb,holds down plastic conduit with his left thumb,"Low body/hand motion, holding an object in place.",r002,Carpentry,,562.9554176213301,Gold,01d793c6-e235-4af1-8a1d-c70dcf0c8654,yes
