action,batch,corrected_action,dataset_rows_covered_if_validated,global_rank,high_priority_reason,high_priority_review,historical_bad_count,historical_bad_rate,historical_checked_count,narration_text,normalized_narration_stage2,reasoning,round,scenario,secondary_action,timestamp_sec,verdict,video_uid,watchlist_hit
Object Transfer,12,,3,11448,,no,0,0.0,0,#C C picks three joined network cables on the floor with his left hand.,picks three joined network cables on floor with his left hand,Logistics step involving picking up objects.,r002,Carpentry,,23.5343696,Gold,0377792b-7b1e-4d67-86fd-f50c9257ea85,no
Object Transfer,12,,5,5092,,no,0,0.0,0,#C C picks a wire cutter on a shelve with his right hand.,picks wire cutter on shelve with his right hand,Logistics step involving picking up an object.,r002,Carpentry,,25.880589600000004,Gold,0377792b-7b1e-4d67-86fd-f50c9257ea85,no
Object Transfer,12,,3,9909,,no,0,0.0,0,#C C drops the cut out part of the outer coating on the shelve.,drops cut out part of outer coating on shelve,"[CtxFixed] The action of dropping the cut out part of the outer coating onto the shelf appears to be a deliberate placement, which fits the definition of 'Object Transfer'.",r002,Carpentry,,60.563179600000005,Gold,0377792b-7b1e-4d67-86fd-f50c9257ea85,no
Stationary,12,Task Operation,8,2385,,no,0,0.0,0,#C C straightens out the UTP cables of one of the network cables with his hands.,straightens out utp cables of one of network cables with his hands,"The action involves organizing cables with hands, which is a low-energy activity.",r002,Carpentry,,110.7885096,Bad,0377792b-7b1e-4d67-86fd-f50c9257ea85,no
Task Operation,12,,3,9749,,no,0,0.0,0,#C C cuts off some part of the UTP cables with the wire cutter.,cuts off part of utp cables with wire cutter,Core manual task involving high hand activity.,r002,Carpentry,,183.6052196,Gold,0377792b-7b1e-4d67-86fd-f50c9257ea85,no
Object Transfer,12,,4,7145,,no,0,0.0,0,#C C picks a network cable connector from the shelve with his right hand.,picks network cable connector from shelve with his right hand,Logistics step of picking up an object.,r002,Carpentry,,187.6033996,Gold,0377792b-7b1e-4d67-86fd-f50c9257ea85,no
Task Operation,12,,6,3449,,no,0,0.0,0,#C C fits in the network cable connector into the UTP cables with his right hand.,fits in network cable connector into utp cables with his right hand,Core manual task involving precise hand movements.,r002,Carpentry,,188.8722496,Gold,0377792b-7b1e-4d67-86fd-f50c9257ea85,no
Task Operation,12,,4,6376,,no,0,0.0,0,#C C cuts off some part of the UTP cables with the plier.,cuts off part of utp cables with plier,Core task involving manual dexterity and high hand activity.,r002,Carpentry,,365.57647095466336,Gold,0377792b-7b1e-4d67-86fd-f50c9257ea85,no
Object Transfer,12,,5,4589,,no,0,0.0,0,#C C drops the plier on the shelve.,drops plier on shelve,"[CtxFixed] The action of dropping the plier onto the shelve is a deliberate placement, which fits the criteria for 'Object Transfer'.",r002,Carpentry,,366.7807409546634,Gold,0377792b-7b1e-4d67-86fd-f50c9257ea85,no
Object Transfer,12,,3,11593,,no,0,0.0,0,#C C picks the wire cutter from the floor with his right hand.,picks wire cutter from floor with his right hand,"The action involves picking up an object, which is a logistics step.",r002,Carpentry,,617.6955552666667,Gold,0377792b-7b1e-4d67-86fd-f50c9257ea85,no
Object Transfer,12,,4,6556,,no,0,0.0,0,#C C drops the wire cutter on the floor.,drops wire cutter on floor,Refined via regex fallback,r002,Carpentry,,632.7115052666667,Gold,0377792b-7b1e-4d67-86fd-f50c9257ea85,no
Stationary,12,Task Operation,5,5606,,no,0,0.0,0,#C C straightens out the UTP cables of the network cable with his left hand.,straightens out utp cables of network cable with his left hand,"The action involves organizing cables with minimal movement, indicating a low-energy state.",r002,Carpentry,,634.0270252666667,Bad,0377792b-7b1e-4d67-86fd-f50c9257ea85,no
Object Transfer,12,,4,8384,,no,0,0.0,0,#C C unplugs the network cable from the network cable tester with his left hand.,unplugs network cable from network cable tester with his left hand,"The action involves picking up and unplugging a cable, which is a logistics step.",r002,Carpentry,Task Operation,786.8082152666667,Gold,0377792b-7b1e-4d67-86fd-f50c9257ea85,no
Object Transfer,12,,3,11866,,no,0,0.0,0,#C C plugs one of the network cables into the network cable tester with his left hand.,plugs one of network cables into network cable tester with his left hand,"The action involves connecting an object (network cable) to another object (network cable tester), which is a logistics step.",r002,Carpentry,Task Operation,977.5195252666668,Gold,0377792b-7b1e-4d67-86fd-f50c9257ea85,no
Object Transfer,12,,4,7390,,no,0,0.0,0,#C C places the scissors on the floor.,places scissors on floor,Logistics action involving placing an object.,r002,Carpentry,,1089.0246342879966,Gold,0377792b-7b1e-4d67-86fd-f50c9257ea85,no
Stationary,12,,7,2500,watchlist_verb,yes,0,0.0,0,#C C holds the wire with both hands.,holds wire with both hands,"Low body/hand motion, holding position.",r002,Carpentry,,1089.3923742879963,Gold,0377792b-7b1e-4d67-86fd-f50c9257ea85,yes
Task Operation,12,,5,5239,,no,0,0.0,0,#C C pulls the wire with his left hand.,pulls wire with his left hand,Core manual task involving high hand activity.,r002,Carpentry,,1089.620064287997,Gold,0377792b-7b1e-4d67-86fd-f50c9257ea85,no
Task Operation,12,,7,2565,,no,0,0.0,0,#C C bends the wire with his left hand.,bends wire with his left hand,Core manual task involving high hand activity.,r002,Carpentry,,1091.3321742879966,Gold,0377792b-7b1e-4d67-86fd-f50c9257ea85,no
Object Transfer,12,,4,7300,,no,0,0.0,0,#C C picks the wire from the floor.,picks wire from floor,Logistics step involving picking up an object.,r002,Carpentry,,1111.1286542879966,Gold,0377792b-7b1e-4d67-86fd-f50c9257ea85,no
Stationary,12,,8,2005,watchlist_verb,yes,0,0.0,0,#C C holds the wire with his left hand.,holds wire with his left hand,"Low body/hand motion, holding an object without movement.",r002,Carpentry,,1134.6019542879967,Gold,0377792b-7b1e-4d67-86fd-f50c9257ea85,yes
Object Transfer,12,,6,3707,,no,0,0.0,0,#C C picks the yellow pepper,picks yellow pepper,Logistics step involving picking an object.,r002,Cooking,,95.3858686,Gold,055f3cf1-1133-4260-b5a0-31e7ca1726a1,no
Search,12,,5,4744,,no,0,0.0,0,#C C looks at the yellow pepper,looks at yellow pepper,"Head movement (visual inspection), hands mostly still.",r002,Cooking,,96.9011986,Gold,055f3cf1-1133-4260-b5a0-31e7ca1726a1,no
Task Operation,12,,4,7947,,no,0,0.0,0,#C C removes pepper seeds,removes pepper seeds,"Core task involving manual manipulation, high hand activity.",r002,Cooking,,163.0312986,Gold,055f3cf1-1133-4260-b5a0-31e7ca1726a1,no
Object Transfer,12,,5,5268,,no,0,0.0,0,#C C puts the cleaning sponge down,puts cleaning sponge down,Logistics step involving placing an object.,r002,Cooking,,404.4605560916505,Gold,055f3cf1-1133-4260-b5a0-31e7ca1726a1,no
Task Operation,12,,6,4119,,no,0,0.0,0,#C C wipes the knife with a kitchen towel,wipes knife with kitchen towel,Core task involving high hand activity.,r002,Cooking,,407.1240760916505,Gold,055f3cf1-1133-4260-b5a0-31e7ca1726a1,no
Object Transfer,12,,5,5011,,no,0,0.0,0,#C C picks salt,picks salt,Logistics step involving picking up an item.,r002,Cooking,,441.17904609165055,Gold,055f3cf1-1133-4260-b5a0-31e7ca1726a1,no
Object Transfer,12,,3,11406,,no,0,0.0,0,#C C picks the soap dish,picks soap dish,Logistics step involving picking up an object.,r002,Cooking,,562.4742776136719,Gold,055f3cf1-1133-4260-b5a0-31e7ca1726a1,no
Object Transfer,12,,4,7568,,no,0,0.0,0,#C C puts the bowl on the dishrack,puts bowl on dishrack,Logistics step involving moving an object from one place to another.,r002,Cooking,,588.1225976136719,Gold,055f3cf1-1133-4260-b5a0-31e7ca1726a1,no
Object Transfer,12,Task Operation,7,3001,,no,0,0.0,0,#C C rotates the tap,rotates tap,"The action involves manipulating an object (tap), which is a logistics step.",r002,Cooking,,709.726967613672,Bad,055f3cf1-1133-4260-b5a0-31e7ca1726a1,no
Object Transfer,12,Task Operation,5,4483,,no,0,0.0,0,#C C covers butter,covers butter,Logistics step involving picking up and covering the butter.,r002,Cooking,,789.8045876136719,Bad,055f3cf1-1133-4260-b5a0-31e7ca1726a1,no
Task Operation,12,,14,786,,no,0,0.0,0,#C C waters a plant,waters plant,Core task involving manual operation with the hand.,r002,Cooking,,934.9568982223389,Gold,055f3cf1-1133-4260-b5a0-31e7ca1726a1,no
Task Operation,12,,4,8188,,no,0,0.0,0,#C C stirs frying carrots,stirs frying carrots,Core task involving high hand activity.,r002,Cooking,,1139.756191275781,Gold,055f3cf1-1133-4260-b5a0-31e7ca1726a1,no
Object Transfer,12,,6,3603,,no,0,0.0,0,#C C picks a bowl of meat,picks bowl of meat,Logistics/Setup step involving picking up an object.,r002,Cooking,,1239.811021275781,Gold,055f3cf1-1133-4260-b5a0-31e7ca1726a1,no
Task Operation,12,,4,8193,,no,0,0.0,0,#C C stirs the meat stew,stirs meat stew,Core manual task involving high hand activity.,r002,Cooking,,1247.070951275781,Gold,055f3cf1-1133-4260-b5a0-31e7ca1726a1,no
Task Operation,12,,9,1649,,no,0,0.0,0,#C C cleans a post with the brush.,cleans post with brush,"Core manual task involving cleaning, high hand activity.",r002,Mechanical Repair,,12.10952,Gold,0be30efe-9d71-4698-8304-f1d441aeea58,no
Task Operation,12,,3,9614,,no,0,0.0,0,#C C cleans another post with the brush.,cleans another post with brush,"Core task involving manual cleaning activity, high hand acceleration.",r002,Mechanical Repair,,66.01044,Gold,0be30efe-9d71-4698-8304-f1d441aeea58,no
Task Operation,12,,8,2063,,no,0,0.0,0,#C C cleans the railing with the brush in his right hand.,cleans railing with brush in his right hand,Core manual task involving high hand activity.,r002,Mechanical Repair,,289.32596,Gold,0be30efe-9d71-4698-8304-f1d441aeea58,no
Task Operation,12,,7,2586,,no,0,0.0,0,#C C cleans a post with the brush in his right hand.,cleans post with brush in his right hand,Core manual task involving high hand activity.,r002,Mechanical Repair,,294.04851,Gold,0be30efe-9d71-4698-8304-f1d441aeea58,no
Object Transfer,12,,3,11116,,no,0,0.0,0,#C C picks celery with tong,picks celery with tong,"Logistics step, picking up an object.",r002,Cooking,,4.0969686,Gold,0d1b2c6a-e71a-4aa1-8a40-2c877b34aa73,no
