action,batch,corrected_action,dataset_rows_covered_if_validated,global_rank,high_priority_reason,high_priority_review,historical_bad_count,historical_bad_rate,historical_checked_count,narration_text,normalized_narration_stage2,reasoning,round,scenario,secondary_action,timestamp_sec,verdict,video_uid,watchlist_hit
Essential Operation,1,,4,8226,,no,0,0.0,0,#C C swings #unsure on the stick,swings on stick,Core task involving high hand activity.,r002,Playing Instrument,,86.8072996,Gold,05ac2c04-4a2c-4e8a-8b2a-2b60521b9d38,no
Essential Operation,1,,3,9174,watchlist_verb,yes,0,0.0,0,#C C moves thread ball,moves thread ball,"Core task involving manual activity, likely related to tuning or adjusting the instrument.",r002,Playing Instrument,,178.7188396,Gold,05ac2c04-4a2c-4e8a-8b2a-2b60521b9d38,yes
Essential Operation,1,,5,4487,,no,0,0.0,0,#C C crochets the textile,crochets textile,"Core manual task involving hands, high hand activity.",r002,Playing Instrument,,313.6632509546634,Gold,05ac2c04-4a2c-4e8a-8b2a-2b60521b9d38,no
Stationary,1,Essential Operation,4,6258,,no,0,0.0,0,#C C arranges the threads,arranges threads,Arranging threads is a fine motor task that likely involves minimal movement.,r002,Playing Instrument,,320.9730109546634,Bad,05ac2c04-4a2c-4e8a-8b2a-2b60521b9d38,no
Object Transfer,1,,15,648,,no,0,0.0,0,#C C picks the hedge shear,picks hedge shear,Logistics step of picking up an object.,r002,Gardening,,331.9229892852933,Gold,06456897-960d-4d0c-8ce2-cd50a5a57bc3,no
Locomotion,1,,5,4297,watchlist_verb,yes,0,0.0,0,#C C moves on the garden,moves on garden,"Body moving through space, likely walking or moving around in the garden.",r002,Gardening,,397.5051992852933,Gold,06456897-960d-4d0c-8ce2-cd50a5a57bc3,yes
Locomotion,1,Essential Operation,7,2883,,no,0,0.0,0,#C C plucks the hedge wall,plucks hedge wall,"Body moving through space to maintain or trim the hedge, involves high body acceleration.",r002,Gardening,,464.4506892852933,Bad,06456897-960d-4d0c-8ce2-cd50a5a57bc3,no
Stationary,1,,5,4225,watchlist_verb,yes,0,0.0,0,#C C holds the rake,holds rake,"Low body/hand motion, holding an object without moving.",r002,Gardening,,603.456637613672,Gold,06456897-960d-4d0c-8ce2-cd50a5a57bc3,yes
Stationary,1,,7,2494,watchlist_verb,yes,0,0.0,0,#C C holds the pruning shear with both hands,holds pruning shear with both hands,"Low body/hand motion, holding an object.",r002,Gardening,,657.625287613672,Gold,06456897-960d-4d0c-8ce2-cd50a5a57bc3,yes
Stationary,1,,6,3178,watchlist_verb,yes,0,0.0,0,#C C holds the cutter,holds cutter,The action describes holding an object without movement.,r002,Gardening,,708.3590476136719,Gold,06456897-960d-4d0c-8ce2-cd50a5a57bc3,yes
Object Transfer,1,,11,1203,,no,0,0.0,0,#C C picks the rake,picks rake,"Logistics step, picking up an object.",r002,Gardening,,926.4683682616542,Gold,06456897-960d-4d0c-8ce2-cd50a5a57bc3,no
Essential Operation,1,,11,1126,,no,0,0.0,0,#C C cuts the bush with the shear,cuts bush with shear,Core task involving high hand activity.,r002,Gardening,,1093.6335171449218,Gold,06456897-960d-4d0c-8ce2-cd50a5a57bc3,no
Essential Operation,1,,32,156,,no,0,0.0,0,#C C prunes,prunes,Core task involving high hand activity.,r002,Gardening,,1511.847827247718,Gold,06456897-960d-4d0c-8ce2-cd50a5a57bc3,no
Object Transfer,1,,3,10037,,no,0,0.0,0,#C C drops the secateurs,drops secateurs,"[CtxFixed] The action of dropping the secateurs indicates a deliberate placement of the object onto a surface, which fits the criteria for 'Object Transfer'.",r002,Gardening,,1531.346307247718,Gold,06456897-960d-4d0c-8ce2-cd50a5a57bc3,no
Object Transfer,1,,4,7110,,no,0,0.0,0,#C C picks the hedge shears,picks hedge shears,"The action involves picking up an object, which is a logistics step.",r002,Gardening,,1533.222427247718,Gold,06456897-960d-4d0c-8ce2-cd50a5a57bc3,no
Locomotion,1,Object Transfer,3,9818,,no,0,0.0,0,#C C drags the sack,drags sack,"Body moving through space with the sack, indicating significant body acceleration.",r002,Gardening,,2160.2540668066526,Bad,06456897-960d-4d0c-8ce2-cd50a5a57bc3,no
Stationary,1,,7,3032,,no,0,0.0,0,#C C stares at the shrub,stares at shrub,"Low body/hand motion, visual focus without movement.",r002,Gardening,,2181.888496158594,Gold,06456897-960d-4d0c-8ce2-cd50a5a57bc3,no
Locomotion,1,Essential Operation,9,1920,,no,0,0.0,0,#C C sweeps with a rake,sweeps with rake,"Body moving through space while performing a sweeping action, which involves high body acceleration.",r002,Gardening,,2215.7023161585944,Bad,06456897-960d-4d0c-8ce2-cd50a5a57bc3,no
Object Transfer,1,,5,5120,,no,0,0.0,0,#C C places the hedge shear on the grass,places hedge shear on grass,"Logistics step, placing an object.",r002,Gardening,,2394.9251161585944,Gold,06456897-960d-4d0c-8ce2-cd50a5a57bc3,no
Essential Operation,1,,4,7949,,no,0,0.0,0,#C C removes piece of shrub with the hand,removes piece of shrub with hand,Core task involving manual work with hands.,r002,Gardening,,2689.0326254559814,Gold,06456897-960d-4d0c-8ce2-cd50a5a57bc3,no
Essential Operation,1,Locomotion,3,10913,,no,0,0.0,0,#C C penetrates on the shrub,penetrates on shrub,Core task involving manual activity with tools.,r002,Gardening,,2993.4390258298176,Bad,06456897-960d-4d0c-8ce2-cd50a5a57bc3,no
Locomotion,1,,7,3092,,no,0,0.0,0,#C C walks backwards,walks backwards,Body moving through space in a walking motion.,r002,Gardening,,3116.4882558298177,Gold,06456897-960d-4d0c-8ce2-cd50a5a57bc3,no
Object Transfer,1,,4,6650,,no,0,0.0,0,#C C hangs the plier in his right hand on the ladder,hangs plier in his right hand on ladder,The action involves moving an object (the pliers) to a specific location (hanging on the ladder).,r002,Carpentry,,31.7708596,Gold,0971527a-6cd3-4c82-9d94-09b3565f4505,no
Essential Operation,1,,3,10165,,no,0,0.0,0,#C C fixes an end of the wire to the splicing connector #unsure,fixes end of wire to splicing connector,Core manual task involving precise hand movements.,r002,Carpentry,,79.6572096,Gold,0971527a-6cd3-4c82-9d94-09b3565f4505,no
Object Transfer,1,,5,5077,,no,0,0.0,0,#C C picks up a screwdriver from a table with his right hand #unsure,picks up screwdriver from table with his right hand,Logistics step involving picking up an object.,r002,Carpentry,,126.7267796,Gold,0971527a-6cd3-4c82-9d94-09b3565f4505,no
Stationary,1,,8,2006,watchlist_verb,yes,0,0.0,0,#C C holds the wires with his left hand,holds wires with his left hand,"Low body/hand motion, holding position.",r002,Carpentry,,143.37217959999998,Gold,0971527a-6cd3-4c82-9d94-09b3565f4505,yes
Object Transfer,1,Essential Operation,3,9491,,no,0,0.0,1,#C C arranges the wires with both hands,arranges wires with both hands,Arranging wires involves logistics and setup.,r002,Carpentry,,160.16641959999998,Bad,0971527a-6cd3-4c82-9d94-09b3565f4505,no
Essential Operation,1,,3,9490,,no,0,0.0,0,#C C arranges wires in the junction box with both hands,arranges wires in junction box with both hands,Core task involving high hand activity.,r002,Carpentry,,189.6400296,Gold,0971527a-6cd3-4c82-9d94-09b3565f4505,no
