action,batch,corrected_action,dataset_rows_covered_if_validated,global_rank,high_priority_reason,high_priority_review,historical_bad_count,historical_bad_rate,historical_checked_count,narration_text,normalized_narration_stage2,reasoning,round,scenario,secondary_action,timestamp_sec,verdict,video_uid,watchlist_hit
Object Transfer,9,,4,7188,,no,0,0.0,0,#C C picks a rag from the workbench with his right hand.,picks rag from workbench with his right hand,Logistics action of picking up an object.,r002,Mechanical Repair,,5.10733,Gold,0066ab25-04ad-41b2-89ab-283d2bfa1c4b,no
Essential Operation,9,,3,9635,,no,0,0.0,0,#C C cleans the engine body with the rag in his right hand.,cleans engine body with rag in his right hand,Core task involving manual cleaning activity.,r002,Mechanical Repair,,5.74225,,0066ab25-04ad-41b2-89ab-283d2bfa1c4b,no
Essential Operation,9,,6,3132,watchlist_verb,yes,0,0.0,0,#C C adjusts the bench vise handle with his left hand.,adjusts bench vise handle with his left hand,Core manual task involving fine motor skills and hand manipulation.,r002,Mechanical Repair,,72.13605,Gold,0066ab25-04ad-41b2-89ab-283d2bfa1c4b,yes
Essential Operation,9,,7,2579,,no,0,0.0,0,#C C cleans both hands with the rag.,cleans both hands with rag,Core task involving high hand activity.,r002,Mechanical Repair,,90.45933,Gold,0066ab25-04ad-41b2-89ab-283d2bfa1c4b,no
Essential Operation,9,,3,8653,watchlist_verb,yes,0,0.0,0,#C C adjusts the steel angle bar with his left hand.,adjusts steel angle bar with his left hand,Core manual task involving high hand activity.,r002,Mechanical Repair,,111.55727,Gold,0066ab25-04ad-41b2-89ab-283d2bfa1c4b,yes
Stationary,9,,4,5934,watchlist_verb,yes,0,0.0,0,#C C holds the engine body in both hands.,holds engine body in both hands,"Holding an object in place, minimal movement.",r002,Mechanical Repair,,416.90206,Gold,0066ab25-04ad-41b2-89ab-283d2bfa1c4b,yes
Essential Operation,9,,6,3980,,no,0,0.0,0,#C C smoothens the engine body with the hydraulic compressor. #Unsure,smoothens engine body with hydraulic compressor,Core manual task involving high hand activity.,r002,Mechanical Repair,,420.67829,Gold,0066ab25-04ad-41b2-89ab-283d2bfa1c4b,no
Essential Operation,9,,3,8668,watchlist_verb,yes,0,0.0,0,#C C adjusts the wire plug in the engine body with his right hand.,adjusts wire plug in engine body with his right hand,"Core task involving precise manual adjustments, high hand activity.",r002,Mechanical Repair,,436.05964,Gold,0066ab25-04ad-41b2-89ab-283d2bfa1c4b,yes
Stationary,9,,4,6024,watchlist_verb,yes,0,0.0,0,#C C holds the wire plug with his left hand.,holds wire plug with his left hand,Holding an object with minimal movement.,r002,Mechanical Repair,,471.33638,Gold,0066ab25-04ad-41b2-89ab-283d2bfa1c4b,yes
Essential Operation,9,,4,6246,,no,0,0.0,0,#C C applies glue to his right hand from the adhesive glue in his left hand.,applies glue to his right hand from adhesive glue in his left hand,Core manual task involving high hand activity.,r002,Mechanical Repair,,501.76863,Gold,0066ab25-04ad-41b2-89ab-283d2bfa1c4b,no
Essential Operation,9,,5,4401,,no,0,0.0,0,#C C applies glue around the wire plug with his right hand.,applies glue around wire plug with his right hand,"Core manual task, high hand activity.",r002,Mechanical Repair,,504.7692,Gold,0066ab25-04ad-41b2-89ab-283d2bfa1c4b,no
Stationary,9,,3,11869,,no,0,0.0,0,#C C points at the ground,points at ground,"Low body/hand motion, pointing is a static gesture.",r002,Playing Instrument,,31.214018600000003,Gold,0296707b-0b42-45dd-98dc-ca8ce0a26a50,no
