action,batch,corrected_action,dataset_rows_covered_if_validated,global_rank,high_priority_reason,high_priority_review,historical_bad_count,historical_bad_rate,historical_checked_count,narration_text,normalized_narration_stage2,reasoning,round,scenario,secondary_action,timestamp_sec,verdict,video_uid,watchlist_hit
Object Transfer,3,,4,7787,,no,0,0.0,0,#C C puts plectrum on the drum,puts plectrum on drum,"Logistics step, placing an object on the instrument.",r002,Playing Instrument,,59.2484886,Gold,0550b3f4-94a5-4e91-a00f-316d4a1d4d59,no
Locomotion,3,,5,5580,,no,0,0.0,0,#C C steps on headrush pedalboard,steps on headrush pedalboard,"Body movement through space to activate a pedal, indicative of high body acceleration.",r002,Playing Instrument,,601.4012158696307,Gold,0550b3f4-94a5-4e91-a00f-316d4a1d4d59,no
Stationary,3,,3,10129,,no,0,0.0,0,#C C equalizes the sound,equalizes sound,Adjusting settings is a low-energy activity with minimal body or hand movement.,r002,Playing Instrument,Task Operation,625.2600958696307,Gold,0550b3f4-94a5-4e91-a00f-316d4a1d4d59,no
Object Transfer,3,,8,2288,,no,0,0.0,0,#C C puts the drum stick on the drum,puts drum stick on drum,Logistics step involving placing an object.,r002,Playing Instrument,,891.419498365625,Gold,0550b3f4-94a5-4e91-a00f-316d4a1d4d59,no
Object Transfer,3,,3,11342,,no,0,0.0,0,#C C picks the plectrum from the drum,picks plectrum from drum,"Logistics/Setup step, picking up an object.",r002,Playing Instrument,,1420.2819756094857,Gold,0550b3f4-94a5-4e91-a00f-316d4a1d4d59,no
Locomotion,3,,4,6263,,no,0,0.0,0,#C C ascends the stairs,ascends stairs,"Body moving through space (ascending stairs), high body acceleration.",r002,Desk Work,,2561.784661933333,Gold,073d8415-2689-451c-a43d-147335ef0003,no
Object Transfer,3,,3,8689,watchlist_verb,yes,0,0.0,0,#C C closes the cabinet with her left hand,closes cabinet with her left hand,"Closing an object (cabinet), a logistics step.",r002,Cooking,,38.1776696,Gold,0b90f635-f966-4b97-988d-6594183bc08d,yes
Locomotion,3,,4,8432,,no,0,0.0,0,#C C walks toward the refrigerator,walks toward refrigerator,Body moving through space (walking).,r002,Cooking,,46.2991696,Gold,0b90f635-f966-4b97-988d-6594183bc08d,no
Stationary,3,,5,4193,watchlist_verb,yes,0,0.0,0,#C holds the canned drink on his mouth with his right hand #unsure,holds canned drink on his mouth with his right hand,"Low body/hand motion, holding an object.",r002,Cooking,,643.4827109546634,Gold,0b90f635-f966-4b97-988d-6594183bc08d,yes
Object Transfer,3,Stationary,3,11365,,no,0,0.0,0,#C C picks the sandwich on the plate with his hands,picks sandwich on plate with his hands,Logistics step involving picking up an object.,r002,Cooking,,659.9370809546634,Bad,0b90f635-f966-4b97-988d-6594183bc08d,no
Object Transfer,3,,3,10523,,no,0,0.0,0,#C C lowers the sandwich from his mouth with his hands #unsure,lowers sandwich from his mouth with his hands,"The action involves moving an object (the sandwich) from the mouth to a lower position, which is a logistics step.",r002,Cooking,,663.7032409546634,Gold,0b90f635-f966-4b97-988d-6594183bc08d,no
Stationary,3,,3,10855,,no,0,0.0,0,#C C operates the remote control with his left hand,operates remote control with his left hand,Operating a remote control typically involves minimal body movement and is a low-energy activity.,r002,Cooking,,673.5829409546634,Skip,0b90f635-f966-4b97-988d-6594183bc08d,no
Stationary,3,,4,5998,watchlist_verb,yes,0,0.0,0,#C C holds the sandwich with his right hand,holds sandwich with his right hand,"Low body/hand motion, holding an object.",r002,Cooking,,689.2037509546634,Gold,0b90f635-f966-4b97-988d-6594183bc08d,yes
Object Transfer,3,,3,10414,,no,0,0.0,0,#C C lifts the sandwich towards his mouth with his right hand #unsure,lifts sandwich towards his mouth with his right hand,Logistics step of moving the sandwich towards the mouth.,r002,Cooking,,698.5691609546634,Gold,0b90f635-f966-4b97-988d-6594183bc08d,no
Stationary,3,,3,8885,watchlist_verb,yes,0,0.0,0,#C C holds the sandwich with his hands,holds sandwich with his hands,"Low body/hand motion, holding an object without moving.",r002,Cooking,,763.7005769546635,Gold,0b90f635-f966-4b97-988d-6594183bc08d,yes
Object Transfer,3,,5,4668,,no,0,0.0,0,#c c hangs helmet on the bicycle,hangs helmet on bicycle,Logistics step involving picking up and placing the helmet.,r002,Mechanical Repair,,1387.87565,Gold,0f1024e6-ff80-46e2-aea8-3878f11bc1d7,no
Object Transfer,3,,3,11436,,no,0,0.0,0,#C C picks the sweet potato,picks sweet potato,"Logistics step, picking up an object.",r002,Cooking,,194.6969186,Gold,0fedfa42-bfda-47c1-8f59-2c91b2c229fe,no
Task Operation,3,,4,7948,,no,0,0.0,0,#C C removes the piece of carrots on the knife,removes piece of carrots on knife,"Core task, high hand activity.",r002,Cooking,,303.6668092852933,Gold,0fedfa42-bfda-47c1-8f59-2c91b2c229fe,no
Task Operation,3,,3,9768,,no,0,0.0,0,#C C cuts the sweet potato,cuts sweet potato,"Core task, high hand activity.",r002,Cooking,,447.6636492852933,Gold,0fedfa42-bfda-47c1-8f59-2c91b2c229fe,no
Stationary,3,,7,3008,,no,0,0.0,0,#C C scratches her nose,scratches her nose,"Low body/hand motion, minor action.",r002,Cooking,,594.4438976136719,Gold,0fedfa42-bfda-47c1-8f59-2c91b2c229fe,no
Object Transfer,3,,4,7616,,no,0,0.0,0,#C C puts the cooking pan on the table,puts cooking pan on table,Logistics step involving picking up and placing an object.,r002,Cooking,,605.3505276136719,Gold,0fedfa42-bfda-47c1-8f59-2c91b2c229fe,no
Object Transfer,3,,4,8243,,no,0,0.0,0,#C C takes the carrots from the chopping board,takes carrots from chopping board,Logistics/Setup step involving picking up and moving objects.,r002,Cooking,,606.999927613672,Gold,0fedfa42-bfda-47c1-8f59-2c91b2c229fe,no
Task Operation,3,,6,3925,,no,0,0.0,0,#C C removes the pieces of the carrot from the knife,removes pieces of carrot from knife,Core task involving fine hand movements.,r002,Cooking,,696.6014076136719,Gold,0fedfa42-bfda-47c1-8f59-2c91b2c229fe,no
Object Transfer,3,,3,10207,,no,0,0.0,0,#C C gathers the carrots on the chopping board,gathers carrots on chopping board,Logistics step involving picking up and placing the carrots.,r002,Cooking,,704.9826176136719,Gold,0fedfa42-bfda-47c1-8f59-2c91b2c229fe,no
Object Transfer,3,,4,6079,watchlist_verb,yes,0,0.0,0,#C C moves the chopping board on the table,moves chopping board on table,Logistics/moving an object on the table.,r002,Cooking,,782.1557176136719,Gold,0fedfa42-bfda-47c1-8f59-2c91b2c229fe,yes
Object Transfer,3,,3,9065,watchlist_verb,yes,0,0.0,0,#C C moves the dustbin on the table,moves dustbin on table,Logistics step involving moving an object (dustbin).,r002,Cooking,,812.7811676136719,Gold,0fedfa42-bfda-47c1-8f59-2c91b2c229fe,yes
Task Operation,3,,4,6987,,no,0,0.0,0,#C C peels the onion with the knife,peels onion with knife,Core manual task involving high hand activity.,r002,Cooking,,857.7712482616541,Gold,0fedfa42-bfda-47c1-8f59-2c91b2c229fe,no
Task Operation,3,,3,9743,,no,0,0.0,0,#C C cuts the garlic clove,cuts garlic clove,"Core task, high hand activity.",r002,Cooking,,1056.802318261654,Gold,0fedfa42-bfda-47c1-8f59-2c91b2c229fe,no
Object Transfer,3,,3,11145,,no,0,0.0,0,#C C picks the cooking pan from the cooker,picks cooking pan from cooker,Logistics step involving picking up an object.,r002,Cooking,,1134.5632171449215,Gold,0fedfa42-bfda-47c1-8f59-2c91b2c229fe,no
Object Transfer,3,,5,5381,,no,0,0.0,0,#C C puts the spoon on the cooking pan,puts spoon on cooking pan,"Logistics step, placing object down.",r002,Cooking,,1267.367457144922,Gold,0fedfa42-bfda-47c1-8f59-2c91b2c229fe,no
Object Transfer,3,,3,8702,watchlist_verb,yes,0,0.0,0,#C C closes the food in the cooking pan,closes food in cooking pan,"The action involves putting the food into the cooking pan, which is a logistics step.",r002,Cooking,,1274.570457144922,Gold,0fedfa42-bfda-47c1-8f59-2c91b2c229fe,yes
Stationary,3,Search,4,6752,,no,0,0.0,0,#C C looks at the food,looks at food,"Low body/hand motion, visual inspection.",r002,Cooking,,1384.6067172389237,Bad,0fedfa42-bfda-47c1-8f59-2c91b2c229fe,no
Object Transfer,3,,3,9235,watchlist_verb,yes,0,0.0,0,#C C opens the food in the cooking pan,opens food in cooking pan,Logistics step involving opening an object.,r002,Cooking,,1513.2866772389234,Gold,0fedfa42-bfda-47c1-8f59-2c91b2c229fe,yes
Object Transfer,3,,5,5252,,no,0,0.0,0,#C C puts the apple on the chopping board,puts apple on chopping board,"Logistics step, picking up and placing the apple.",r002,Cooking,,1683.486707144922,Gold,0fedfa42-bfda-47c1-8f59-2c91b2c229fe,no
Task Operation,3,,3,9723,,no,0,0.0,0,#C C cuts the apple into smaller pieces,cuts apple into smaller pieces,"Core task, high hand activity.",r002,Cooking,,1702.512977144922,Gold,0fedfa42-bfda-47c1-8f59-2c91b2c229fe,no
Object Transfer,3,,6,4041,,no,0,0.0,0,#C C throws the peels in the dustbin,throws peels in dustbin,Logistics step involving picking up and disposing of an object.,r002,Cooking,,1970.752177238783,Gold,0fedfa42-bfda-47c1-8f59-2c91b2c229fe,no
Object Transfer,3,,3,11497,,no,0,0.0,0,#C C picks up a container from the kitchen counter,picks up container from kitchen counter,Logistics step involving picking up an object.,r002,Cooking,,1999.0629772387829,Gold,0fedfa42-bfda-47c1-8f59-2c91b2c229fe,no
Object Transfer,3,,3,11477,,no,0,0.0,0,#C C picks up the apple,picks up apple,Logistics step involving picking up an object.,r002,Cooking,,2103.010680572116,Gold,0fedfa42-bfda-47c1-8f59-2c91b2c229fe,no
Task Operation,3,,3,10910,,no,0,0.0,0,#C C peels the apple with the knife,peels apple with knife,Core task involving manual dexterity and high hand activity.,r002,Cooking,,2106.4052405721163,Gold,0fedfa42-bfda-47c1-8f59-2c91b2c229fe,no
Task Operation,3,,4,8446,,no,0,0.0,0,#C C washes the apple,washes apple,Core task involving manual activity with the hands.,r002,Cooking,,2158.323430572116,Gold,0fedfa42-bfda-47c1-8f59-2c91b2c229fe,no
Object Transfer,3,,5,5068,,no,0,0.0,0,#C C picks up a packet from the shelf,picks up packet from shelf,Logistics step involving picking up an object.,r002,Cooking,,2706.826826515179,Gold,0fedfa42-bfda-47c1-8f59-2c91b2c229fe,no
Object Transfer,3,,4,7615,,no,0,0.0,0,#C C puts the container on the window,puts container on window,Logistics step involving placing an object.,r002,Cooking,,2795.500445361068,Gold,0fedfa42-bfda-47c1-8f59-2c91b2c229fe,no
Object Transfer,3,,3,11496,,no,0,0.0,0,#C C picks up a container from the fridge,picks up container from fridge,Logistics step involving picking up an object.,r002,Cooking,,2830.505215361068,Gold,0fedfa42-bfda-47c1-8f59-2c91b2c229fe,no
Task Operation,3,,5,4837,,no,0,0.0,0,#C C mixes #unsure in bowl,mixes in bowl,"Core task involving mixing, high hand activity.",r002,Cooking,,2948.105705361068,Gold,0fedfa42-bfda-47c1-8f59-2c91b2c229fe,no
Task Operation,3,,3,10828,,no,0,0.0,0,#C C mixes the mixture with the silicone spatula spoon,mixes mixture with silicone spatula spoon,Core manual task involving high hand activity.,r002,Cooking,,2982.406545463893,Gold,0fedfa42-bfda-47c1-8f59-2c91b2c229fe,no
Object Transfer,3,,4,7239,,no,0,0.0,0,#C C picks up the can,picks up can,Logistics action involving picking up an object.,r002,Cooking,,3288.494238928776,Gold,0fedfa42-bfda-47c1-8f59-2c91b2c229fe,no
Object Transfer,3,,3,11435,,no,0,0.0,0,#C C picks the sunglasses,picks sunglasses,Logistics action involving picking up an object.,r002,Cooking,,289.9006052666667,Gold,10a7fd5a-169d-4b0c-ba8b-825af7bd2117,no
Object Transfer,3,,3,11912,,no,0,0.0,0,#C C pours the liquid from the packet,pours liquid from packet,Logistics step involving the transfer of the liquid from the packet.,r002,Cooking,,381.4249452666666,Gold,10a7fd5a-169d-4b0c-ba8b-825af7bd2117,no
Stationary,3,,17,534,,no,0,0.0,0,#C C scrolls the phone on the hand,scrolls phone on hand,"Low body motion, hands engaged in fine motor activity.",r002,Cooking,,630.1496552666667,Gold,10a7fd5a-169d-4b0c-ba8b-825af7bd2117,no
Task Operation,3,,6,4076,,no,0,0.0,0,#C C unfolds the foil paper,unfolds foil paper,Unfolding foil involves a core manual task with significant hand activity.,r002,Cooking,,1504.5525352666666,Gold,10a7fd5a-169d-4b0c-ba8b-825af7bd2117,no
Object Transfer,3,,3,11191,,no,0,0.0,0,#C C picks the foil,picks foil,Logistics/Setup step.,r002,Cooking,,1690.1414152666666,Gold,10a7fd5a-169d-4b0c-ba8b-825af7bd2117,no
Object Transfer,3,,4,7783,,no,0,0.0,0,#C C puts the plate on the sink.,puts plate on sink,Logistics step involving the placement of an object.,r002,Cooking,,1705.5231252666665,Gold,10a7fd5a-169d-4b0c-ba8b-825af7bd2117,no
