action,batch,corrected_action,dataset_rows_covered_if_validated,global_rank,high_priority_reason,high_priority_review,historical_bad_count,historical_bad_rate,historical_checked_count,narration_text,normalized_narration_stage2,reasoning,round,scenario,secondary_action,timestamp_sec,verdict,video_uid,watchlist_hit
Stationary,8,Search,3,10479,,no,0,0.0,0,#C C looks at a tablet,looks at tablet,"Low body/hand motion, visual focus on the tablet.",r002,Playing Instrument,,107.99071526666668,Bad,025c24db-1ab3-462e-888a-3598fd777ee2,no
Locomotion,8,,6,4096,,no,0,0.0,0,#C C walks towards a seat,walks towards seat,Body moving through space (walking).,r002,Playing Instrument,,118.32474526666668,Gold,025c24db-1ab3-462e-888a-3598fd777ee2,no
Locomotion,8,Essential Operation,9,1604,watchlist_verb,yes,0,0.0,0,#C C moves the feet.,moves feet,"Body movement through space, likely involves foot movement which can be categorized as locomotion.",r002,Playing Instrument,,302.9975252666667,Bad,025c24db-1ab3-462e-888a-3598fd777ee2,yes
Essential Operation,8,,9,1949,,no,0,0.0,0,#C C uses phone with both hands,uses phone with both hands,Core manual task involving both hands.,r002,Playing Instrument,Stationary,631.2343152666667,Gold,025c24db-1ab3-462e-888a-3598fd777ee2,no
Object Transfer,8,,3,9599,,no,0,0.0,0,#O a child X takes tiles from a bag,child x takes tiles from bag,"Logistics/Setup step, picking up and transferring objects.",r002,Playing Instrument,,1098.0699919333333,Gold,025c24db-1ab3-462e-888a-3598fd777ee2,no
Object Transfer,8,,3,9600,,no,0,0.0,0,#O a child Y picks the rack from the table,child y picks rack from table,"Logistics/Setup step, picking up an object.",r002,Playing Instrument,,1098.8912419333333,Gold,025c24db-1ab3-462e-888a-3598fd777ee2,no
Object Transfer,8,,3,9601,,no,0,0.0,0,#O a child Y places the rack on the table,child y places rack on table,"The action involves placing an object (the rack) on a surface (the table), which is a logistics step.",r002,Playing Instrument,,1105.196161933333,Gold,025c24db-1ab3-462e-888a-3598fd777ee2,no
Search,8,,3,9596,,no,0,0.0,0,#O a child X looks at the tile,child x looks at tile,"Head movement (visual search), hands mostly still.",r002,Playing Instrument,,1120.0746019333333,Gold,025c24db-1ab3-462e-888a-3598fd777ee2,no
Object Transfer,8,,16,550,,no,0,0.0,0,#C C arranges the tile on the rack,arranges tile on rack,"The action involves picking up and placing an object, which is a logistics step.",r002,Playing Instrument,,1139.2284619333336,Gold,025c24db-1ab3-462e-888a-3598fd777ee2,no
Object Transfer,8,,4,6291,,no,0,0.0,0,#O a child Y picks tiles from the table,child y picks tiles from table,Logistics step involving picking up objects.,r002,Playing Instrument,,1153.1008819333333,Gold,025c24db-1ab3-462e-888a-3598fd777ee2,no
Object Transfer,8,,4,6292,,no,0,0.0,0,#O a child Y places the tiles on the rack,child y places tiles on rack,"The action involves placing tiles, which is a logistics step with short bursts of hand acceleration.",r002,Playing Instrument,,1154.0801319333336,Gold,025c24db-1ab3-462e-888a-3598fd777ee2,no
Object Transfer,8,,8,2055,,no,0,0.0,0,#O a child Y picks a tile from the table,child y picks tile from table,"The action involves picking up an object, which is a logistics step.",r002,Playing Instrument,,1157.9792219333335,Gold,025c24db-1ab3-462e-888a-3598fd777ee2,no
Object Transfer,8,,6,3750,,no,0,0.0,0,#C C places the tile on the table,places tile on table,Logistics step involving placing an object.,r002,Playing Instrument,,1257.9893919333335,Gold,025c24db-1ab3-462e-888a-3598fd777ee2,no
Object Transfer,8,,3,9597,,no,0,0.0,0,#O a child X picks tiles from a rack,child x picks tiles from rack,"The action involves picking up objects, which is a logistics step.",r002,Playing Instrument,,1325.8665119333336,Gold,025c24db-1ab3-462e-888a-3598fd777ee2,no
Object Transfer,8,,3,9418,watchlist_verb,yes,0,0.0,0,#O Woman X moves purse on the table,woman x moves purse on table,"The action involves moving an object (purse) to a specific location (table), which is a logistics step.",r002,Playing Instrument,,1387.5093519333336,Gold,025c24db-1ab3-462e-888a-3598fd777ee2,yes
Object Transfer,8,,3,9542,,no,0,0.0,0,#O Boy Z removes dice from the purse,boy z removes dice from purse,Logistics/Setup step involving picking up or putting down an object.,r002,Playing Instrument,,1388.8474919333337,Gold,025c24db-1ab3-462e-888a-3598fd777ee2,no
Object Transfer,8,,3,10917,,no,0,0.0,0,#O Person B picks a number tile from a bag,person b picks number tile from bag,"The action involves picking up an object (number tile), which is a logistics step.",r002,Playing Instrument,,1647.5952086,Gold,025c24db-1ab3-462e-888a-3598fd777ee2,no
Object Transfer,8,,3,10920,,no,0,0.0,0,#O person B puts a number tile on a table,person b puts number tile on table,"Logistics/Setup step, placing an object.",r002,Playing Instrument,,1651.9956086,Gold,025c24db-1ab3-462e-888a-3598fd777ee2,no
Object Transfer,8,,3,9476,,no,0,0.0,0,#C C arranges a number tile on a table,arranges number tile on table,"The action involves placing an object, which is a logistics step.",r002,Playing Instrument,,1658.6473586,Gold,025c24db-1ab3-462e-888a-3598fd777ee2,no
Stationary,8,Search,4,6997,,no,0,0.0,0,#o person A looks at person B,person looks at person b,"Low body/hand motion, focused gaze.",r002,Playing Instrument,,1813.4830186,Bad,025c24db-1ab3-462e-888a-3598fd777ee2,no
Object Transfer,8,,5,4870,,no,0,0.0,0,#O person B picks a number tile from a slide,person b picks number tile from slide,Logistics/Setup step (picking up an object).,r002,Playing Instrument,,1814.6912086,Gold,025c24db-1ab3-462e-888a-3598fd777ee2,no
Object Transfer,8,,3,9530,,no,0,0.0,0,#O a boy E picks a scrabble tile from a scrabble rack.,boy e picks scrabble tile from scrabble rack,"Logistics/Setup step, picking up an object.",r002,Playing Instrument,,1918.1019186,Gold,025c24db-1ab3-462e-888a-3598fd777ee2,no
Stationary,8,,3,9537,,no,0,0.0,0,#O a boy Q makes a hand gesture,boy q makes hand gesture,The description suggests a static action with minimal movement.,r002,Playing Instrument,,2039.3083286,Gold,025c24db-1ab3-462e-888a-3598fd777ee2,no
Stationary,8,Object Transfer,4,6078,watchlist_verb,yes,0,0.0,0,#C C moves the chip,moves chip,"The action 'moves the chip' is vague and could imply a minor, low-energy movement.",r002,Playing Instrument,,2245.7831152666668,Bad,025c24db-1ab3-462e-888a-3598fd777ee2,yes
Search,8,,5,4733,,no,0,0.0,0,#C C looks at his phone,looks at his phone,"Head movement (visual search), passive hands.",r002,Playing Instrument,,2405.7778952666667,Gold,025c24db-1ab3-462e-888a-3598fd777ee2,no
Stationary,8,,8,2442,,no,0,0.0,0,#O woman Z converses with a child,woman z converses with child,"Low body/hand motion, implies talking or observing.",r002,Playing Instrument,,3059.3124819333334,Gold,025c24db-1ab3-462e-888a-3598fd777ee2,no
Stationary,8,Search,6,3909,,no,0,0.0,0,#C C reads the phone,reads phone,"Low body/hand motion, likely involves holding the phone still.",r002,Playing Instrument,,3339.730571933333,Bad,025c24db-1ab3-462e-888a-3598fd777ee2,no
Stationary,8,Search,8,2327,,no,1,0.5,2,#C C reads #unsure on the phone,reads on phone,"Low body/hand motion, indicating a paused or inactive state.",r002,Playing Instrument,,3813.8750386,Bad,025c24db-1ab3-462e-888a-3598fd777ee2,no
Stationary,8,,4,8211,,no,0,0.0,0,#C C straightens the leg.,straightens leg,The action describes a minor adjustment or posture change which does not involve significant body movement.,r002,Playing Instrument,,4169.0366086,Gold,025c24db-1ab3-462e-888a-3598fd777ee2,no
Object Transfer,8,,5,4996,,no,0,0.0,0,#C C picks a plant in a pot,picks plant in pot,Logistics step involving picking up an object.,r002,Gardening,,48.9211486,Gold,0928af96-a3fd-4930-9bc1-2fa43d01bb53,no
Essential Operation,8,,5,5768,,no,0,0.0,0,#C C waters plant in a pot,waters plant in pot,"Core manual task involving interaction with the plant, high hand activity.",r002,Gardening,,51.7874886,Gold,0928af96-a3fd-4930-9bc1-2fa43d01bb53,no
Object Transfer,8,,4,7711,,no,0,0.0,0,#C C puts leaf on the countertop,puts leaf on countertop,Logistics step involving picking up and placing an object.,r002,Gardening,,83.0892586,Gold,0928af96-a3fd-4930-9bc1-2fa43d01bb53,no
Object Transfer,8,,5,4911,,no,0,0.0,0,#C C picks a bottle on the countertop[,picks bottle on countertop,Logistics step involving picking up an object.,r002,Gardening,,115.8944486,Gold,0928af96-a3fd-4930-9bc1-2fa43d01bb53,no
Object Transfer,8,,5,5352,,no,0,0.0,0,#C C puts a plant in a pot on the window shelf,puts plant in pot on window shelf,Logistics step involving placing the plant in the pot.,r002,Gardening,,158.8854586,Gold,0928af96-a3fd-4930-9bc1-2fa43d01bb53,no
Object Transfer,8,,3,11236,,no,0,0.0,0,#C C picks a jug on the countertop,picks jug on countertop,Logistics step involving picking up an object.,r002,Gardening,,232.3680186,Gold,0928af96-a3fd-4930-9bc1-2fa43d01bb53,no
Search,8,,12,938,watchlist_verb,yes,0,0.0,0,#C C touches the plant leaves,touches plant leaves,"Exploratory hand movements, likely for inspection.",r002,Gardening,,531.537579594659,Skip,0928af96-a3fd-4930-9bc1-2fa43d01bb53,yes
Essential Operation,8,,3,11952,,no,0,0.0,0,#C C pours water on a plant with a handheld shower head,pours water on plant with handheld shower head,"Core task involving manual operation with the hand, high hand activity.",r002,Gardening,,632.0590921677084,Gold,0928af96-a3fd-4930-9bc1-2fa43d01bb53,no
Essential Operation,8,,6,3982,,no,0,0.0,0,#C C sprays a plant with #unsure in the spray bottle,sprays plant with in spray bottle,Core task involving manual operation with the spray bottle.,r002,Gardening,,833.3846931518051,Gold,0928af96-a3fd-4930-9bc1-2fa43d01bb53,no
Locomotion,8,,4,8176,,no,0,0.0,0,#C C steps on the bed,steps on bed,Body moving through space (step). High Body Accel.,r002,Gardening,,956.2273731518052,Skip,0928af96-a3fd-4930-9bc1-2fa43d01bb53,no
Stationary,8,,4,6087,watchlist_verb,yes,0,0.0,0,#C C moves the curtains,moves curtains,"The action described does not fit the context of gardening and seems out of place, indicating a low-energy, stationary activity.",r002,Gardening,,966.2264531518052,Skip,0928af96-a3fd-4930-9bc1-2fa43d01bb53,yes
Object Transfer,8,,4,6508,,no,0,0.0,0,#C C drops a piece of plant in the sink,drops piece of plant in sink,Refined via regex fallback,r002,Gardening,,1056.607533151805,Skip,0928af96-a3fd-4930-9bc1-2fa43d01bb53,no
Object Transfer,8,,4,6228,watchlist_verb,yes,0,0.0,0,#O woman X moves a playing piece on the game board,woman x moves playing piece on game board,"The action involves moving a game piece, which is a logistics/transfer step.",r002,Playing Instrument,Essential Operation,15.5522786,Gold,0a47c74a-dad9-42d5-b937-0f375490f034,yes
Object Transfer,8,,4,7315,,no,0,0.0,0,#C C places cards on the game board,places cards on game board,Logistics step involving placing objects.,r002,Playing Instrument,Essential Operation,43.7479086,Gold,0a47c74a-dad9-42d5-b937-0f375490f034,no
Object Transfer,8,,3,11112,,no,0,0.0,0,#C C picks cards on the game board,picks cards on game board,Logistics step involving picking up and putting down objects.,r002,Playing Instrument,,57.3038986,Gold,0a47c74a-dad9-42d5-b937-0f375490f034,no
Object Transfer,8,,4,6465,,no,0,0.0,0,#C C drops the dices on the game board,drops dices on game board,"[CtxFixed] The action of dropping the dice onto the game board is a deliberate placement, which fits the criteria for 'Object Transfer'.",r002,Playing Instrument,,188.5899686,Gold,0a47c74a-dad9-42d5-b937-0f375490f034,no
Object Transfer,8,,11,1189,,no,0,0.0,0,#C C picks a dice on the game board,picks dice on game board,Logistics step involving picking up an object.,r002,Playing Instrument,,274.1268286,Gold,0a47c74a-dad9-42d5-b937-0f375490f034,no
Stationary,8,,5,5178,,no,0,0.0,0,#C C plays board game,plays board game,"Playing a board game involves minimal movement, mostly hand and finger manipulation which does not significantly affect the IMU signatures.",r002,Playing Instrument,,318.93364864583333,Skip,0a47c74a-dad9-42d5-b937-0f375490f034,no
Stationary,8,,4,8540,,no,0,0.0,0,#O woman X plays board game,woman x plays board game,Playing a board game involves minimal body movement and is generally a stationary activity.,r002,Playing Instrument,,338.3063386458333,Skip,0a47c74a-dad9-42d5-b937-0f375490f034,no
Object Transfer,8,,4,8331,,no,0,0.0,0,#C C tosses dices,tosses dices,Logistics action involving picking up and releasing an object.,r002,Playing Instrument,,392.0717586458333,Skip,0a47c74a-dad9-42d5-b937-0f375490f034,no
Stationary,8,,4,8548,,no,1,1.0,1,#O A woman Y shows C a card,woman y shows card,"Low body/hand motion, likely involves holding or showing a card.",r002,Playing Instrument,,565.2028970505208,Skip,0a47c74a-dad9-42d5-b937-0f375490f034,no
