action,batch,corrected_action,dataset_rows_covered_if_validated,global_rank,high_priority_reason,high_priority_review,historical_bad_count,historical_bad_rate,historical_checked_count,narration_text,normalized_narration_stage2,reasoning,round,scenario,secondary_action,timestamp_sec,verdict,video_uid,watchlist_hit
Stationary,11,,8,2067,,no,0,0.0,0,#C C conserves with a man X,conserves with man x,"Low body/hand motion, likely involves speaking.",r002,Cleaning,,0.0210286,Gold,01111831-9107-43c4-bf0e-6b26e9b32a2b,no
Object Transfer,11,,3,11392,,no,0,0.0,0,#C C picks the shoes from the washing machine,picks shoes from washing machine,Logistics step involving picking up objects.,r002,Cleaning,,104.4605386,Gold,01111831-9107-43c4-bf0e-6b26e9b32a2b,no
Object Transfer,11,,4,6527,,no,0,0.0,0,#C C drops the shoes,drops shoes,"[CtxFixed] The action of dropping the shoes is a deliberate placement of the object onto a surface, which fits the criteria for 'Object Transfer'.",r002,Cleaning,,108.5839886,Gold,01111831-9107-43c4-bf0e-6b26e9b32a2b,no
Stationary,11,Object Transfer,37,114,watchlist_verb,yes,0,0.0,0,#C C closes the washing machine,closes washing machine,"Low energy motion, mostly hand activity.",r002,Cleaning,,122.4551086,Bad,01111831-9107-43c4-bf0e-6b26e9b32a2b,yes
Stationary,11,Task Operation,3,8665,watchlist_verb,yes,0,0.0,0,#C C adjusts the washing machine,adjusts washing machine,Adjusting a machine typically involves minimal body movement and is more about interaction with the machine's controls.,r002,Cleaning,,124.7250986,Bad,01111831-9107-43c4-bf0e-6b26e9b32a2b,yes
Stationary,11,Search,7,3105,,no,0,0.0,0,#C C watches the laptop,watches laptop,"Low body/hand motion, focused attention.",r002,Cleaning,,1116.6940186,Bad,01111831-9107-43c4-bf0e-6b26e9b32a2b,no
Object Transfer,11,,5,4541,,no,0,0.0,0,#C C drops the bedsheet on the bed,drops bedsheet on bed,"[CtxFixed] The action of dropping the bedsheet onto the bed is a deliberate placement, which fits the definition of 'Object Transfer'.",r002,Cleaning,,2129.6635553125,Gold,01111831-9107-43c4-bf0e-6b26e9b32a2b,no
Object Transfer,11,,3,10379,,no,0,0.0,0,#C C lifts the bed sheet,lifts bed sheet,"The action involves picking up the bed sheet, which is a logistics step.",r002,Cleaning,,2130.9970353125,Gold,01111831-9107-43c4-bf0e-6b26e9b32a2b,no
Object Transfer,11,,11,1200,,no,0,0.0,0,#C C picks a pillow case,picks pillow case,"Logistics step, picking up an object.",r002,Cleaning,,2194.429910954664,Gold,01111831-9107-43c4-bf0e-6b26e9b32a2b,no
Object Transfer,11,,27,220,,no,0,0.0,0,#C C picks a pillow,picks pillow,"Logistics step, picking up an object.",r002,Cleaning,,2206.259840954664,Gold,01111831-9107-43c4-bf0e-6b26e9b32a2b,no
Object Transfer,11,,4,7171,,no,0,0.0,0,#C C picks pillows,picks pillows,Logistics step involving picking up objects.,r002,Cleaning,,2224.579190954664,Gold,01111831-9107-43c4-bf0e-6b26e9b32a2b,no
Stationary,11,,4,5913,watchlist_verb,yes,0,0.0,0,#C C holds bedsheet,holds bedsheet,Holding an object with minimal movement.,r002,Cleaning,,2275.446060954664,Gold,01111831-9107-43c4-bf0e-6b26e9b32a2b,yes
